"","GTEX.N7MS.2126.SM.GRR2X","GTEX.N7MT.1826.SM.GQ1C9","GTEX.NPJ8.1126.SM.GNTAI","GTEX.O5YT.1926.SM.H6Q82","GTEX.OHPK.1926.SM.H7OF2","GTEX.OHPL.1926.SM.HAV18","GTEX.OHPM.1926.SM.H7OG1","GTEX.OIZF.1926.SM.7PBZS","GTEX.OIZH.1926.SM.GPRXO","GTEX.OIZI.1926.SM.H7OGY","GTEX.OOBJ.1926.SM.GRR1P","GTEX.OOBK.1926.SM.HAUZL","GTEX.OXRK.1926.SM.GRR1N","GTEX.P44H.2226.SM.E9U4P","GTEX.P4PP.1926.SM.HAUZM","GTEX.P4PQ.1926.SM.GRR14","GTEX.P4QS.1926.SM.GQ1BY","GTEX.P4QT.1926.SM.HAUYQ","GTEX.P78B.2126.SM.GQ1C3","GTEX.PLZ5.1326.SM.GQ1C2","GTEX.PLZ6.1026.SM.GQ1C8","GTEX.POMQ.0926.SM.H6Q6H","GTEX.PW2O.1026.SM.GPRWA","GTEX.PWCY.1126.SM.H7OGX","GTEX.PWN1.1926.SM.HAUZN","GTEX.PX3G.1926.SM.GQ1ED","GTEX.Q2AH.1326.SM.GPRWF","GTEX.Q2AI.1026.SM.GRR3I","GTEX.Q734.1226.SM.GRR21","GTEX.QCQG.0826.SM.GPI8H","GTEX.QDT8.2826.SM.GOQYY","GTEX.QDVJ.1526.SM.GPI84","GTEX.QDVN.1426.SM.GPRWL","GTEX.QEG4.2126.SM.GQ1CE","GTEX.QEG5.2326.SM.GRR2Z","GTEX.QEL4.1826.SM.EZ6KU","GTEX.QLQ7.1226.SM.GOQYE","GTEX.QLQW.0826.SM.H7OG2","GTEX.QMRM.1326.SM.HAUYS","GTEX.QV31.0926.SM.GQ1C6","GTEX.QV44.1426.SM.GPI8D","GTEX.QXCU.2226.SM.GPI87","GTEX.R45C.2426.SM.HL11G","GTEX.R53T.1426.SM.H7OG3","GTEX.R55C.1226.SM.GOQY7","GTEX.R55G.1326.SM.HAUYU","GTEX.REY6.2026.SM.GPRYL","GTEX.RM2N.1026.SM.GOQY8","GTEX.RN64.2426.SM.EZ6L2","GTEX.RNOR.2126.SM.EXURR","GTEX.RUSQ.1326.SM.GQ1EA","GTEX.RWS6.1426.SM.GPRWQ","GTEX.RWSA.2126.SM.H7OG7","GTEX.S32W.1126.SM.4AD5V","GTEX.S33H.1926.SM.EYYVH","GTEX.S3XE.1226.SM.4AD4L","GTEX.S4P3.0826.SM.H7OF3","GTEX.S4Q7.0926.SM.4AD5D","GTEX.S4UY.0926.SM.4AD6O","GTEX.S7SF.1126.SM.GQ1CH","GTEX.S95S.0626.SM.EZ6L8","GTEX.SE5C.1026.SM.4BRUG","GTEX.SNMC.0826.SM.4DM66","GTEX.SNOS.0526.SM.4DM54","GTEX.SUCS.1226.SM.GPI9A","GTEX.T2IS.2526.SM.GRR23","GTEX.T5JC.1126.SM.GPIA1","GTEX.T5JW.1026.SM.EZ6LR","GTEX.T6MN.2226.SM.EVYAM","GTEX.T6MO.0926.SM.GPRWN","GTEX.T8EM.1726.SM.GPRWO","GTEX.TKQ2.0526.SM.GRR15","GTEX.TMMY.1526.SM.4DXST","GTEX.U3ZH.0826.SM.H6Q7I","GTEX.U3ZM.0826.SM.4DXU6","GTEX.U3ZN.1226.SM.4DXUD","GTEX.U4B1.1226.SM.4DXT7"
"1",6.08486,7.50525,5.85179,7.39415,4.33116,9.67356,8.15015,4.64746,5.51941,4.59545,3.29692,8.19553,4.11672,5.37078,7.47839,5.06537,3.75173,6.03743,4.55242,4.87707,3.50237,9.40401,4.97496,7.71189,12.3838,6.84621,5.08063,7.95935,4.764,4.74448,5.18157,3.54097,5.45389,4.33812,4.93671,5.16748,6.32492,7.08258,5.58217,3.55591,5.89125,5.52322,4.32152,9.62745,4.9029,4.93886,4.58427,6.03312,4.1902,4.65615,6.80648,4.2563,6.21497,4.71749,4.63443,8.21972,4.94588,7.14335,7.36993,5.7969,5.58607,4.05007,9.4536,8.50441,4.24691,3.35682,2.88535,6.21919,4.54101,6.04208,5.46394,4.13684,5.39086,8.5421,4.02289,8.32126,5.93384
"2",0.200472,0.223985,0.172587,0.47674,0.103086,0.454966,0.168668,0.071413,0.409453,0.181475,0.012326,0.254619,0.474622,0,0.280492,0.058236,0.069369,0.294865,0.138526,0.057732,0.050998,0.512111,0.016136,0.259163,0.43274,0.028507,0.088561,0.166114,0.059362,0.256892,0.257615,0.168557,0.15186,0.086999,0.070439,0.11249,0.459097,0.917434,0.099158,0.040302,0.16052,0.57614,0.324882,0.065637,0.127142,0.176748,0.07674,0.36913,0.03263,0.23515,1.11689,0.066252,0.505626,0.052798,0.081868,0.264984,0.015339,0.38737,0.139341,0.384222,0.346772,0.157625,0.302822,0.55634,0.285411,0,0.082592,0.439993,0.089307,0.625565,0.163331,0,0.296801,0.192815,0.072041,0.148604,0.072413
"3",9.88885,9.27186,5.69423,11.5482,11.4869,16.9541,16.524,1.96938,12.1494,7.65729,5.91682,16.246,7.11565,5.76335,11.6615,14.6824,4.91765,10.3076,5.02498,7.35685,6.67152,11.9945,6.62819,13.5222,33.4157,9.54737,5.93329,17.4822,4.16969,12.3212,3.79493,2.60403,7.19522,5.78723,3.84848,7.1957,14.9159,18.4965,11.5559,12.0559,13.2483,4.00867,9.2843,30.4081,11.7364,11.714,10.5704,11.3891,4.4993,5.99475,9.19738,11.2885,5.40478,8.90989,3.88486,16.0686,10.23,12.7387,23.2462,12.7318,11.8888,5.30694,39.4258,20.0796,5.62848,2.57317,1.906,27.9679,3.0863,18.2464,8.2714,3.1522,6.7482,15.4904,10.938,22.2052,8.32765
"4",8.52688,7.81314,10.2381,7.43999,8.07293,4.37741,5.47617,11.8032,7.84729,8.00355,17.4634,3.23736,8.25499,9.5226,4.8773,10.4631,14.1834,8.47281,9.17405,17.1459,9.85344,5.30793,9.89872,3.73653,3.59949,6.14708,14.5505,6.33835,16.158,8.99221,8.91411,15.9462,8.6857,9.87474,17.1018,13.6654,6.64614,8.96203,11.4488,15.4524,12.5239,8.12039,3.82274,4.75455,8.15327,8.67166,11.7025,6.69149,12.9814,9.39325,2.63774,11.5044,7.6994,8.69979,4.98729,7.58095,7.97597,14.0545,4.56251,6.57447,9.19717,21.2203,5.19229,5.42348,11.4693,15.2953,11.1829,3.08368,6.74646,3.05446,5.44579,17.0277,13.8336,6.08941,7.70824,4.9537,17.5764
"5",52.1284,61.4935,47.8515,50.9602,9.66343,68.4767,143.897,13.9768,46.3795,22.1926,13.9103,75.0354,23.555,10.9515,84.9263,12.3823,9.69336,24.8679,34.6996,38.9412,15.893,42.4516,59.4362,129.687,78.7426,40.4452,18.8433,98.3794,37.2618,29.2862,24.5267,12.6795,20.0902,47.4652,24.1404,29.258,32.3444,61.0404,40.3744,16.5933,40.6855,13.4607,23.4205,76.1056,30.6023,55.2555,24.5638,66.9156,26.989,28.3602,44.3829,19.2465,22.1412,18.5521,34.9749,63.7289,19.0515,37.9543,84.3029,71.7044,25.899,13.5329,111.26,133.508,17.2093,19.2421,11.4152,37.1934,17.9562,103.581,13.7768,18.1952,20.0695,96.2941,15.0736,71.9782,24.74
"6",0.789948,1.55726,0.193665,0.229449,0.16086,0.14021,0.510686,0.220567,0.542444,0.490907,0.601255,0.410593,0.95841,3.36991,0.475425,2.20722,0.943899,1.34286,2.50776,0.222891,1.33021,0.48534,0.431516,0.381313,0.264868,0.405342,0.154278,0.383231,3.68928,1.21919,8.49364,0.102287,0.289572,0.799566,0.278582,0.097982,2.00591,0.329362,0.18441,1.13092,0.268717,0.642345,0.477243,0.580986,1.09547,1.66712,0.679267,0.590905,0.261174,2.24474,0.131465,0.253703,3.23234,0.188927,1.54953,0.089115,5.84104,0.203227,0.29741,0.39915,1.07757,1.0602,0.285152,0.369796,0.620583,0.728196,0.527298,0.584921,1.3018,0.321307,0.977488,0.715199,0.365868,1.54632,0.53818,0.223892,0.077279
"7",79.8505,104.416,76.2454,79.0159,41.3988,72.8653,84.9139,88.5335,59.5267,57.5038,47.5613,60.7054,58.4929,103.64,79.6554,34.1424,64.6159,45.2849,39.8488,33.195,40.923,53.2544,51.68,86.5715,102.552,58.8521,49.4638,62.7571,41.5575,47.6205,56.706,63.2657,39.1401,62.8985,52.529,37.5765,93.2253,68.1475,54.4688,34.0696,43.583,68.8547,62.6584,75.635,59.0197,52.4789,56.7069,60.1538,47.3355,100.54,36.8446,41.7784,61.383,59.1376,32.8093,70.9341,55.878,64.5989,84.031,44.5942,54.2347,25.0335,57.4306,74.9939,34.4194,45.3008,62.118,39.4413,66.7236,73.6547,67.1377,33.3396,59.999,65.0769,38.0498,64.5946,49.0593
"8",22.3324,35.6465,36.6477,23.0374,12.342,21.542,32.6163,16.3554,18.8847,19.3689,15.8358,20.4495,33.2306,47.2858,20.8089,40.9927,22.0779,18.4613,12.2563,13.2711,10.5579,19.9492,19.9306,16.18,32.3285,12.7935,14.4204,20.2908,17.443,28.2336,22.9769,11.1029,30.6884,24.2558,14.6062,14.5833,27.1689,22.184,20.7137,11.1292,24.8513,25.004,19.5912,33.3062,18.4105,25.4662,17.2898,24.0422,13.5757,30.3581,16.9163,22.9772,40.7921,17.9137,11.637,26.2595,54.3459,20.2742,35.7311,15.268,21.0591,8.27599,34.3035,22.1524,19.0204,23.409,31.6532,15.2448,17.1653,24.6998,43.089,13.1284,25.5,21.4593,28.9272,27.2489,15.3925
"9",20.6943,41.5069,67.6234,83.757,49.0962,83.1937,43.8294,45.1543,47.4939,26.2792,43.7491,57.7936,171.761,34.8402,38.5117,54.8837,64.1114,57.7644,34.6789,40.6235,36.9918,92.0536,26.1721,41.4762,73.0834,24.8025,123.912,121.586,31.9382,95.3956,38.3103,49.6481,98.5164,15.7203,68.1229,37.6234,88.5826,66.0005,50.4865,43.6438,39.9246,32.5072,20.6495,63.9688,44.2352,48.5287,29.6771,46.1011,21.5969,14.3757,90.7748,44.727,29.4155,122.704,19.0867,40.3639,33.5765,150.555,48.376,38.0437,51.9404,55.7731,74.4564,48.0089,185.034,26.2891,19.6319,49.6269,18.1922,44.2075,127.143,30.0877,53.8036,27.4154,35.5515,53.4198,66.4396
"10",0.319262,0.221913,0.026533,0.263309,0.102635,0.356083,0.289888,0.070264,0.138919,0.250248,0.111175,0.238128,0.083777,0.10202,0.107805,0.092514,0.067543,0.203305,0.102933,0.094673,0.070562,1.16825,0.138917,0.14609,0.399168,0.441183,0.040845,0.153226,0.085177,0.080743,0.102092,0.111331,0.116732,0.192599,0.05198,0.095116,0.233922,0.249764,0.114331,0.060582,0.168174,0.207853,0.275259,0.212579,0.221526,0.10869,0.047191,0.170246,0.230758,0.488041,0.246828,0.063375,0.305174,0.070348,0.23494,0.159071,0.138343,0.340302,0.223739,0.134652,0.280774,0.115394,0.075867,0.181122,0.085097,0.036864,0.093114,0.374026,0.340498,0.12823,0.1302,0.113843,0.143801,0.309601,0.083681,0.304611,0.064321
