"","GTEX.1117F.0011.R4b.SM.GI4VM","GTEX.111FC.0011.R4a.SM.GIN8K","GTEX.117XS.0011.R4b.SM.GJ3PR","GTEX.11DXY.0011.R4b.SM.GI4VR","GTEX.11DYG.0011.R4b.SM.GJ3RG","GTEX.11GS4.0011.R4a.SM.GJ3RJ","GTEX.11GSO.0011.R4b.SM.GJ3R8","GTEX.11NUK.0011.R4a.SM.DO12B","GTEX.11NV4.0011.R4a.SM.GI4XC","GTEX.11OF3.0011.R4a.SM.GJ3RB","GTEX.11ONC.0011.R4b.SM.DO93H","GTEX.11PRG.0011.R4a.SM.DNZZR","GTEX.11TTK.0011.R4a.SM.DNZZU","GTEX.11ZTS.0011.R4b.SM.GINAQ","GTEX.11ZU8.0011.R4a.SM.5BC6Y","GTEX.11ZVC.0011.R4a.SM.5BC6Z","GTEX.12WSA.0011.R4a.SM.57WB7","GTEX.12WSC.0011.R4a.SM.H6Q8M","GTEX.12WSD.0011.R4b.SM.5LZUA","GTEX.12WSF.0011.R4b.SM.5HL88","GTEX.12WSH.0011.R4a.SM.5GU6K","GTEX.12ZZW.0011.R4a.SM.5DUX9","GTEX.12ZZY.0011.R4a.SM.GIN9F","GTEX.12ZZZ.0011.R4b.SM.5DUV7","GTEX.13112.0011.R4b.SM.5DUXL","GTEX.1313W.0011.R4b.SM.5KLZV","GTEX.131XH.0011.R4b.SM.5DUWB","GTEX.131YS.0011.R4a.SM.5DUVL","GTEX.1399T.0011.R4b.SM.5DUVX","GTEX.139T8.0011.R4a.SM.5HL54","GTEX.13CZV.0011.R4b.SM.5J2NY","GTEX.13FHO.0011.R4b.SM.H6611","GTEX.13FLV.0011.R4a.SM.5LZYU","GTEX.13JVG.0011.R4a.SM.5MR4C","GTEX.13N1W.0011.R4a.SM.5MR52","GTEX.13N2G.0011.R4b.SM.5MR54","GTEX.13NYB.0011.R4b.SM.9QEGJ","GTEX.13NYS.0011.R4b.SM.5MR3O","GTEX.13O3O.0011.R4b.SM.5KM3F","GTEX.13O3Q.0011.R4a.SM.5P9H2","GTEX.13OVH.0011.R4a.SM.5KM3W","GTEX.13OVJ.0011.R4b.SM.5P9H5","GTEX.13OVL.0011.R4b.SM.5L3HV","GTEX.13OW5.0011.R4b.SM.5L3HS","GTEX.13OW6.0011.R4a.SM.5O9DX","GTEX.13OW7.0011.R4b.SM.5O9CX","GTEX.13OW8.0011.R4a.SM.9WG6V","GTEX.13PLJ.0011.R4b.SM.GJ3R6","GTEX.13PVQ.0011.R4a.SM.5O9CT","GTEX.13QIC.0011.R4a.SM.5PNX8","GTEX.13QJC.0011.R4a.SM.H65ZP","GTEX.13RTJ.0011.R4b.SM.5PNX1","GTEX.13SLW.0011.R4b.SM.5S2W2","GTEX.13SLX.0011.R4a.SM.5O9BJ","GTEX.13VXU.0011.R4b.SM.5O9CI","GTEX.13X6I.0011.R4b.SM.5PNU9","GTEX.13X6J.0011.R4b.SM.5P9K4","GTEX.13X6K.0011.R4b.SM.5P9HO","GTEX.1445S.0011.R4a.SM.5PNWN","GTEX.144GL.0011.R4a.SM.5PNUI","GTEX.145LS.0011.R4b.SM.5S2UT","GTEX.145LU.0011.R4b.SM.5P9K1","GTEX.147F4.0011.R4b.SM.GJ3R4","GTEX.147GR.0011.R4a.SM.5S2V2","GTEX.14ABY.0011.R4b.SM.5S2VN","GTEX.14ASI.0011.R4a.SM.69LQ4","GTEX.14BIM.0011.R4b.SM.5S2RK","GTEX.14BMV.0011.R4a.SM.H6Q7P","GTEX.14C5O.0011.R4b.SM.G9ERF","GTEX.14DAQ.0011.R4a.SM.5YYAI","GTEX.14E7W.0011.R4b.SM.62LEA","GTEX.14JFF.0011.R4a.SM.5ZZV5","GTEX.14JG1.0011.R4b.SM.62LEB","GTEX.14JIY.0011.R4b.SM.5ZZV7","GTEX.14PJM.0011.R4a.SM.5YYAS","GTEX.14PN4.0011.R4a.SM.686ZT","GTEX.14PQA.0011.R4b.SM.6AJBU","GTEX.15CHQ.0011.R4a.SM.686ZX","GTEX.15DCD.0011.R4a.SM.69LPB","GTEX.15DYW.0011.R4a.SM.6M46V","GTEX.15EO6.0011.R4a.SM.7KUKZ","GTEX.15ER7.0011.R4a.SM.6M46S","GTEX.15RJE.0011.R4a.SM.H7OH4","GTEX.15SHU.0011.R4b.SM.7IGLC","GTEX.16YQH.0011.R4a.SM.7EPGI","GTEX.17EVP.0011.R4a.SM.79OML","GTEX.17EVQ.0011.R4b.SM.7LT94","GTEX.17F97.0011.R4b.SM.7KFS2","GTEX.17HG3.0011.R4a.SM.7IGLL","GTEX.1A3MX.0011.R4b.SM.7EWFK","GTEX.1AX9I.0011.R4b.SM.7EPIB","GTEX.1B8L1.0011.R4a.SM.7EWFJ","GTEX.1B996.0011.R4b.SM.9OSVO","GTEX.1C6VR.0011.R4b.SM.9QEGZ","GTEX.1C6WA.0011.R4a.SM.9QEH2","GTEX.1CB4G.0011.R4b.SM.CJI28","GTEX.1E1VI.0011.R4b.SM.9QEHV","GTEX.1EMGI.0011.R4b.SM.CJI2D","GTEX.1EX96.0011.R4a.SM.ARU82","GTEX.1F48J.0011.R4b.SM.9OSVX","GTEX.1F6IF.0011.R4b.SM.CKZNJ","GTEX.1F75A.0011.R4a.SM.ARL8J","GTEX.1F7RK.0011.R4b.SM.9QEI7","GTEX.1GF9W.0011.R4a.SM.CE6RH","GTEX.1GMR8.0011.R4a.SM.9OSX1","GTEX.1GN73.0011.R4b.SM.9QEIK","GTEX.1GTWX.0011.R4a.SM.C1YQI","GTEX.1GZ4I.0011.R4a.SM.9QEI9","GTEX.1H1DG.0011.R4a.SM.CE6RQ","GTEX.1H1ZS.0011.R4b.SM.CKZO7","GTEX.1H23P.0011.R4b.SM.CL54R","GTEX.1H3NZ.0011.R4a.SM.CL54T","GTEX.1H3O1.0011.R4b.SM.A9SKE","GTEX.1HB9E.0011.R4b.SM.ARZLS","GTEX.1HBPH.0011.R4a.SM.A96RX","GTEX.1HBPI.0011.R4a.SM.CJI3K","GTEX.1HCU6.0011.R4b.SM.ARU74","GTEX.1HFI6.0011.R4b.SM.A96RT","GTEX.1I1GR.0011.R4a.SM.CMKHC","GTEX.1ICLZ.0011.R4a.SM.CMKHL","GTEX.1IY9M.0011.R4a.SM.C1YQ2","GTEX.1J1OQ.0011.R4a.SM.D4P2A","GTEX.1J8EW.0011.R4b.SM.ARU89","GTEX.1J8Q2.0011.R4a.SM.ADEHA","GTEX.1JJ6O.0011.R4a.SM.EY5YM","GTEX.1JMLX.0011.R4a.SM.EY5YJ","GTEX.1JMOU.0011.R4b.SM.EY5ZL","GTEX.1JMQJ.0011.R4b.SM.EXUT8","GTEX.1JMQK.0011.R4a.SM.G8LLQ","GTEX.1JN1M.0011.R4b.SM.F6494","GTEX.1KWVE.0011.R4a.SM.F3K5X","GTEX.1LB8K.0011.R4b.SM.F6487","GTEX.1LH75.0011.R4a.SM.F2TAM","GTEX.1LKK1.0011.R4b.SM.EY5YA","GTEX.1LSVX.0011.R4b.SM.EXURP","GTEX.1LVA9.0011.R4a.SM.F2TA2","GTEX.1LVAO.0011.R4a.SM.EXURO","GTEX.1MJK2.0011.R4a.SM.F3426","GTEX.1N2DW.0011.R4b.SM.EZ6MD","GTEX.1N2EE.0011.R4a.SM.EXOII","GTEX.1N2EF.0011.R4a.SM.F341F","GTEX.1NV8Z.0011.R4b.SM.G8LMZ","GTEX.1O9I2.0011.R4b.SM.F3K4K","GTEX.1OJC4.0011.R4a.SM.F3K54","GTEX.1P4AB.0011.R4b.SM.F2T9S","GTEX.1PIIG.0011.R4a.SM.F2TAQ","GTEX.1POEN.0011.R4b.SM.F3K4O","GTEX.1PPGY.0011.R4a.SM.F3K4F","GTEX.1PWST.0011.R4a.SM.F2T9X","GTEX.1QMI2.0011.R4b.SM.F3K4R","GTEX.1QP6S.0011.R4b.SM.F33ZY","GTEX.1R46S.0011.R4b.SM.F2TBF","GTEX.1RDX4.0011.R4b.SM.F3K43","GTEX.1RLM8.0011.R4a.SM.F2TBL","GTEX.1RQEC.0011.R4b.SM.F342C","GTEX.1RQED.0011.R4b.SM.F2I2X","GTEX.N7MT.0011.R4a.SM.2I3G9","GTEX.NL4W.0011.R4a.SM.2I5GZ","GTEX.NPJ7.0011.R4a.SM.2I3GJ","GTEX.NPJ8.0011.R4a.SM.2HML3","GTEX.OHPN.0011.R4A.SM.2I5FD","GTEX.PVOW.0011.R4A.SM.H6Q8O","GTEX.Q2AG.0011.R4A.SM.2HMKA","GTEX.QVJO.0011.R4A.SM.2S1QL","GTEX.QVUS.0011.R4A.SM.3GAE7","GTEX.RNOR.0011.R4A.SM.3GAD3","GTEX.S7SE.0011.R4A.SM.2XCDB","GTEX.TSE9.0011.R4A.SM.3DB7H","GTEX.WHSE.0011.R4A.SM.3P5ZN","GTEX.WVLH.0011.R4A.SM.3MJFS","GTEX.WZTO.0011.R4A.SM.3NMC7","GTEX.X4XX.0011.R4B.SM.46MWL","GTEX.X585.0011.R4B.SM.46MVH","GTEX.XLM4.0011.R4B.SM.4AT5C","GTEX.YFC4.0011.R4a.SM.4RGLQ","GTEX.ZAB4.0011.R4a.SM.4SOKB","GTEX.ZAK1.0011.R4a.SM.6AJBK","GTEX.ZVZQ.0011.R4b.SM.57WCZ","GTEX.ZYY3.0011.R4a.SM.GQ1CY","GTEX.ZZPT.0011.R4a.SM.GPRX4"
"1",2.66257,7.48139,6.68393,7.52075,3.65558,4.8106,2.82966,4.84677,4.66996,4.47845,3.40644,5.68809,2.79042,1.67312,0.768201,1.33562,1.43286,3.68974,4.32759,4.08678,3.30354,1.37907,6.95193,1.38792,4.25748,5.65502,8.19595,7.59347,3.92739,2.33197,1.4874,3.97769,2.84407,1.52864,5.68804,7.99369,3.83949,3.19008,5.85153,6.68569,1.76381,4.74724,1.56897,3.91327,2.07192,1.50419,2.08245,0.804399,2.7147,2.74875,2.38182,4.09655,2.149,2.68716,5.98878,6.24332,3.77267,6.7103,2.38635,1.63953,4.80175,1.31679,2.50795,1.91176,6.13618,4.55696,5.04656,14.3073,5.86609,4.3913,5.44985,0.853905,3.23806,5.85008,3.66614,4.22179,3.06177,6.22084,3.59692,8.97805,6.46347,3.95117,5.42015,6.67521,8.08902,7.21975,1.23277,2.90708,3.5348,6.16556,10.1275,5.53465,6.31615,2.48958,3.50825,2.36609,2.71296,6.56546,1.96044,6.6034,3.69309,3.8779,4.92464,2.34435,2.84861,6.91727,3.85913,1.91028,2.53507,5.00441,1.79425,12.1148,3.15618,6.1805,4.15707,3.26657,11.2459,9.84569,3.04428,6.39625,9.85431,2.57917,1.26084,2.19588,3.85238,3.71949,8.79875,4.91061,1.98704,2.04809,4.09114,1.34369,5.29206,1.85155,5.46878,2.67568,4.28073,3.21667,3.09934,3.8107,16.8951,1.11982,8.14189,12.5031,5.6638,5.39131,8.8631,8.58095,5.73264,6.542,2.96208,1.15397,3.99123,1.07269,7.71336,1.13817,4.74244,4.64588,5.6324,3.69952,2.16495,4.6045,11.6242,10.8975,6.57021,6.26112,8.52245,7.44231,6.49116,7.43613,13.0184,4.7069,8.68799,8.65979,7.74456,7.72424,3.85206,5.39564,2.25194,2.79829
"2",1.15321,0.986849,0.106509,0.568275,0.265711,0.380354,0.224402,0.315358,0.571584,0.316909,0.52532,0.787625,0.624547,0.096526,0,0.122802,1.25185,0.292939,0.513638,0.26115,0.405564,0.049925,0.786192,0.102906,0.111537,0.505145,0.402958,0.493746,0.23188,0.174088,0.257716,0.827196,0.142429,0.306727,0.419203,0.626966,0.072137,0.997989,0.529771,0.654313,0.557367,0.592002,0.122369,0.812331,0.226973,0.12563,0.089535,0.097338,0.257823,0.387925,1.36708,1.36901,1.52418,0.196576,0.615211,1.03187,0.246112,1.11947,0.61,0.136684,0.889127,0.085195,0.260735,0.190146,0.394252,0.308091,0.544082,0.419174,1.21799,1.10885,0.441654,0.099762,0.400543,0.209339,0.306129,0.989692,0.352827,0.916042,1.35238,0.451975,0.991575,0.15657,1.81297,0.882647,0.327476,0.687098,0.310245,0.681629,0.28117,0.557199,1.12871,0.380935,0.885374,0.222797,1.72668,0.155957,0.066871,0.325154,0.197176,0.939923,0.123174,0.374734,0.714517,0.240817,0.735837,0.400931,0.53189,0.27309,0.564423,0.709269,0.173928,0.336201,0.633246,0.531045,0.605331,0.300855,0.358452,0.705262,0.128995,0.569759,0.49964,0.341605,0.046664,0.173557,0.476131,0.157331,0.730754,0.791207,0.506,0.185513,0.143765,0.035931,0.787116,0.27479,0.793084,0.259287,0.35169,0.302804,0.757091,0.790085,0.492446,0.183007,0.915673,0.444165,0.057598,0.467601,0.346595,0.826179,1.2409,1.91189,0.055689,0.542141,0.536049,0.098089,0.453025,0.280358,2.52141,0.517946,0.560059,0.599583,0.557845,0.345212,0.241782,0.872898,1.29783,0.744932,0.146121,0.276457,1.52753,0.85545,0.208994,0.609639,2.14681,0.609107,0.450667,0.628067,0.32572,0.406631,0.395903,0.467208
"3",67.8835,82.3654,65.737,75.8765,46.5986,49.4759,67.375,69.6226,79.4564,112.474,46.1606,82.4203,58.1668,20.151,40.9063,36.1957,48.7473,63.9746,66.235,34.3563,54.4105,43.7719,96.2488,18.5864,45.4265,70.3255,64.5193,97.8773,54.5552,46.2205,39.0925,70.1638,65.3011,22.1312,55.9629,70.6028,79.0537,48.0829,55.6944,67.7105,34.2608,95.3102,25.5821,68.9973,38.3653,33.7304,32.7096,17.0875,33.3326,45.209,47.0049,101.861,54.9007,58.8226,62.1916,57.7115,63.9326,73.5098,44.2258,13.9435,58.4294,14.7898,37.1215,45.0582,94.8415,34.1572,56.1879,76.5703,89.6531,33.0252,50.2437,25.8749,74.329,97.7167,43.1827,85.3491,54.0559,65.5768,87.7881,96.0028,95.9769,78.5512,106.901,61.2484,116.717,67.5086,12.6658,35.8505,48.9542,77.5086,98.6096,65.971,54.5623,38.7826,45.5472,33.3236,24.5981,111.119,28.9829,48.9868,51.3787,80.1162,79.6138,28.0545,45.4187,74.5398,79.2433,24.9495,39.9826,79.1853,29.9362,79.877,58.4786,110.72,42.0945,53.7317,36.8368,72.6055,51.279,72.7143,96.9208,74.5268,22.1301,37.9998,48.9874,37.3551,94.5348,78.4017,37.7179,68.5637,79.2705,41.843,66.0556,44.4989,76.1159,55.9658,65.5576,60.6686,50.0335,36.8774,95.1942,14.8528,148.312,146.429,100.006,81.9707,94.1529,94.0054,51.9743,90.6615,45.828,19.6205,80.9674,26.9137,56.791,7.57425,58.5974,58.0061,39.4167,40.8147,24.3127,54.6431,106.167,130.91,87.2753,93.0652,89.4588,80.6145,72.1489,103.639,68.8447,40.0915,59.9866,73.9516,69.9413,59.7279,79.1636,77.4941,45.2209,50.1252
"4",14.0309,27.7048,34.8588,46.2127,22.5857,25.9957,23.6116,23.3425,25.3869,29.3476,23.7525,28.505,26.0676,10.0629,4.89433,11.8467,10.9631,15.7894,29.2015,21.7879,13.3087,11.2164,41.2609,8.29873,20.9097,29.1608,37.3718,34.8017,15.7827,12.798,13.9848,30.9952,24.5912,12.8498,34.9163,37.8066,23.0273,32.2336,26.795,30.701,12.4336,35.5238,11.616,28.6292,13.217,13.0075,21.4201,8.54373,10.218,18.6879,12.7879,31.3772,15.7394,17.5579,29.5254,29.1823,22.6194,35.1914,11.7632,10.0404,27.3422,10.982,21.6216,10.3243,32.4722,22.9542,24.1426,52.663,46.6561,18.3578,29.4513,6.63056,10.8391,31.1658,21.6836,26.8917,24.4306,29.8691,22.5722,37.0339,27.3837,20.8472,28.4735,29.0401,24.9704,35.7376,5.6183,12.9201,22.8321,31.0968,61.7327,34.9982,40.2887,15.183,17.1171,15.0938,14.4478,29.3385,13.9191,42.7419,22.8797,22.024,28.7542,11.6599,12.2801,24.8413,20.6102,10.5248,13.0657,24.8507,17.9338,45.0736,21.5348,29.2472,21.3807,24.4488,38.041,50.8945,14.4084,27.1041,36.1246,23.8666,11.3007,14.0642,30.0917,25.8856,49.0675,24.8153,14.7663,17.1747,23.7394,14.8505,57.6609,17.4618,27.5451,16.9097,26.309,17.7774,19.1034,18.8199,64.2245,7.24871,40.3504,49.7418,20.1007,26.0124,39.0595,31.8596,30.4384,29.4884,21.608,8.96555,22.6515,11.3397,41.2658,6.0961,19.1322,20.6934,22.0869,29.0898,7.48816,20.4141,51.7432,38.2006,22.5255,31.4457,33.9495,24.3032,27.0661,33.8749,59.2873,21.8189,39.0514,45.4807,36.604,33.3143,26.3433,24.9409,19.9095,20.9395
"5",9.08215,13.4882,15.1051,22.5804,7.31361,11.8273,8.56065,6.16812,8.92518,9.31584,9.9449,10.2232,4.48351,5.54313,1.14485,4.03175,5.25163,5.2948,10.9517,9.00582,3.16803,3.95939,15.7741,3.92974,9.85809,10.9549,15.0292,16.1336,6.12882,4.84092,5.21352,8.28147,7.77207,4.80581,9.90948,19.4711,6.98412,6.08805,9.68566,11.5888,8.25407,10.2695,4.41328,10.8967,5.63576,5.36212,5.22593,2.36281,6.1634,7.76257,11.8861,10.5441,7.67415,5.60153,10.1825,15.4545,8.26403,13.3775,5.29879,5.06313,11.2933,4.22462,5.40937,2.22163,11.8232,8.72877,14.2904,24.8082,8.23537,11.9536,7.20506,1.16128,1.94108,5.79443,8.5464,7.27324,6.711,12.9313,10.5594,16.3904,10.9276,8.00384,7.96995,13.0804,3.49469,10.7221,2.99731,8.39044,4.2682,11.7543,21.8624,8.31166,12.6857,7.29619,6.79811,4.1758,5.61861,11.9298,4.78631,14.4066,10.4299,2.4786,9.40246,5.46689,5.50354,8.76433,8.96333,6.80046,8.1938,10.8425,4.81806,25.9583,8.88476,15.4451,10.4893,8.75525,13.9995,21.9451,8.53875,11.6293,17.5989,5.31464,3.44942,7.23784,8.17673,7.86538,14.2131,5.80853,4.65575,8.15191,7.86146,3.59311,16.0337,5.52011,9.94452,5.87409,4.56854,8.42777,8.29284,9.05828,21.8772,2.97701,16.8823,21.9626,6.34826,8.98586,22.9956,22.7618,8.9289,17.5319,8.48745,5.10679,7.21234,3.62296,14.5965,2.86418,11.1374,9.13439,10.9936,13.7927,4.20624,9.34772,23.7211,16.875,15.6204,10.4515,13.0556,13.7104,9.86525,12.6708,23.7377,16.5885,27.9116,17.7204,16.0726,12.945,8.36419,10.9412,10.8173,12.0759
"6",5.59812,4.86832,4.71097,9.56641,5.21931,5.90593,3.4903,3.85604,3.96721,2.98168,4.6448,4.42626,3.66272,1.91239,0.674334,1.85018,2.93083,2.31159,4.33688,3.85936,1.06321,2.78312,6.64434,1.79509,4.68951,6.96184,6.88593,7.26787,3.37132,2.45139,3.08353,8.20796,3.41331,2.53929,5.1542,4.08544,3.85829,6.79662,5.17345,7.43777,3.10708,9.1609,2.79842,3.56401,2.24251,1.59852,4.02696,1.23637,1.94223,3.02546,3.10268,5.30578,2.54516,3.20387,5.33781,5.60649,4.46373,9.65634,2.31951,1.83001,3.98688,2.39869,2.51904,0.617197,5.97442,4.81105,5.18341,15.9034,7.11861,4.92207,3.68441,0.530764,0.74177,2.44653,4.50465,5.29169,5.9237,5.10767,3.47746,7.31325,5.91866,4.85352,5.77361,8.23728,1.37924,5.2315,1.05171,3.12059,1.32911,5.08617,9.77823,4.35935,6.90689,4.16709,3.07527,1.41402,2.13676,4.59272,2.47355,5.41494,3.39145,1.41819,4.03426,3.05906,2.72541,5.36857,6.19424,2.41512,3.72616,6.18905,2.03523,9.63319,4.78611,6.23918,4.47647,3.40904,5.19524,9.62642,2.59074,4.23748,7.11911,3.81833,2.3267,4.58041,4.82985,3.47584,8.05622,2.50576,3.52818,1.58384,3.20391,2.55562,13.0449,5.38859,4.21433,1.9441,3.09179,1.8312,2.51766,3.85845,7.52759,1.14598,13.7959,6.89009,2.6757,4.51785,7.70236,6.89318,8.00417,5.00623,2.85272,1.9344,4.31497,6.77657,4.52186,0.935829,3.50565,2.43654,3.91178,3.45282,2.41273,3.6587,9.85258,6.68331,7.41699,3.78181,6.38441,6.08046,6.546,5.75087,10.0097,3.59546,4.64955,9.57166,5.67658,7.87484,4.41308,4.84123,5.91789,3.4351
"7",24.1088,35.5732,38.5033,65.0147,18.5138,22.4079,41.2804,32.6907,47.8535,61.3691,24.2584,34.4601,40.5969,13.3505,17.0161,22.7773,23.4059,25.3794,30.5595,19.5701,19.0312,18.5782,48.7657,10.5769,28.1495,31.9358,27.2935,53.4695,22.4163,31.2554,15.0474,38.6965,42.5478,14.4984,25.6584,42.7767,49.104,43.5731,31.2935,38.4934,12.1077,60.6264,15.0062,40.9606,20.2618,20.4006,29.9572,12.8007,13.9605,28.0286,21.6896,36.7845,24.901,28.42,32.3475,29.4899,25.446,39.0271,17.3312,14.9602,27.5365,8.52754,17.3302,12.4035,45.3615,15.2947,25.5142,46.7326,43.435,16.7368,29.4213,8.49663,26.465,39.0006,19.6001,38.4436,23.3556,42.5566,46.9012,61.7481,34.7702,41.819,63.3338,28.9715,42.6384,34.6409,3.34516,19.9415,29.5792,34.4542,42.5776,29.5228,37.9598,26.2462,16.4809,15.4101,10.3576,42.2744,21.9443,26.6074,29.0341,30.5408,39.3181,8.66172,18.7918,40.3632,34.5702,16.1547,13.0347,49.9466,13.4469,57.6614,34.4851,55.6566,17.4455,27.3376,10.5813,35.6041,23.2391,29.921,61.6582,33.1265,21.0831,20.9318,24.2109,17.3082,43.0486,33.9187,18.7963,40.9654,38.4602,24.9342,39.4404,20.2328,32.1037,29.0613,25.2732,21.31,23.9056,27.0721,55.6222,5.46059,70.864,69.7478,45.5141,38.5437,54.9137,46.0284,37.5809,42.8994,23.7506,8.89348,37.093,19.0385,27.0649,5.3525,32.0801,54.302,26.0268,40.0871,13.8065,29.6318,77.4141,64.5475,49.8465,47.7876,40.5579,30.17,47.3535,55.0288,34.4887,18.118,39.3671,40.5645,30.8969,33.6412,42.4679,48.4997,27.2571,23.3315
"8",10.8028,18.5466,12.9389,15.2918,13.5007,11.7023,12.7515,13.3517,18.171,16.74,8.87159,17.7105,10.4891,6.44086,9.61683,6.70608,7.56137,10.0136,12.8583,8.63732,8.21026,5.40297,17.5749,5.45001,12.7779,11.6213,13.9473,14.9308,8.28085,7.55172,6.30528,12.0662,11.9745,5.44885,11.8458,17.803,13.2035,7.54727,12.8928,16.6684,6.1533,15.7235,7.24401,9.01807,9.36424,5.81856,4.99036,6.36858,8.74509,8.89098,6.11899,9.02677,5.56016,9.46916,11.5597,11.83,12.4703,13.1793,5.71922,4.9798,10.8899,5.20919,8.17916,7.66043,14.7623,9.41473,7.46897,17.6946,14.4662,9.67546,11.9803,4.48372,8.31005,13.7313,11.7802,8.81297,9.46657,11.7421,11.5421,17.4287,11.0443,11.6753,12.2168,14.5391,19.4396,15.7937,4.0826,6.07045,11.8039,15.3857,17.7825,13.9841,12.1167,9.43505,12.2281,6.40045,5.0147,14.0871,6.83621,10.8961,11.4322,11.4623,13.3678,5.8098,6.05195,11.9287,14.0787,7.20703,5.76877,10.3818,3.96489,15.79,7.82169,13.4252,8.97151,10.9765,8.89397,17.6832,8.6497,8.92624,24.8718,6.09005,5.69489,7.99364,11.3175,9.21368,11.7167,16.2207,7.11822,11.0691,13.4298,7.8287,10.8962,6.83335,12.4487,8.7078,8.58752,12.6282,11.2421,8.64905,13.4187,4.43031,17.1886,18.1236,13.3471,11.3902,21.3481,17.092,9.54315,24.3876,9.79424,3.69077,10.5558,3.06942,11.2101,2.68249,10.645,11.8211,9.49165,11.4411,7.62275,14.6401,21.9845,19.9093,14.2937,13.6042,15.7217,10.6108,15.9711,14.7184,13.3517,7.55434,18.957,11.7317,12.5754,13.193,22.0043,11.4269,8.42478,6.19161
"9",10.281,14.5968,17.6443,12.1677,8.76729,10.3748,6.2237,8.85373,15.3494,7.36662,15.4912,15.6476,28.091,11.5788,3.14563,11.2612,11.4773,7.44852,11.6206,21.5553,16.9245,6.34362,17.9126,9.4603,11.7912,8.27191,32.8621,12.1414,5.36913,12.1162,8.02097,12.2478,8.92756,8.91659,17.3028,30.5067,7.8985,15.016,12.3118,12.3919,8.55541,24.5644,7.7793,15.9749,10.2786,4.77247,9.19844,5.90695,15.419,8.40607,14.0204,18.8005,12.9882,6.75995,8.39242,31.531,10.8476,15.5453,24.8565,10.2068,9.39306,5.79227,9.03325,14.5535,15.8634,8.33761,11.4197,10.1085,32.2206,12.206,41.3317,5.55473,3.79095,8.04837,25.146,24.8944,8.95256,27.8587,6.92942,12.444,12.6059,5.60114,18.7722,11.5904,12.4855,11.2248,3.91621,11.891,9.13902,17.7954,22.0264,14.2425,28.0711,13.1973,14.7844,10.3015,8.37582,23.9012,9.25955,17.7209,8.25674,6.77881,13.9718,11.2236,8.48358,21.5087,10.1181,11.298,29.4982,12.002,21.0626,20.1359,6.04316,44.4349,14.1623,9.52958,19.1481,19.2755,16.309,11.6575,13.8581,21.5368,4.62422,12.1867,26.3215,13.1672,23.1599,5.1806,8.07067,15.3028,9.13355,5.67302,22.4281,6.83494,29.5777,4.11584,9.41164,9.65522,40.7714,7.84208,31.7933,6.07019,39.3213,26.7432,5.10129,15.8584,42.8323,38.8383,16.0467,31.412,25.0359,13.5879,15.8404,4.37213,15.9734,3.28638,29.7178,10.9802,16.381,12.0495,11.6877,27.0239,16.6115,23.1654,25.9525,16.6136,15.4932,17.2449,32.2064,13.2692,16.6272,34.0457,76.1071,29.7765,20.9067,24.1608,23.5327,9.05725,15.1256,28.0892
"10",6.53531,14.4972,16.7767,24.1179,5.54736,12.8294,16.2185,21.6457,20.1279,29.6139,13.0184,13.4476,12.1722,4.7803,6.63729,10.2199,3.49941,13.931,14.9829,10.3283,9.69333,10.9979,21.3027,2.38624,11.1543,17.7355,13.7941,26.5977,10.9195,6.70603,8.071,14.893,27.6042,4.781,14.3532,11.1777,21.0534,5.6391,16.0207,14.0651,5.30882,33.1981,6.64355,20.2622,5.18042,11.26,15.5066,4.19447,6.46647,8.45694,4.99547,20.2111,9.75993,10.8694,21.4781,8.34781,12.9324,22.1519,6.16264,3.47676,9.71737,3.70924,7.12167,6.58931,32.6,6.86263,12.3564,18.1845,26.3186,6.76259,14.9477,7.38476,12.8466,18.9761,8.65337,19.767,11.0306,16.8379,20.6785,31.4535,18.0993,20.5594,24.6195,16.8679,28.8675,17.0259,1.51355,7.86252,16.5297,19.9984,24.1362,16.6458,11.9934,8.64863,7.1444,7.10384,5.48753,25.2856,7.6973,11.459,17.8986,20.0045,16.8931,3.54427,10.5185,28.5999,15.8202,5.16403,3.88678,15.5668,7.09477,21.1734,15.645,21.9426,8.02397,12.2723,11.5143,16.8454,8.85228,15.0617,28.6329,22.29,8.74513,9.29249,8.78575,8.9506,26.8213,14.7421,6.32945,15.1283,27.4589,15.8278,14.5337,9.87835,17.6434,16.5094,9.16987,9.55867,9.94704,11.292,26.0095,1.12914,33.3724,43.4576,13.3532,30.8814,40.843,23.7408,17.1149,21.3611,12.865,2.62505,20.934,7.34894,16.9042,1.36338,10.0351,11.0597,6.45636,5.72185,2.62409,12.1979,25.1862,27.8803,19.8954,17.6133,28.8972,18.6966,17.4178,34.2455,28.3654,5.80429,9.45664,24.7215,19.7473,10.4242,18.5965,22.4833,7.93797,9.19002
