"","GTEX.1117F.0011.R2b.SM.GI4VL","GTEX.111FC.0011.R2a.SM.GIN8S","GTEX.117XS.0011.R2b.SM.GI4VT","GTEX.1192X.0011.R2b.SM.GI4VV","GTEX.11DZ1.0011.R2a.SM.DNZZM","GTEX.11EMC.0011.R2b.SM.DO114","GTEX.11GS4.0011.R2a.SM.DO942","GTEX.11GSO.0011.R2a.SM.57WDF","GTEX.11GSP.0011.R2b.SM.9QEGE","GTEX.11NUK.0011.R2a.SM.GINAO","GTEX.11PRG.0011.R2a.SM.69LQ5","GTEX.11TTK.0011.R2b.SM.GJ3PU","GTEX.11TUW.0011.R2b.SM.DO92T","GTEX.11UD1.0011.R2b.SM.5BC6O","GTEX.11WQC.0011.R2a.SM.DO927","GTEX.11ZTS.0011.R2b.SM.5BC75","GTEX.12696.0011.R2b.SM.GHWPY","GTEX.12WSA.0011.R2a.SM.57WDK","GTEX.12WSD.0011.R2a.SM.5LZWB","GTEX.12WSF.0011.R2a.SM.5DUVU","GTEX.12WSH.0011.R2a.SM.5GU68","GTEX.12ZZX.0011.R2a.SM.5EGLG","GTEX.1313W.0011.R2a.SM.5EGLF","GTEX.131XH.0011.R2b.SM.5DUVY","GTEX.132Q8.0011.R2b.SM.5EQ5Z","GTEX.1399T.0011.R2b.SM.5DUXM","GTEX.139TS.0011.R2b.SM.5J1MX","GTEX.13CF2.0011.R2a.SM.5L3DC","GTEX.13FXS.0011.R2b.SM.5K7XX","GTEX.13G51.0011.R2b.SM.5LZXS","GTEX.13N2G.0011.R2a.SM.5MR4Q","GTEX.13NYB.0011.R2a.SM.5MR3C","GTEX.13NYS.0011.R2b.SM.5MR4G","GTEX.13O3O.0011.R2b.SM.5P9H1","GTEX.13O3Q.0011.R2b.SM.5KM3K","GTEX.13OVJ.0011.R2b.SM.5L3GP","GTEX.13OVL.0011.R2b.SM.H65ZN","GTEX.13OW6.0011.R2a.SM.5L3HG","GTEX.13OW7.0011.R2b.SM.H6Q8E","GTEX.13OW8.0011.R2a.SM.5L3G2","GTEX.13PDP.0011.R2b.SM.5O9DH","GTEX.13QJC.0011.R2b.SM.5PNUN","GTEX.13RTJ.0011.R2a.SM.5PNW9","GTEX.13SLW.0011.R2b.SM.5O9C6","GTEX.13SLX.0011.R2b.SM.5S2VP","GTEX.13X6I.0011.R2b.SM.5PNWQ","GTEX.13X6K.0011.R2b.SM.5P9K3","GTEX.1445S.0011.R2b.SM.5PNUH","GTEX.145LS.0011.R2a.SM.5PNZI","GTEX.147GR.0011.R2b.SM.5S2RQ","GTEX.14ASI.0011.R2b.SM.5YY9H","GTEX.14BIM.0011.R2b.SM.69LQ6","GTEX.14BIN.0011.R2a.SM.5S2RJ","GTEX.14C5O.0011.R2a.SM.5ZZV2","GTEX.14JG1.0011.R2a.SM.5ZZVE","GTEX.14PJO.0011.R2a.SM.5ZZVF","GTEX.14PN4.0011.R2a.SM.6EU2Y","GTEX.15CHQ.0011.R2b.SM.6AJAD","GTEX.15DCD.0011.R2b.SM.6LPIE","GTEX.15DYW.0011.R2b.SM.7KUKY","GTEX.15EO6.0011.R2a.SM.6M46R","GTEX.15ER7.0011.R2a.SM.6M46O","GTEX.15G19.0011.R2b.SM.H6Q7S","GTEX.15RJE.0011.R2b.SM.79OMP","GTEX.15SHU.0011.R2a.SM.GPRXS","GTEX.16GPK.0011.R2a.SM.GRR1F","GTEX.16Z82.0011.R2b.SM.79OK9","GTEX.17EVP.0011.R2a.SM.7LG4W","GTEX.17HG3.0011.R2a.SM.7MGVX","GTEX.1A3MX.0011.R2b.SM.7EWFL","GTEX.1A8G7.0011.R2a.SM.7IGQI","GTEX.1B8L1.0011.R2a.SM.9OSVL","GTEX.1B8SG.0011.R2b.SM.79OOT","GTEX.1B933.0011.R2b.SM.7IGNM","GTEX.1B996.0011.R2a.SM.7IGON","GTEX.1C6VR.0011.R2a.SM.7RHGZ","GTEX.1CB4G.0011.R2a.SM.9QEGQ","GTEX.1CB4J.0011.R2a.SM.9WG5N","GTEX.1E1VI.0011.R2a.SM.9QEGS","GTEX.1EKGG.0011.R2a.SM.CE6R8","GTEX.1EMGI.0011.R2b.SM.9OSVS","GTEX.1EU9M.0011.R2b.SM.9QEH7","GTEX.1F48J.0011.R2a.SM.CL535","GTEX.1F6I4.0011.R2a.SM.CL536","GTEX.1F6IF.0011.R2b.SM.9QEHB","GTEX.1F75B.0011.R2a.SM.ARL8I","GTEX.1GMR8.0011.R2a.SM.CE6RD","GTEX.1GN1U.0011.R2a.SM.CL53A","GTEX.1GN2E.0011.R2a.SM.9WG7D","GTEX.1GN73.0011.R2a.SM.CJI2V","GTEX.1GTWX.0011.R2b.SM.ADEH5","GTEX.1GZ2Q.0011.R2b.SM.9OSWO","GTEX.1H1DG.0011.R2a.SM.ADEIQ","GTEX.1H1ZS.0011.R2b.SM.CL54Q","GTEX.1H23P.0011.R2a.SM.CKZP3","GTEX.1H3O1.0011.R2b.SM.CKZOT","GTEX.1H3VE.0011.R2a.SM.CE6SA","GTEX.1HB9E.0011.R2b.SM.A96RW","GTEX.1HBPH.0011.R2a.SM.GQ1DS","GTEX.1HFI6.0011.R2a.SM.CMKH5","GTEX.1HR98.0011.R2a.SM.ARL7A","GTEX.1HSMO.0011.R2a.SM.CL553","GTEX.1HT8W.0011.R2a.SM.CMKH9","GTEX.1I19N.0011.R2b.SM.GPRYG","GTEX.1I1CD.0011.R2a.SM.CM2T3","GTEX.1I1GS.0011.R2b.SM.CMKHG","GTEX.1I1GV.0011.R2a.SM.ARZLF","GTEX.1IDJH.0011.R2a.SM.GPI9D","GTEX.1IGQW.0011.R2b.SM.D4P26","GTEX.1IKJJ.0011.R2b.SM.ARZLJ","GTEX.1IL2U.0011.R2a.SM.ARU6V","GTEX.1IY9M.0011.R2a.SM.D4P29","GTEX.1J1OQ.0011.R2b.SM.ARU88","GTEX.1J8Q2.0011.R2b.SM.EAZ2X","GTEX.1JJ6O.0011.R2a.SM.EY5ZO","GTEX.1JMPZ.0011.R2a.SM.G8LLS","GTEX.1JMQJ.0011.R2a.SM.F6493","GTEX.1JMQK.0011.R2a.SM.EYYXQ","GTEX.1JN1M.0011.R2b.SM.G9EPE","GTEX.1KD4Q.0011.R2a.SM.F649I","GTEX.1KD5A.0011.R2b.SM.G9EPP","GTEX.1KWVE.0011.R2a.SM.G8OLX","GTEX.1LB8K.0011.R2a.SM.EZ6MQ","GTEX.1LG7Y.0011.R2b.SM.G8LMM","GTEX.1LH75.0011.R2b.SM.EYYWQ","GTEX.1LKK1.0011.R2b.SM.G8OLT","GTEX.1LSNL.0011.R2a.SM.EZ6MK","GTEX.1LSVX.0011.R2a.SM.G8OL9","GTEX.1LVA9.0011.R2a.SM.EZ6MJ","GTEX.1LVAO.0011.R2a.SM.EYYX1","GTEX.1MA7X.0011.R2b.SM.EZ6MT","GTEX.1MCQQ.0011.R2a.SM.F649V","GTEX.1MJK2.0011.R2b.SM.EXUS5","GTEX.1N2EE.0011.R2a.SM.F649F","GTEX.1N2EF.0011.R2b.SM.F6482","GTEX.1N5O9.0011.R2a.SM.G8LM1","GTEX.1NV5F.0011.R2a.SM.G8LME","GTEX.1NV8Z.0011.R2b.SM.F648N","GTEX.1O9I2.0011.R2b.SM.F3K53","GTEX.1P4AB.0011.R2a.SM.F649K","GTEX.1PIIG.0011.R2b.SM.F648W","GTEX.1POEN.0011.R2b.SM.G8LLP","GTEX.1PPGY.0011.R2b.SM.F33YW","GTEX.1PWST.0011.R2b.SM.F3K5I","GTEX.1QMI2.0011.R2b.SM.F648R","GTEX.1R9K4.0011.R2b.SM.G8LLF","GTEX.1R9PO.0011.R2a.SM.F2TBH","GTEX.1RDX4.0011.R2b.SM.F649Z","GTEX.1RLM8.0011.R2a.SM.EZ6N4","GTEX.1RQEC.0011.R2b.SM.EY5ZT","GTEX.1RQED.0011.R2a.SM.F3K5T","GTEX.NPJ7.0011.R2a.SM.2I3GF","GTEX.OHPN.0011.R2A.SM.2I5FB","GTEX.Q2AG.0011.R2A.SM.2HMIT","GTEX.QDT8.0011.R2A.SM.32PKQ","GTEX.QMR6.0011.R2A.SM.32PKV","GTEX.QVJO.0011.R2A.SM.2S1QK","GTEX.R55E.0011.R2A.SM.EYYV9","GTEX.RN5K.0011.R2A.SM.GQ1CA","GTEX.RU72.0011.R2A.SM.2TF6O","GTEX.S7SE.0011.R2A.SM.2XCDC","GTEX.T2IS.0011.R2A.SM.32QPF","GTEX.T6MN.0011.R2A.SM.32QOW","GTEX.UTHO.0011.R2A.SM.3GIKC","GTEX.WHSE.0011.R2A.SM.3P5ZL","GTEX.WL46.0011.R2A.SM.3LK6O","GTEX.WVLH.0011.R2A.SM.3MJFJ","GTEX.X4EP.0011.R2B.SM.3P625","GTEX.X4XX.0011.R2A.SM.3P623","GTEX.X585.0011.R2B.SM.46MVF","GTEX.XLM4.0011.R2B.SM.4AT5Z","GTEX.XMD1.0011.R2B.SM.4AT5N","GTEX.YFC4.0011.R2a.SM.4V6DZ","GTEX.YJ89.0011.R2b.SM.4RGLT","GTEX.Z93S.0011.R2a.SM.4RGNG","GTEX.ZAB4.0011.R2a.SM.4RGNP","GTEX.ZAJG.0011.R2a.SM.GNTAX","GTEX.ZAK1.0011.R2a.SM.GPRX1","GTEX.ZDXO.0011.R2b.SM.4WKFG","GTEX.ZE9C.0011.R2a.SM.4WKGH","GTEX.ZV68.0011.R2a.SM.4YCDK","GTEX.ZYY3.0011.R2a.SM.GNTB2","GTEX.ZZPT.0011.R2a.SM.GNTB1"
"1",1.24515,6.38407,9.9957,3.41054,12.4089,1.11957,3.88089,3.82808,7.61221,7.14435,2.04906,2.80686,3.03652,3.40481,2.93692,3.85645,5.89781,2.91597,1.29579,2.78105,1.74472,3.96654,8.98777,5.21651,3.62406,6.57881,2.43148,1.58795,4.78914,4.48964,5.58176,3.33962,6.01462,3.9095,7.02346,2.9447,2.33075,8.0319,10.2109,3.33898,1.97769,4.47146,5.77492,1.47323,6.87765,4.69328,2.93365,5.67498,7.67121,4.5475,2.9436,3.9188,2.92783,8.98886,6.12306,2.68247,7.49638,10.6161,3.68141,5.64334,2.53974,20.6737,2.54011,4.75735,2.99263,2.90078,4.79005,4.87236,1.27076,6.64296,1.72434,10.0498,2.29467,9.62437,4.12993,1.40798,6.05791,5.7302,3.44999,4.31346,6.18781,1.79634,2.41439,7.53732,4.10837,0.918258,2.6796,2.29808,1.10189,8.16366,3.90772,1.26653,4.51309,2.06193,0.952559,2.23637,0.947618,9.47227,2.76075,10.8868,2.99019,4.09317,10.1964,2.01253,1.8815,2.47243,5.82546,2.38838,1.44225,6.4088,1.46366,6.20619,1.4467,2.74005,2.21752,3.79529,4.77767,4.59743,5.73722,4.30934,2.75563,3.24451,2.37021,3.62191,10.0428,2.12022,3.38586,5.3063,1.11776,1.78468,4.36038,2.10601,7.94033,5.5163,7.65301,1.91323,2.33754,3.67837,2.07404,6.63875,8.1759,4.68754,5.69473,3.34164,3.85686,3.04277,5.10895,2.6039,0.875755,2.98841,2.50081,5.72464,2.32846,12.741,11.8894,6.90026,9.00486,3.60674,3.51828,8.29429,6.28304,4.48088,5.73162,4.96717,9.45576,7.51597,19.8439,10.0778,8.17643,10.8029,5.13857,2.39566,4.24072,1.03482,22.7711,6.62868,3.00625,7.47379,1.36205,2.69913,1.55337,2.64254,4.90838
"2",0.319515,1.24794,0.727569,1.21136,1.35983,0.699069,0.828929,0.690268,0.600944,0.69937,0.318156,0.349199,0.238223,0.612855,0.298283,0.248441,1.07262,3.6163,0.326302,0.568856,0.530868,0.522402,0.768771,0.716736,1.14957,1.09028,0.412726,0.112984,0.763682,1.42157,1.12408,0.669898,0.61862,0.553456,1.12847,0.653167,0.347638,0.62172,0.529769,0.397778,0.150283,0.968529,1.45393,0.30281,0.520801,1.01926,0.895781,0.486968,1.16376,0.352365,0.297659,0.301423,0.462979,1.0224,0.651127,0.530722,1.95368,1.02706,2.26452,0.621126,0.923043,0.847203,0.179578,2.30917,0.53784,1.15845,0.590047,0.542174,0.217396,0.892793,0.647822,0.912416,0.230365,0.943955,0.786594,0.233564,0.405493,0.723899,0.269227,0.212878,0.613263,0.271111,1.3182,0.197212,0.386564,0.159433,0.594157,1.77363,0.107341,0.833941,0.467524,0.314367,0.98192,0.361483,0.138267,0.417143,0.173779,1.17703,1.34843,1.22743,0.904045,1.77626,0.358352,1.19721,0.404978,0.232502,0.206005,0.048777,0.399066,1.2927,0.064819,0.722239,0.092017,0.346878,0.406199,0.118152,1.68396,2.08496,0.930819,0.536637,0.241603,0.268518,0.147506,2.48714,1.04338,0.716933,0.337894,1.08089,0.021614,0.331999,0.244747,0.384529,0.379753,1.04115,0.589253,0.151431,0.397398,0.748584,0.423688,3.81266,0.650888,0.144454,0.555513,0.568252,0.464158,0.507215,0.516008,0.361927,0.11825,0.303065,0.623211,0.865384,0.804731,0.706522,0.669522,0.446182,0.935532,0.873573,0.233094,1.02917,0.177338,0.774714,1.64204,1.77843,0.859972,0.827342,0.389112,3.50985,1.2052,1.94204,0.993479,1.58729,0.579723,0.159716,0.947682,1.06693,0.551068,0.714872,0.067418,0.089817,0.217857,0.655832,0.756184
"3",76.6563,56.265,120.754,123.171,31.7775,34.6271,43.6208,62.9593,112.072,97.7552,39.2891,77.6437,58.1084,97.3252,52.7578,62.2837,69.4991,66.8978,23.0721,34.8175,39.6987,107.832,86.7383,63.0543,80.7893,65.6484,21.169,49.2176,53.4554,69.328,83.9119,46.0413,56.1017,66.2834,94.9307,85.1135,48.7492,90.6736,112.759,36.9557,19.125,104.239,87.3329,69.6265,83.2113,54.159,82.5187,65.4992,79.4746,41.6426,52.5885,47.9741,36.8006,79.3147,78.4161,68.4917,96.4845,94.7261,72.9435,61.2254,105.219,88.7016,16.6445,89.1921,94.3054,48.2373,66.0092,58.3584,31.509,91.6337,38.0844,83.7586,55.0607,95.5026,101.094,48.3668,58.2659,19.6128,40.4625,85.386,77.2309,44.8248,46.1379,107.591,60.0836,25.5809,46.5851,47.7171,39.3787,84.4177,91.262,51.6282,60.7868,92.1643,31.1053,59.21,31.9539,93.5783,36.5609,78.8741,56.1474,77.115,74.4678,32.6539,34.7765,64.5206,62.8723,19.3153,50.1062,94.6739,41.6144,66.4437,28.4748,56.6658,44.7972,62.0686,73.3868,89.6548,88.2898,52.8137,45.1866,93.6257,19.7612,74.935,70.3951,42.4388,62.4637,69.0896,32.8113,45.6826,46.053,59.9913,119.186,77.0964,78.0754,20.8804,43.0803,55.4413,82.3127,48.1612,90.0472,55.4631,72.0202,88.9953,76.2463,51.0847,135.821,42.5039,36.8665,52.7167,57.9976,54.8544,26.8666,57.9027,127.237,108.869,99.2182,87.3781,20.5858,25.5699,76.6148,70.5694,98.724,40.153,86.0614,84.0154,149.205,19.2755,35.1404,65.7701,62.3399,47.7084,33.1295,30.1537,37.742,77.813,34.797,59.7878,24.1209,15.1958,41.648,65.8812,48.4378
"4",8.71662,24.6777,34.4966,22.9624,37.9144,6.46526,21.1334,20.3086,38.989,32.0979,10.943,26.0031,10.2617,23.0591,16.149,17.0494,32.9628,13.4333,7.96946,15.7863,10.004,28.7151,34.2239,21.9985,21.8049,27.1604,12.9218,10.9632,24.0963,22.446,30.0565,34.3486,28.2741,23.1462,31.063,20.3111,9.90077,41.8224,39.8014,23.0242,6.39872,19.6911,26.8574,11.9562,25.4042,18.7326,22.3071,19.3865,29.7514,21.9725,17.1701,23.4422,17.245,35.6764,31.0845,13.0401,24.8936,51.5994,18.3081,25.6436,17.9879,65.7192,8.50487,24.8206,18.0422,14.147,19.3864,23.8027,7.35941,28.1574,8.06864,31.1064,15.4283,35.1479,22.0281,5.60223,19.0359,23.3342,13.1193,22.6559,25.7075,10.7866,11.4698,32.2647,19.1177,5.59689,14.2208,8.10398,5.75391,35.4471,19.5129,9.17356,24.6038,9.62657,4.32288,16.1812,13.8451,30.8988,14.6997,32.0089,13.5785,13.154,31.1733,11.7254,7.88658,15.433,26.7275,12.8555,6.01555,34.5357,6.71223,25.4286,10.7263,13.1533,16.6395,22.5882,20.5437,15.8486,23.3461,22.9722,10.3938,26.197,15.588,19.1637,45.1431,12.7125,16.2879,23.2617,7.02697,19.2133,19.8537,12.1481,29.8546,27.6062,33.6126,13.2117,15.3922,25.798,13.1033,27.1479,35.7932,31.8127,31.5706,16.926,21.6836,20.6528,25.2701,11.3835,8.47982,13.8154,13.2311,37.4067,6.90367,48.8239,23.0504,23.4544,32.3704,12.3576,16.7778,19.2408,36.5321,22.1267,28.8288,19.8749,39.0556,33.0742,57.05,21.2401,54.8341,45.8298,24.2511,11.7734,24.8501,4.51306,58.5215,43.0023,14.5023,41.3212,8.41395,16.6163,8.78362,12.5575,26.5128
"5",3.38584,20.6311,21.6741,8.1576,23.8012,3.59883,13.1305,12.0107,18.719,19.4157,4.67945,6.54894,3.33674,13.3604,10.7158,13.0601,10.6623,10.6086,3.91545,7.89273,4.40193,7.77769,16.5783,14.8871,17.3728,13.9552,11.4015,3.69215,15.7515,11.679,22.5893,13.6202,10.9383,10.0795,15.6402,5.77458,6.19446,21.3755,23.4639,7.61954,5.36584,24.7703,13.8019,3.61456,15.1463,10.3437,7.98369,11.7329,19.9623,15.0551,10.4118,6.50636,9.29247,17.3025,15.4444,9.0375,20.2802,24.4155,11.383,16.4651,7.97118,28.2754,8.4538,13.316,4.66075,10.3031,12.9363,13.3503,4.1097,21.0634,4.58186,19.7653,4.14115,22.0258,12.3355,4.45303,13.9631,8.08983,7.59367,10.0012,11.5082,4.84699,8.47151,22.1086,15.2145,2.5394,8.56415,6.56657,2.39707,16.2363,10.8451,2.07183,19,2.57631,3.37202,6.7794,1.88265,22.7446,8.97755,20.2435,12.1221,17.8945,18.7107,5.88834,5.90136,8.06523,20.6231,5.03821,2.65448,20.4133,5.32051,12.5793,3.73989,18.4891,6.28248,9.37789,20.0619,13.3764,18.8421,13.1032,9.51842,13.294,10.4713,17.1022,26.4871,9.36953,9.4784,13.4521,2.36736,3.13737,7.15919,6.57001,22.3674,20.7211,14.2601,7.679,19.8726,11.564,2.49719,29.4356,15.3997,16.9678,15.2057,7.64015,9.22326,11.2391,14.6354,6.89725,3.02731,8.15221,6.92119,20.5758,6.29149,25.231,22.7362,19.0329,10.2168,10.2314,13.8335,14.5581,15.9918,16.3835,14.8952,22.485,18.4895,24.2307,29.0382,22.9991,46.1536,30.8025,13.0807,9.34931,14.2611,2.84999,30.251,23.3126,9.9965,20.471,3.48918,11.4757,5.20952,12.4054,17.745
"6",2.39569,4.28918,3.60573,3.26843,7.23731,1.6178,3.22808,2.75939,4.64586,5.32798,1.81661,4.46104,1.19815,3.60791,2.57873,2.38623,2.75367,2.1307,1.06596,2.44976,1.20268,2.17367,4.45141,3.97449,3.34558,3.54539,2.6769,0.903141,4.51739,3.50981,4.63414,3.22739,4.20526,4.51739,5.2441,5.53549,1.55939,4.16608,3.45306,3.2013,0.439439,4.33648,3.57832,1.86984,4.29482,2.75721,5.97007,2.87916,5.31491,4.47412,3.71618,1.53271,2.31764,5.51294,2.99987,4.02775,6.67945,6.92542,3.23209,6.03174,3.19297,9.08288,0.658188,5.74412,1.87252,1.52229,4.82346,6.8332,0.830216,4.93209,0.888888,3.10149,1.56494,5.08242,5.18816,1.6237,2.52009,0.948977,2.03916,2.95071,2.87436,1.21314,1.68263,4.46263,1.75532,0.437522,2.61654,2.05791,1.62566,4.71168,3.65822,0.804645,4.15906,1.29928,0.331573,2.4812,1.12443,5.62093,2.46368,4.15887,2.37936,1.83575,5.80598,4.81781,1.54282,4.35968,3.62536,1.394,0.75156,6.70096,1.49173,3.09822,3.57638,2.34387,3.83552,10.5151,3.40277,2.32542,2.31457,3.8519,2.19744,4.47543,1.79411,5.36699,8.17892,2.6671,2.13577,3.68675,0.449798,2.4114,2.87144,3.35297,5.76441,4.23786,3.07755,2.32271,4.50299,4.36813,3.02256,3.02825,5.27101,3.48565,3.56555,7.34243,2.50173,3.7766,3.62647,2.22156,3.84073,1.41739,2.14199,3.61739,1.56235,12.7349,10.6925,5.76951,4.45451,1.98599,1.05694,7.34045,7.67784,3.35139,5.55675,2.66311,9.03048,9.88623,17.7741,13.5687,2.24181,3.91006,3.68623,1.42211,4.30677,0.482577,16.6303,4.81805,1.9905,5.96977,1.33498,4.81523,1.1664,2.02525,1.30544
"7",20.6897,31.9761,31.347,58.2597,31.7667,14.5261,33.1401,32.2087,46.5199,34.9442,22.9412,43.0369,27.637,44.098,28.5565,32.9998,56.773,47.0878,10.014,14.5018,23.8824,39.8504,31.5061,29.6499,49.3746,34.0648,15.0265,17.5173,31.3024,31.7241,33.3486,41.1993,50.0317,28.9032,27.8406,39.1894,18.7573,38.1269,41.6928,20.1765,18.8771,41.9233,34.063,24.8343,27.8994,31.434,46.2655,21.2307,39.7463,21.7607,30.9505,21.8224,25.3601,38.0149,35.6788,26.4476,33.3962,52.4775,28.947,31.7,40.3173,60.2004,10.9199,29.9911,32.6101,23.315,27.8149,27.6185,18.7226,33.2483,13.9503,34.5054,20.6268,44.1995,56.2118,24.1816,24.8548,10.964,17.3049,38.9418,23.0863,21.8174,32.8715,49.8989,27.792,11.1639,18.7384,24.7335,13.0477,27.1665,31.6383,14.8062,30.2616,39.1514,16.3103,28.4249,21.7018,32.3798,15.238,42.3646,29.6778,32.0048,49.3263,15.7321,16.5292,27.8904,38.2257,16.2215,22.6037,35.8031,25.0626,24.4377,17.412,25.4155,17.0909,36.3877,31.4131,68.3669,53.7546,24.6177,35.6408,46.4684,13.5373,35.4767,26.8525,23.3409,29.3288,39.6032,13.8076,29.1815,18.9553,24.6524,56.3125,30.6231,37.73,7.49075,30.1039,37.0618,34.4533,33.8392,26.8749,37.7169,27.088,33.708,30.4193,21.9019,48.2153,19.7827,12.7075,30.1938,20.0799,27.7028,20.0459,47.4467,48.9387,48.1475,56.1545,33.1676,16.2726,25.6494,44.4322,30.6857,39.9278,31.3792,26.9057,40.0818,64.4472,34.5792,22.1986,43.2998,26.4536,32.2859,21.0505,15.551,46.0301,47.8778,17.8764,28.2292,10.4683,13.707,17.8178,25.3937,29.7694
"8",10.2693,16.2056,19.3913,13.4353,12.0743,8.63071,17.4379,17.4329,22.3361,20.8827,15.7579,16.0572,22.1703,20.5088,17.9787,23.2225,25.7511,20.0335,10.3428,10.2877,11.9648,16.8498,19.2344,14.886,12.6183,16.7143,12.5309,9.66996,15.4611,16.9602,16.7733,34.9913,14.5906,14.2969,19.1589,12.0023,12.9875,21.2799,17.7763,12.1345,4.99138,17.4057,14.5659,7.41886,15.3766,12.8093,14.1762,11.2099,17.4395,14.5873,17.8045,9.60711,11.8862,19.2226,16.571,12.9173,13.4214,24.6471,14.2548,18.9441,7.65478,18.3201,7.82659,9.80859,13.9311,19.3993,16.5684,18.2676,13.2283,16.9181,10.2761,17.2576,15.4033,17.8842,20.2548,12.7727,13.6095,28.3196,8.96991,19.0292,16.3164,9.58215,20.0495,26.9348,18.3456,6.72853,5.72582,16.2318,6.89023,23.0481,14.6039,7.37672,24.6016,9.47693,6.34067,16.1453,6.95859,17.3636,11.6905,21.954,13.1959,16.7824,19.9253,10.0466,9.71644,13.7661,16.9621,7.80454,13.0623,18.9011,11.6443,22.0171,5.17145,13.9476,13.1398,14.2872,20.8975,35.2581,32.9501,11.5846,18.7114,23.6162,17.0457,19.4252,17.7283,10.7698,13.6881,24.5892,13.0218,11.4334,13.3804,13.5704,10.7265,18.0468,16.0007,18.6916,7.0739,27.1829,13.8654,16.8838,19.6159,27.1037,14.8329,11.0427,19.1444,14.7602,18.862,13.3856,4.5643,20.2595,12.7364,20.1988,14.0118,31.3727,15.1402,13.2886,18.2948,14.6018,17.9406,10.4091,21.2412,18.313,27.3256,23.6897,15.9711,15.0574,21.2216,29.298,28.3612,21.6891,16.1826,11.8347,18.6784,10.9703,12.0328,15.6463,15.4575,23.9005,11.5346,18.898,11.3833,14.4191,8.34822
"9",11.0151,13.439,18.9642,21.1772,42.5956,13.9405,25.2893,22.0124,18.6218,11.1267,13.3608,32.3678,60.2117,45.0943,19.7704,50.7256,90.3421,27.0498,7.481,27.7265,19.4211,10.7164,16.6154,39.0089,72.9373,13.7428,38.5686,10.2791,17.0951,16.1596,27.5163,70.2407,27.6313,20.4423,14.4624,21.7049,8.3742,25.2158,11.4047,13.1307,10.7862,31.869,23.8863,4.54155,20.3291,44.9273,13.4744,37.357,26.9347,18.0436,17.0636,12.745,10.4651,56.9017,30.1097,12.6603,57.2368,45.4819,18.6166,15.6846,16.8901,18.9739,24.4928,66.0232,17.4308,32.1148,44.9899,23.474,9.5117,42.4742,15.027,17.5725,27.2108,22.0068,31.1449,8.34585,19.9892,70.2514,10.8958,12.1935,24.6625,14.8165,36.3517,26.7069,32.7761,14.61,13.2761,60.3495,8.83499,41.8763,39.1793,11.325,104.629,10.0007,12.53,20.0572,8.15359,121.365,18.5238,43.8138,29.751,38.7393,27.7206,30.6725,19.456,25.2793,50.3534,10.3659,15.0608,42.9201,9.90571,41.7168,20.2093,47.5068,41.455,18.039,37.7654,78.2486,76.4192,16.8538,26.1985,31.0355,44.3157,34.7765,43.3086,54.1717,15.3849,61.1679,23.0747,16.1195,17.5482,14.3182,20.2873,32.5308,44.4817,38.263,48.5561,36.1116,11.1692,106.214,37.3967,59.4383,21.2366,33.6274,16.9752,41.4228,35.9699,33.2129,6.40154,13.1649,15.3623,74.0554,25.4479,75.0678,46.1591,38.6591,19.3722,18.0963,45.15,14.722,42.1744,34.8291,27.3741,86.3914,41.8944,25.9972,13.8423,91.6439,167.879,84.1575,38.433,36.5236,47.3441,9.94593,17.5506,85.4519,44.9601,71.4214,11.6744,36.1934,11.7463,33.1167,83.6372
"10",2.52769,10.5999,15.6181,14.6648,12.2646,2.15916,7.04141,8.34806,19.6076,15.3786,2.6294,8.68797,4.94634,9.45438,5.47955,6.42757,10.789,3.46525,1.61298,4.67975,3.34456,13.5929,14.1826,6.66844,4.98161,10.0122,2.57312,4.62163,8.5647,7.96722,11.8901,2.6665,6.27689,10.0027,11.767,12.5601,4.28421,12.296,24.8334,7.24594,1.69592,7.58901,12.1786,7.45412,12.5971,5.45498,8.37302,10.0243,11.4391,6.72485,5.9896,6.57353,7.69627,14.7252,14.3724,6.20683,11.0129,19.5586,8.27909,9.53277,12.4098,35.5752,0.959899,11.4346,10.8907,2.46799,8.74235,8.26764,2.97824,11.988,2.78592,19.1751,7.00889,20.3884,11.1433,4.51703,9.34709,1.93193,5.00759,12.3868,10.0323,3.98346,2.62402,19.3231,7.4631,1.31191,4.61793,1.87213,2.69902,11.5711,6.42545,6.62995,3.66474,5.33029,0.83515,5.89997,4.34836,13.4336,3.02806,14.8665,3.87767,3.6028,12.7467,3.80803,2.67777,5.30256,10.8524,3.50193,2.85526,9.8086,1.44825,9.9746,3.82422,4.1391,2.88838,8.71614,5.55121,5.32799,5.40711,8.43479,2.87241,11.5892,1.80912,7.10129,13.0464,2.0554,6.95435,6.74226,2.8045,5.2719,10.2642,7.1386,24.7617,8.59407,11.1016,0.482854,4.56173,6.13785,5.46103,5.79916,12.2001,7.28789,9.75283,6.78125,8.14613,3.84318,16.5792,2.63506,3.61164,8.39003,5.04246,4.76248,1.53797,13.5169,20.2795,16.8791,18.6514,7.48755,0.944576,11.327,14.7585,8.62984,13.6134,4.77022,14.9354,14.5159,39.5445,8.61783,4.86487,12.6155,7.80283,2.83352,5.15279,1.47468,41.0376,11.7575,2.43297,8.08449,2.2052,1.25195,3.16851,2.27154,5.26153
