"","GTEX.1117F.2126.SM.GIN9G","GTEX.11GS4.2326.SM.5A5KS","GTEX.11OF3.1326.SM.5N9FJ","GTEX.11TTK.1926.SM.5PNW8","GTEX.12696.0926.SM.5FQTV","GTEX.12WSG.0826.SM.5EQ5A","GTEX.13112.2126.SM.5GCO4","GTEX.1399S.0526.SM.5IJG8","GTEX.13FHP.2126.SM.GIN8J","GTEX.13NYB.1726.SM.5N9G2","GTEX.13O1R.2526.SM.5N9FW","GTEX.13O3O.1726.SM.GJ3RL","GTEX.13OVI.1126.SM.5KLZF","GTEX.13OVL.1826.SM.5KLZR","GTEX.13OW6.1826.SM.5N9F9","GTEX.13RTJ.2226.SM.5S2Q1","GTEX.145MN.0326.SM.5QGQI","GTEX.147F4.2626.SM.5Q5CS","GTEX.1497J.0826.SM.5NQAJ","GTEX.14C39.2126.SM.664OH","GTEX.14C5O.2026.SM.5YYB1","GTEX.14E6D.2526.SM.5YYA9","GTEX.14JG1.2326.SM.HAUZ5","GTEX.14PJ2.1826.SM.HL9UB","GTEX.15CHQ.2126.SM.6871M","GTEX.15DCD.1926.SM.HAV33","GTEX.15DYW.2026.SM.6AJBD","GTEX.16MT8.1926.SM.7EPGL","GTEX.16XZY.1026.SM.HAV39","GTEX.16XZZ.2226.SM.HAV34","GTEX.16Z82.2826.SM.HAUZZ","GTEX.17F96.1926.SM.7MGWY","GTEX.17F97.1926.SM.7IGM4","GTEX.17HHY.2326.SM.7KFSR","GTEX.1A3MW.2226.SM.73KUX","GTEX.1A8FM.2026.SM.7P8RN","GTEX.1AX8Z.2326.SM.731CR","GTEX.1BAJH.1826.SM.731DA","GTEX.1C6VQ.2326.SM.7IGN1","GTEX.1CB4J.1926.SM.7MGX8","GTEX.1E2YA.1626.SM.7MGXS","GTEX.1EKGG.2226.SM.7IGOA","GTEX.1F48J.2226.SM.7MXTN","GTEX.1GF9V.1926.SM.9JGHE","GTEX.1GF9W.1326.SM.7P8PX","GTEX.1GMR3.2426.SM.7MXV2","GTEX.1GN1U.2126.SM.AHZ4J","GTEX.1GTWX.1826.SM.9QEHG","GTEX.1H3NZ.2126.SM.9WPQ6","GTEX.1H3VY.1926.SM.9JGHJ","GTEX.1HB9E.1826.SM.D4P33","GTEX.1HBPI.2026.SM.CE6RZ","GTEX.1HCU7.1826.SM.A9G2A","GTEX.1HCVE.2126.SM.HL9UO","GTEX.1I1GP.1926.SM.CNNQU","GTEX.1ICLY.2026.SM.GA913","GTEX.1IKK5.0926.SM.A9G2U","GTEX.1IL2V.1826.SM.ARU7R","GTEX.1J1OQ.1426.SM.AHZ3P","GTEX.1JJ6O.2526.SM.AHZ3J","GTEX.1JMLX.1526.SM.AHZ3N","GTEX.1JMPZ.1226.SM.ARU8Y","GTEX.1JMQJ.1726.SM.E9U4V","GTEX.1JMQK.1926.SM.CJI3B","GTEX.1K9T9.1826.SM.CXZK2","GTEX.1KWVE.0826.SM.CXZKO","GTEX.1LG7Y.2726.SM.D5OVW","GTEX.1LH75.1326.SM.F2I1R","GTEX.1MUQO.2526.SM.E9TJN","GTEX.1N2DW.1826.SM.EAZ54","GTEX.1N2EF.1426.SM.EXUSH","GTEX.1NV8Z.2226.SM.EXOJ2","GTEX.1O9I2.1926.SM.F2TBQ","GTEX.1OJC4.2326.SM.DTXA5","GTEX.1PWST.2226.SM.EVR3G","GTEX.1QAET.2126.SM.F2TBS","GTEX.1QP6S.1526.SM.EXUSG","GTEX.1R9PO.1626.SM.E6CPT","GTEX.1RQEC.2426.SM.F2I1J","GTEX.NFK9.1826.SM.HL9T3","GTEX.O5YV.1226.SM.EV795","GTEX.P4QS.1126.SM.3NMD5","GTEX.QDT8.1726.SM.EYYV6","GTEX.QDVN.1726.SM.HL9TO","GTEX.QLQW.1626.SM.CMKFE","GTEX.REY6.1826.SM.EAZAT","GTEX.RN64.1626.SM.48FD7","GTEX.S33H.1426.SM.EZ6L7","GTEX.T5JC.1526.SM.4DM68","GTEX.T6MN.1826.SM.EXOHN","GTEX.W5X1.1626.SM.H7OGO","GTEX.WL46.1926.SM.GNIN6","GTEX.XPVG.0526.SM.4B65N","GTEX.Y5V5.1226.SM.EYYVP","GTEX.Y5V6.2026.SM.5IFHO","GTEX.ZC5H.1726.SM.5HL7X","GTEX.ZDXO.0226.SM.4WKH7","GTEX.ZE9C.1426.SM.4WKGM","GTEX.ZLFU.0926.SM.5P9F8","GTEX.ZVZP.0926.SM.5GIDB","GTEX.ZXG5.2026.SM.HAUZV","GTEX.ZYFG.1626.SM.5GZYY","GTEX.ZYT6.2226.SM.5GIC9"
"1",3.43827,3.05394,1.32005,5.35403,6.63043,4.65709,4.62501,6.62483,1.2677,3.32414,3.00402,2.63532,9.18204,3.58902,1.90515,3.18977,7.12664,5.372,5.76907,2.38486,2.73861,2.18835,2.56561,2.18691,2.46627,2.78623,1.87816,3.53184,7.12599,3.61636,1.36538,3.30297,5.65271,1.7869,6.94675,2.068,9.68709,3.19639,2.01388,3.49273,2.43763,2.60978,2.62106,2.24515,3.44796,2.60725,1.67689,2.86402,4.17805,4.39366,4.46846,2.2816,1.85077,2.08639,2.59675,2.22623,3.93873,8.0892,3.1006,2.00033,2.48781,4.83075,4.30224,4.45009,3.90274,1.83937,2.84625,7.74281,7.77137,5.06146,3.43382,1.61164,4.24487,5.39811,4.94553,4.59555,2.3449,8.01029,3.21013,2.49571,3.591,4.40042,4.14789,4.21521,4.88392,2.02007,7.93946,2.56299,2.79221,3.55869,7.32476,2.32103,6.52534,2.63289,3.04528,2.8154,1.65703,8.49621,5.89036,5.13056,3.92117,5.08423,4.80671
"2",0.092847,0.128786,0,0.15329,0.053169,0.127732,0.08911,0.407338,0.030258,0.024585,0.420911,0.23625,0.311047,0.129302,0.008932,0.12082,0.141351,0.319817,0.346119,0.294569,0.041343,0.195911,0.096133,0.18179,0.061858,0.203447,0.149907,0.303997,0.60011,0.187562,0.08423,0.133726,0.16056,0.122257,0.812294,0.120001,0.248986,0.055522,0.111113,0.483556,0.206286,0.08233,0.088969,0.149109,0.206167,0.166836,0.093877,0.161684,0.15191,0.095839,0.239232,0.128786,0.132454,0.12689,0.101758,0.073379,0.134331,0.167962,0.170609,0.115604,0.074932,0.258354,0.239835,0.214688,0.03741,0.065183,0.132827,1.27796,0.800077,0.399669,0.149872,0.15978,0.268656,0.170581,0.30437,0.230529,0.131594,0.189164,0.233182,0.170794,0.23372,0.164188,0.457419,0.121717,0.562382,0.130772,0.41011,0.085654,0.160559,0.10394,0.288109,0.074431,0.274983,0.15622,0.108337,0.143755,0.164442,0.456082,0.845449,0.435544,0.225793,0.182144,0.169185
"3",58.2371,9.26784,17.3817,2.49522,4.10023,18.8916,13.7729,6.23943,16.6802,150.132,9.44807,3.10528,16.8586,17.5979,25.6269,9.021,33.8772,10.5403,34.3962,8.47467,32.4295,70.2157,38.9498,11.0649,28.5612,13.4571,18.6477,24.4664,9.97865,11.9915,9.59485,17.8296,6.22952,33.442,4.56924,14.9043,28.7376,31.6642,13.9589,6.30494,13.4076,14.8101,6.96369,19.7782,19.8291,13.7642,4.65784,9.17379,29.6047,4.69298,37.7526,23.5128,11.5742,27.1135,9.40884,13.7181,33.3179,26.7906,10.1629,12.6868,12.3943,47.7963,173.519,12.3319,16.9968,40.7618,7.72861,4.99582,10.643,6.92901,12.2134,26.0006,23.9793,5.83923,9.72079,29.3027,12.0293,43.9158,62.4182,15.2997,15.6879,31.3992,19.6734,14.6765,10.9814,15.4477,5.61939,12.7765,23.5142,139.674,30.8587,60.3977,30.7847,18.8279,18.4836,17.2613,12.6707,4.78018,12.0837,7.01299,2.72259,11.5024,12.9464
"4",4.8434,5.19905,3.25643,17.3268,10.2435,7.21605,11.4302,15.007,2.34587,5.33644,5.00001,3.89928,18.0861,7.03086,2.26426,8.87563,15.9154,16.6047,10.155,5.26131,4.20264,2.83305,4.52775,3.73879,4.42596,9.98588,3.32143,8.67987,16.3944,5.18947,2.68682,6.62308,20.6518,2.69242,19.5619,3.59971,15.1832,6.09319,4.64169,8.16181,3.71363,4.47671,6.55306,3.22743,3.90067,2.78266,3.4047,5.1233,5.11847,12.35,10.7181,4.97866,3.17688,2.33742,2.28504,3.40548,4.16369,13.8545,9.40665,3.07478,4.60632,11.966,5.49711,11.3055,7.56896,2.62313,4.93435,15.9117,16.9063,29.8374,3.25784,4.1376,9.01666,18.9964,9.15324,13.3313,5.58299,9.0031,4.92883,4.29628,6.74402,5.69568,6.55781,13.3525,15.619,2.93382,28.0048,3.43462,4.05839,4.76335,16.5744,3.23117,10.8047,3.97336,6.08767,4.92341,3.5954,31.2404,16.2247,14.2529,18.5928,12.8852,9.27453
"5",10.133,18.9343,7.86537,20.1218,15.3867,13.7268,32.8852,20.9031,7.51012,11.4982,5.26165,21.0743,23.8158,20.0432,7.06672,15.6386,22.4755,20.185,22.678,18.7487,3.7672,8.10903,11.7647,16.8423,8.96889,9.95253,11.6695,15.0677,35.5581,11.3535,8.38444,16.2101,44.5326,12.4099,43.8826,12.2595,43.0305,16.2313,15.2991,17.2238,8.8908,15.185,17.1045,16.2998,14.6998,12.2289,12.5098,17.3828,14.7384,19.5649,26.6154,19.8297,11.4239,7.00848,9.99454,7.26915,17.7852,25.8832,12.1505,7.25368,14.0031,23.5345,16.5513,24.0655,40.4789,10.9663,20.8475,23.5662,23.0256,61.3823,7.2463,10.1725,18.3943,37.0953,13.3833,21.6813,13.0187,27.8358,19.85,14.4286,27.3611,15.9918,23.2908,10.8167,29.9341,6.30226,70.7321,16.2573,10.048,10.6825,41.1901,9.96807,23.1592,12.2951,14.2818,25.948,8.97777,67.0884,17.3368,21.8628,20.4589,26.5315,24.1465
"6",0.183602,0.150377,0.139363,0.622748,0.267022,0.333343,0.429623,0.288956,0.096875,0.152795,0.11614,0.044493,0.455617,0.732981,0.040372,0.436119,0.270642,1.0962,0.12148,0.517777,0.043602,0.278396,0.110274,0.125534,0.067569,0.130271,0.264945,1.32088,0.67542,0.347659,0.029964,0.304734,0.360339,0.051805,0.364236,0.057755,0.510596,0.543736,0.221466,0.245884,0.048562,0.604701,0.578999,0.118807,0.093833,0.36276,0.126974,0.449721,0.05245,0.912997,0.475576,0.262386,0.038377,0.165687,0.195473,0.064845,0.075895,0.292598,0.109244,0.077562,0.24837,0.462229,0.563094,0.10108,0.03875,0.155494,0.569467,5.80116,0.254001,0.604666,0.135482,0.339364,0.468013,0.182045,1.94076,0.142651,0.966543,0.541502,0.692309,0.180622,0.170563,0.142828,1.64517,0.311753,0.362909,0.152695,1.09096,0.177443,0.095366,0.535868,0.368964,0.200919,1.3041,0.188294,0.190428,0.146647,0.144524,1.64153,0.422937,0.436229,0.272151,0.843287,0.486628
"7",32.1743,23.1829,11.9045,93.4218,28.6325,40.0265,46.4703,35.1269,14.3195,39.7816,12.4611,18.8679,50.24,40.9908,16.0987,31.0338,41.3139,46.3093,40.4425,23.914,26.5788,32.9316,19.8771,21.2036,20.8759,25.9039,14.7544,44.5712,61.7901,25.7561,13.543,25.1279,80.3369,16.1146,63.405,19.9526,57.4981,24.0278,14.6501,31.6996,13.5743,23.1595,25.863,19.0707,24.5867,23.1145,11.6792,27.3853,24.8552,37.0332,59.9953,21.8531,19.2326,12.7039,13.9987,22.4712,23.3968,46.1269,30.1525,21.0063,23.2771,54.6203,47.3673,44.5241,42.1273,19.8547,25.3327,38.446,52.2621,94.4401,17.4535,21.1892,48.2634,45.0102,36.4115,52.922,19.8166,72.0235,40.4351,16.2986,24.7231,31.7491,42.7679,28.8797,46.786,18.5023,45.4193,24.5227,34.571,29.9751,74.2717,30.1869,43.5292,17.9744,17.7258,25.8446,18.4347,136.398,35.1398,35.2047,24.8664,46.3353,52.6436
"8",33.4917,3.67194,4.68324,14.8961,3.30989,20.7925,1.90701,15.1875,4.813,25.1959,35.4622,2.32108,13.7243,2.6769,3.76662,16.5482,25.3647,7.16839,22.3813,6.24519,42.6665,9.19717,3.69988,6.58468,6.16677,14.5151,3.65181,18.9521,21.751,8.6144,3.29973,5.71917,12.0226,5.06818,21.6844,4.98907,19.0117,7.69378,4.97853,18.6506,7.93895,3.8521,10.0718,6.0006,18.0268,10.4127,4.29937,12.3162,18.703,14.6129,35.1735,5.65689,7.44534,5.91453,7.22957,17.8248,15.8427,11.6095,22.0597,15.328,4.30777,34.4626,26.428,37.2851,22.7561,9.33932,3.73885,3.64633,11.9718,11.7318,10.1499,6.24762,39.899,2.92873,20.0024,21.2144,4.98518,44.373,18.9571,5.1473,21.5961,44.7839,18.9225,33.6279,28.4117,13.8148,2.08682,10.2546,12.2593,13.1986,11.2973,6.21646,16.6682,5.02518,18.0485,20.7046,3.09959,5.61609,13.8542,15.4141,2.24096,8.74624,1.91152
"9",180.12,46.7917,32.2209,148.961,85.4244,119.323,122.136,252.908,41.6259,119.482,45.2301,39.6181,108.078,81.8926,28.2387,59.1684,220.75,48.6875,142.536,50.0894,86.2532,57.0835,37.3996,55.4727,30.6641,38.4751,25.8777,123.907,83.4283,80.072,25.399,52.7395,82.2431,34.3769,149.074,35.925,147.638,44.1685,34.5801,78.9433,54.2507,43.9718,59.287,40.0001,100.655,110.768,28.3113,50.1464,111.827,90.5788,156.856,43.495,47.3887,39.176,25.6794,73.9953,67.4867,68.2358,62.9004,56.7176,42.1549,142.421,106.471,91.4945,141.441,44.5194,34.8683,59.4431,102.251,65.1037,53.0038,35.4013,187.573,89.6268,112.095,231.253,32.9779,238.411,68.4001,44.9808,131.404,176.316,154.822,280.1,152.697,70.2534,60.793,79.6847,129.752,93.484,182.834,33.5586,111.999,73.7874,100.252,57.3978,22.9528,55.2335,104.094,59.9595,46.093,143.046,133.249
"10",0.078507,1.01196,0.432901,0.327683,1.15526,0.452587,0.968099,0.35347,0.632646,0.282215,0.100325,0.347411,1.39207,0.970071,0.216048,0.412765,1.15897,0.56051,0.251543,0.112712,0.11017,0.631578,0.467559,0.383284,0.154694,0.216855,0.423103,0.273736,0.934303,0.171999,0.329966,0.156245,0.463509,0.231809,0.325082,0.155788,0.657818,0.504559,0.064533,0.21476,0.153283,0.60079,0.263425,0.241382,0.107412,0.282913,0.218672,0.101976,0.173858,0.222647,0.612978,0.357583,0.15455,0.050286,0.119589,0.107603,0.252824,0.380872,0.101418,0.177726,0.273403,0.423663,0.46212,0.258542,0.456272,0.59903,0.302702,0.230342,0.473261,0.860213,0.187399,0.285671,0.348775,0.567227,0.525862,0.259898,0.329688,0.337344,0.635433,0.131959,0.22457,0.157059,0.384198,0.231202,0.428903,0.246614,0.488628,0.745397,0.260762,0.205069,1.75695,0.361084,0.507298,0.540111,0.419467,0.139969,0.275279,1.03876,0.796105,0.637125,0.104909,1.05164,0.781873
