"","GTEX.1117F.3026.SM.5GZYU","GTEX.111FC.2926.SM.5GZY7","GTEX.1192X.2926.SM.5N9BA","GTEX.11EMC.2526.SM.5PNVU","GTEX.11EQ9.2026.SM.5P9JI","GTEX.11NV4.1926.SM.5N9D4","GTEX.11P81.2026.SM.5P9GT","GTEX.11P82.0926.SM.5986X","GTEX.11TUW.2426.SM.5EQKB","GTEX.11WQK.2926.SM.5EQKT","GTEX.11ZTS.3026.SM.5EQM7","GTEX.11ZTT.2226.SM.5CVLP","GTEX.12BJ1.2226.SM.5BC6G","GTEX.12WSL.2126.SM.5GCNG","GTEX.12WSM.1826.SM.5BC64","GTEX.12WSN.2226.SM.5DUXT","GTEX.13111.2326.SM.5LZUQ","GTEX.13113.1526.SM.5EGHV","GTEX.1314G.2026.SM.5LZUM","GTEX.131XF.2826.SM.5EGKH","GTEX.131XH.2626.SM.5GCNP","GTEX.1339X.2326.SM.5HL5B","GTEX.13CF2.2426.SM.5LZYL","GTEX.13G51.2426.SM.5LZY8","GTEX.13JVG.2926.SM.5J2N9","GTEX.13NYB.2426.SM.5IFF4","GTEX.13NYC.2626.SM.5K7VN","GTEX.13O21.1926.SM.5MR39","GTEX.13OVI.2326.SM.5KM47","GTEX.13OVK.1826.SM.6PALE","GTEX.13OVL.2926.SM.5IFG3","GTEX.13QBU.2126.SM.5KLZN","GTEX.13QJC.2326.SM.5Q5CD","GTEX.13VXT.1726.SM.5IFF5","GTEX.1445S.2926.SM.5O993","GTEX.145ME.1626.SM.5RQI3","GTEX.146FR.1226.SM.5MR78","GTEX.14B4R.1426.SM.5Q5CG","GTEX.14E1K.2626.SM.664OJ","GTEX.14JIY.3026.SM.6EU1R","GTEX.14PJ3.1526.SM.664O9","GTEX.14PJN.1726.SM.69LO7","GTEX.14PN4.2526.SM.686ZG","GTEX.15CHC.1226.SM.686ZH","GTEX.15EU6.2626.SM.7KUN4","GTEX.15RJE.2726.SM.6LPJ1","GTEX.15SDE.1226.SM.HAV36","GTEX.15SHV.2226.SM.6M464","GTEX.178AV.1426.SM.6LLID","GTEX.17KNJ.2726.SM.7KFRE","GTEX.17MFQ.1626.SM.7938Z","GTEX.18A67.0626.SM.7KFSL","GTEX.18A7B.2826.SM.7KFTK","GTEX.18D9U.2226.SM.7KFTN","GTEX.18QFQ.0626.SM.718AW","GTEX.1A3MV.1726.SM.72D68","GTEX.1AMEY.1126.SM.72D79","GTEX.1AX8Z.0626.SM.731EH","GTEX.1AX9K.2126.SM.72D7K","GTEX.1AYD5.2726.SM.7MXVG","GTEX.1B8KZ.1726.SM.73KV7","GTEX.1B8SF.1826.SM.731DJ","GTEX.1B932.0626.SM.731EM","GTEX.1B97J.2126.SM.79OL6","GTEX.1C4CL.2026.SM.731EB","GTEX.1C64N.2926.SM.79OLM","GTEX.1C64O.0626.SM.7DHL1","GTEX.1C6VR.0726.SM.7P8OV","GTEX.1CB4I.2526.SM.7MKG1","GTEX.1EH9U.2926.SM.7DHLX","GTEX.1GF9X.0226.SM.7P8SM","GTEX.1GMR2.2026.SM.7MKHK","GTEX.1GN1V.2926.SM.9JGI3","GTEX.1GN1W.2526.SM.9JGHX","GTEX.1GPI7.0326.SM.7MKH6","GTEX.1GTWX.2526.SM.9JGHG","GTEX.1GZ2Q.2526.SM.9KNVW","GTEX.1H4P4.2026.SM.9WPNV","GTEX.1HCU7.0126.SM.C1YR3","GTEX.1HFI6.2826.SM.GA91I","GTEX.1HFI7.2426.SM.B2LXV","GTEX.1HGF4.2326.SM.GA91Q","GTEX.1HR9M.2526.SM.A9G3J","GTEX.1HSEH.1826.SM.A96SA","GTEX.1HSGN.0626.SM.A9G2E","GTEX.1HSMP.1926.SM.GA8Z5","GTEX.1HSMQ.0926.SM.A96SI","GTEX.1I1HK.2526.SM.A96SM","GTEX.1I4MK.1326.SM.B2LWT","GTEX.1I6K6.0626.SM.ARU7J","GTEX.1I6K7.0926.SM.A96SV","GTEX.1ICLY.0626.SM.GA915","GTEX.1IDJC.1626.SM.AHZ2R","GTEX.1IDJD.2526.SM.C1YSA","GTEX.1IDJV.2326.SM.GA8ZL","GTEX.1IE54.0826.SM.AHZ2Z","GTEX.1IKJJ.2826.SM.GA8ZM","GTEX.1IOXB.2826.SM.AHZ32","GTEX.1IY9M.2926.SM.A96TH","GTEX.1J1R8.1826.SM.AHZ3B","GTEX.1J8EW.2826.SM.A96T9","GTEX.1J8QM.1826.SM.A96TA","GTEX.1JKYR.0726.SM.AHZ3K","GTEX.1JN1M.2426.SM.ARU93","GTEX.1JN6P.2526.SM.CNNPX","GTEX.1KANC.1326.SM.CYPT8","GTEX.1KD4Q.2526.SM.CXZKL","GTEX.1KD5A.2226.SM.EV79U","GTEX.1LBAC.0626.SM.D3L9T","GTEX.1LC47.2426.SM.DHXKK","GTEX.1LH75.2726.SM.HL11E","GTEX.1LKK1.2926.SM.EVR4Z","GTEX.1LSNL.2626.SM.EV7AT","GTEX.1LVA9.2526.SM.EVR5H","GTEX.1LVAM.0626.SM.HPAFZ","GTEX.1LVAO.2626.SM.EVR4S","GTEX.1MCC2.2226.SM.EV7AJ","GTEX.1MCQQ.2226.SM.DLHC4","GTEX.1MGNQ.1926.SM.DTX8L","GTEX.1NHNU.2226.SM.GRR2I","GTEX.1NSGN.0626.SM.E9J35","GTEX.1O97I.2826.SM.HPAEO","GTEX.1OJC3.1026.SM.E6CQK","GTEX.1OJC4.3126.SM.EXOJK","GTEX.1P4AB.2926.SM.EXOJR","GTEX.1PDJ9.2126.SM.HPAFH","GTEX.1PIEJ.0626.SM.DTX99","GTEX.1POEN.2226.SM.DPRXV","GTEX.1PPH8.1526.SM.E6CQO","GTEX.1QCLZ.2526.SM.EXUST","GTEX.1QEPI.0626.SM.E76QE","GTEX.1QMI2.0426.SM.EWRND","GTEX.1QP28.2026.SM.F2I3M","GTEX.1QP9N.2026.SM.DPRZT","GTEX.1R9K4.0526.SM.E76P1","GTEX.1R9K5.0626.SM.DPRZB","GTEX.1R9PM.1726.SM.E76T2","GTEX.1R9PO.2626.SM.E6CPU","GTEX.1RAZA.0626.SM.EAZ4H","GTEX.1RNSC.2926.SM.EV79L","GTEX.1RQED.2926.SM.HPAFT","GTEX.1S5VW.1026.SM.HK797","GTEX.1S5ZU.0926.SM.HPAEX","GTEX.1S82P.0726.SM.EVR4O","GTEX.1S83E.0626.SM.E9TKC","GTEX.W5X1.2426.SM.HPAGA","GTEX.WFJO.2026.SM.4LVM3","GTEX.WH7G.2126.SM.4M1XU","GTEX.WHSB.2326.SM.4M1XK","GTEX.WOFM.2126.SM.4M9R4","GTEX.WY7C.1426.SM.4OND1","GTEX.WYVS.2026.SM.4RGNS","GTEX.X15G.2126.SM.4PQZR","GTEX.X261.2426.SM.4PQZU","GTEX.X3Y1.1926.SM.4PQZO","GTEX.X5EB.1726.SM.4E3J7","GTEX.XGQ4.2626.SM.4AT6B","GTEX.XMK1.2626.SM.4B65R","GTEX.XV7Q.2426.SM.4BRV8","GTEX.Y111.2626.SM.4TT24","GTEX.Y3I4.1926.SM.4TT8L","GTEX.Y5LM.1826.SM.4VDT9","GTEX.Y5V6.2226.SM.4VDTC","GTEX.YB5K.1726.SM.5IFIZ","GTEX.YF7O.2226.SM.5CVN8","GTEX.YJ8A.1826.SM.GNTAB","GTEX.Z9EW.1426.SM.HPAG9","GTEX.ZA64.1726.SM.5CVMF","GTEX.ZAB5.2326.SM.5IJFR","GTEX.ZC5H.2726.SM.5KLZW","GTEX.ZE7O.2926.SM.51MSG","GTEX.ZF29.2126.SM.DNZYX","GTEX.ZG7Y.2426.SM.DO11H","GTEX.ZLFU.2226.SM.EXUS7","GTEX.ZLWG.2026.SM.DO11F","GTEX.ZP4G.1926.SM.57WDZ","GTEX.ZPU1.2326.SM.57WEP","GTEX.ZQUD.2126.SM.51MSY","GTEX.ZT9W.2126.SM.51MSF","GTEX.ZXG5.2826.SM.5NQ8T"
"1",4.84351,3.99208,3.38423,2.71119,3.68052,3.39742,4.40998,3.34108,3.7658,5.37503,3.06343,4.04703,3.86541,3.64903,2.74555,2.59991,4.77243,4.75202,4.24656,4.45018,2.90742,4.88471,4.03791,3.01124,4.21728,2.04269,4.09059,3.88246,4.99832,3.84662,1.94265,4.47207,4.3094,2.14128,3.85905,4.76724,3.43868,2.97502,2.3336,2.85202,4.49722,2.56764,3.44935,5.75211,5.61234,3.01292,4.36032,2.38672,4.63906,4.03727,5.03063,5.62451,3.08351,3.03217,4.99252,1.917,2.622,5.99651,7.6611,5.04065,3.35011,3.9337,6.96039,4.31621,2.40015,3.80532,6.42295,3.35556,4.11404,4.02597,5.08479,3.06272,3.75147,4.98085,5.04439,5.26896,2.53241,2.92561,4.11346,2.22788,5.02588,6.19031,5.61271,4.5024,3.96638,3.97202,4.39767,3.6046,4.76459,5.09715,5.22757,3.77184,4.61633,5.17153,4.42979,3.45871,3.76811,2.39726,3.23131,6.30426,4.14236,4.31878,6.55274,4.18477,4.32833,2.91001,2.78892,1.92106,2.51777,3.16794,4.4915,3.10335,2.01308,2.82541,2.53966,4.31878,3.33784,3.09263,4.47761,4.1407,2.49223,3.50448,5.33436,3.78033,4.85106,4.86671,4.97421,1.76048,6.16258,4.45398,4.08673,4.47337,4.93816,4.02846,1.77771,5.32925,3.24543,5.4924,2.88124,3.43931,2.61513,2.85746,2.86756,3.1418,6.42583,2.71535,4.15232,5.0842,5.23289,4.9834,4.97699,3.27805,3.48318,3.2105,2.81923,4.32615,3.14136,5.41014,3.78341,2.90922,5.08698,2.96289,3.94503,4.66142,4.00184,2.2912,3.67011,4.56712,4.04153,4.484,2.3952,3.40895,4.79865,2.48536,2.02391,3.96392,3.68482,1.89236,3.09244,6.42746
"2",0.202359,0.116295,0.219146,0.182702,0.218677,0.304912,0.132613,0.089887,0.16585,0.079193,0.278609,0.072843,0.175773,0.188606,0.107954,0.314759,0.125174,0.469206,0.302298,0.152341,0.144443,0.066773,0.023069,0.026399,0.554515,0.087684,0.127153,0.401726,0.177222,0.1869,0.038125,0.151884,0.15377,0,0.596403,0.312892,0.181602,0.118014,0.064014,0.06626,0.163977,0.067266,0.213734,0.083827,0.046911,0.111308,0.171835,0.052626,0.234212,0.032179,0,0.213042,0.169162,0.148834,0.147429,0.038225,0.020612,0.13286,0.20594,0.104614,0.090478,0,0.114977,0.050878,0.181414,0.144054,0.236738,0.089204,0.237102,0.20728,0.049678,0.227095,0.128363,0.259991,0.246271,0.128105,0.095169,0.01687,0.230487,0.105245,0.164654,0.51994,0.168881,0.048631,0.223431,0.159502,0.296351,0.063103,0.186123,0.093843,0.150377,0.598786,0.138477,0.052401,0.229522,0.229165,0.230863,0.141888,0.016023,0.456533,0.214034,0.353815,0.131743,0.528505,0.233077,0,0.026814,0.080314,0.069286,0.175436,0.160081,0.165378,0.050199,0.033252,0.036087,0.142408,0.06522,0.038269,0.115946,0.165872,0,0.194862,0.139016,0.136226,0.37308,0.167559,0.19471,0,0.300791,0.257989,0.065215,0.01837,0.1274,0.248242,0.021817,0.047942,0.07538,0.352903,0.137201,0.093867,0.038747,0.09704,0.218796,0.020908,0.130973,0.153733,0.043249,0.21133,0.450751,0.31047,0,0.141146,0.224873,0.169851,0.147026,0.131864,0.267569,0.069028,0.201751,0.187249,0.296019,0.142801,0.15539,0.120103,0.126058,0.197062,0.15271,0.201848,0.303171,0.185466,0.104392,0.06502,0.076823,0.055978,0.103276,0.177369,0.088046,0.123506,0.034353,0.171835
"3",5.21717,14.0227,11.3684,3.35546,4.60491,7.03027,5.03811,5.48664,6.99802,5.5798,8.80356,9.45576,7.20514,3.94836,6.78358,5.22994,5.60283,3.98885,5.29446,4.90723,2.20835,4.37243,2.97468,10.3491,5.13099,10.2795,2.9206,7.84152,4.26874,5.44534,8.83677,5.26308,7.85129,6.23835,5.99112,3.61036,11.1725,8.34624,4.27298,1.80147,6.01679,8.19823,8.25766,5.52785,4.40698,11.238,6.70947,7.75236,5.89722,4.55769,9.54555,4.96253,4.21433,3.43468,7.01329,8.36379,8.62153,5.57428,6.382,4.0076,6.67632,12.5658,5.30007,8.84262,7.20683,11.857,5.45759,6.26323,8.47427,5.3651,6.65882,5.03985,6.85557,6.87104,3.77938,5.3805,4.39556,6.51604,4.41669,5.9748,7.91906,7.51152,3.48595,7.29952,13.0194,4.25274,6.65797,6.72149,4.22689,10.2056,4.13184,5.28232,11.2947,7.80744,5.46889,8.22475,8.39114,9.33205,16.2832,5.06677,7.07971,7.79861,7.06106,6.85591,4.53305,15.0352,9.7151,8.86673,9.3705,6.62113,6.27712,4.43665,6.4671,12.1917,9.17382,5.66561,8.57913,10.6494,7.05053,5.07195,8.83118,1.45127,4.79714,9.59401,5.41041,4.65774,5.08002,4.96082,5.74296,6.72583,7.64915,6.93674,5.17448,5.71445,5.68305,3.66483,16.9309,3.731,8.55875,6.06536,13.3754,6.99817,3.73081,8.11489,8.25521,4.87817,8.82052,4.90742,6.35397,7.34394,4.856,9.18146,5.67304,8.24773,13.8688,9.43355,10.2849,4.21643,6.05912,10.9651,11.2566,5.41694,4.99798,7.03309,4.49999,5.12323,5.56408,3.83,2.4706,5.56407,5.72156,7.64776,6.58729,7.47103,5.51806,6.60597,7.25119,6.98294,8.09125,4.65944
"4",12.5679,15.1235,3.36212,2.69526,11.4102,28.0607,13.1947,9.95181,8.39899,3.51318,2.8862,7.49009,2.42842,9.6903,11.91,8.27829,10.2862,11.1246,12.5143,7.54664,4.42443,10.6851,8.51622,12.6146,15.449,9.18561,8.88926,8.53825,12.8669,8.24571,21.6005,2.7132,12.693,18.8371,8.42089,7.4608,9.64659,9.49844,8.1664,6.37749,12.3924,9.0002,12.3081,13.9294,9.98413,14.3691,14.1881,10.9671,10.1516,11.3997,15.7046,10.4748,9.26839,7.94196,11.9083,14.6259,12.3117,11.5728,7.6164,11.768,20.0001,13.2325,10.3542,11.8414,19.1343,15.2689,13.309,8.67205,4.71823,10.1567,12.9027,8.35696,13.0711,9.08125,9.15627,9.49468,12.0526,16.0741,1.7111,23.678,11.1273,9.81131,9.53141,10.9924,14.325,13.5885,13.5887,14.1569,13.5487,18.7279,11.037,9.34575,9.64985,16.5132,8.3202,14.4869,15.6062,13.7375,14.551,8.55794,14.5647,9.57558,10.8038,7.24175,6.81805,16.472,24.3768,10.8814,12.2692,11.4934,10.2025,10.4545,15.2513,18.6342,14.6626,12.1387,14.6457,16.2334,9.73611,15.698,7.92389,1.88608,11.9156,13.6035,10.2259,10.5948,12.8675,14.8153,12.3727,6.28451,14.2464,11.9565,11.0693,12.9109,9.38128,9.1604,22.169,6.2734,19.6038,12.6002,16.0963,13.4066,9.68313,8.71854,9.07503,14.9389,6.86596,8.79749,9.21733,9.21487,10.805,13.27,13.3184,11.8167,13.1788,8.9836,11.4884,9.83195,5.62579,18.1839,8.17718,1.58374,8.95656,12.3306,9.20218,10.5569,8.72875,11.3493,2.79193,10.2311,10.1883,2.13241,12.8227,1.7797,1.85443,6.28228,2.42723,8.94638,2.4057,12.1812
"5",16.0666,8.8421,33.6004,22.6534,13.483,7.29977,13.7694,14.4808,4.66243,6.25458,21.2884,9.3165,21.3864,18.6224,5.85019,11.7824,13.0093,14.6515,22.3097,26.5476,21.7091,16.8792,30.4708,14.0398,12.432,12.3826,42.1367,14.1743,9.70111,22.4608,9.9021,29.3623,12.1949,8.62446,7.10269,8.87888,10.817,8.44341,16.6914,41.803,12.345,8.32573,5.06692,20.7312,16.1193,4.89405,10.0145,9.49478,29.3867,19.8699,21.4907,18.1965,9.02159,16.3045,14.3427,6.5449,11.3954,22.2392,33.4141,17.4906,19.7807,10.0607,38.4461,11.3801,11.6089,16.1507,17.9105,14.2481,17.6127,11.9874,20.5575,10.0773,13.3299,15.4337,15.5311,2.88426,12.2011,14.9906,22.6509,13.4028,17.527,10.5298,9.22012,16.1755,10.7473,12.651,17.1071,12.7167,11.6315,12.2826,20.352,12.6668,8.3862,13.821,27.714,19.1422,5.26134,9.89091,9.56952,17.8535,26.015,16.3227,29.9827,11.0629,12.2142,4.58627,13.1094,6.30029,8.21277,11.5263,9.35956,6.6904,7.48155,7.79701,11.1471,12.5202,12.2561,8.83182,15.8179,14.8954,8.35963,18.8947,13.946,13.4927,15.519,13.1677,15.4034,7.84035,16.1587,19.9385,16.7639,18.0349,22.5766,10.9019,4.56062,20.6555,34.1025,17.7596,10.3912,7.67628,6.48832,7.96147,9.14875,13.3969,31.148,22.4485,18.7868,13.5819,22.0919,21.796,21.7472,12.1458,20.6841,14.6308,7.08777,8.34518,15.2096,18.4607,34.7,10.2957,15.1482,8.61581,11.665,10.862,13.6956,7.47696,16.2681,12.029,23.4973,36.6329,11.2356,17.7527,10.6556,9.48365,12.0861,14.926,9.45326,4.71216,11.5005,19.7637
"6",0.061929,0.035043,0.061908,0.210273,0.153294,0.11895,0.022477,0.033857,0.062469,0.014914,0.189701,0.0926,0.039724,0.10656,0.010165,0.023711,0.11787,0.166335,0.024399,0.32197,0.194954,0.058685,0.799417,0.019887,0.036149,0.069357,0.679487,0.028021,0.054236,0.040614,0.057441,0.793767,0.033786,0.054791,0.026428,0.011049,0.074621,0.037043,0.026522,1.66902,0.055587,0.05384,0.045619,0.059991,0.047118,0.142545,0.025427,0.033037,0.022055,0.060602,0.174203,0.100305,0.043443,0.011212,0.045434,0.021597,0.100928,0.025022,0.077569,0.035464,0.09883,0.104374,0.718897,0.033536,0.019523,0.054259,0.026008,0.114238,0.062515,0.127757,0.053016,0.048471,0.089792,0.610168,0.10822,0.062728,0.029872,0.254166,0.009302,0.043606,0.036647,0.063948,0.11662,0.061058,0.084158,0.055787,0.019698,0.068334,0.028679,0.038882,0.01416,0.026225,0.039119,0.059212,0.177226,0.082721,0.28261,0.051014,0.042245,0.063353,0.574403,0.1787,0.109169,0.030162,0.018482,0.013007,0.035349,0.010804,0.028272,0.01652,0.168829,0.015573,0.032143,0.037574,0.010194,0.02235,0.045037,0.052853,0.013102,0.005206,0.005989,0.100087,0.009818,0.157598,0.015969,0.011475,0.052967,0.045708,0.056648,0.151835,0.108082,0.204123,0.086375,0.024934,0.08834,0.036115,0.679648,0.235941,0.101203,0.019888,0.004865,0.01462,0.025181,0.043313,0.057554,0.579052,0.032581,0.00995,0.011319,0.367066,0.023197,0.151518,0.0385,0.02488,0.051918,0.077606,0.033594,0.078,0.189979,0.018808,0.045911,0.064545,0.008779,0.015079,0.124638,0.009278,0.08628,0.097147,0.039254,0.441372,0.26541,0.042858,0.032553,0.014056,0.051866,0.022269,0.027636,0.041868,0.029114,0.013869
"7",89.0172,109.451,203.638,128.169,77.7192,47.7135,85.2178,70.6646,54.7962,78.6393,175.239,91.2999,224.724,63.2484,62.7261,39.1042,79.2344,114.075,76.7441,123.923,169.423,53.9609,115.146,70.7064,80.9715,50.0061,64.7672,106.908,74.8584,52.5606,55.5054,174.62,86.6329,48.804,76.7477,69.586,104.712,74.8893,101.569,81.4246,76.1448,70.3501,100.553,89.6838,96.0189,70.6085,123.327,59.7372,73.0484,66.368,168.404,76.121,61.5463,63.3079,111.621,52.2938,89.3471,116.625,133.091,72.0891,57.982,77.1023,95.2388,147.778,65.4552,102.998,81.7577,96.6803,136.796,67.2223,91.6084,70.1662,80.827,90.9229,85.6225,87.647,80.3933,61.6155,209.246,48.0014,104.271,95.0728,76.8468,86.7039,108.813,60.5648,75.3504,70.1893,67.2743,127.716,78.8753,63.8926,107.419,97.3963,44.6869,67.5335,71.2307,47.4861,98.2275,107.83,76.9756,95.1883,109.634,97.255,72.3535,132.199,63.3604,54.103,76.7542,68.3322,74.2602,85.4687,45.6509,68.779,61.0358,75.8942,103.152,77.0633,121.015,68.0477,92.0942,99.4546,79.1943,77.3215,97.341,50.2983,80.9686,42.8121,76.1224,168.906,83.9122,105.997,109.675,60.7066,46.5195,64.3916,101.457,142.546,59.8947,59.6874,59.464,50.6053,65.7777,88.3776,142.292,56.5361,162.551,97.4815,116.671,94.1737,93.5788,92.1995,73.4254,77.5506,67.726,99.0908,91.8988,82.287,133.438,85.9609,110.811,153.963,71.4915,76.2892,76.1619,53.799,74.7569,53.0992,57.4822,66.7124,58.7327,215.322,93.831,144.213,173.974,152.347,129.88,55.1275,167.508,81.8197
"8",11.7763,3.28487,35.7503,18.3623,5.1271,2.08438,3.56951,2.27608,2.85586,2.44742,14.0228,8.08486,17.9145,4.88863,2.06274,1.71538,6.48204,8.88742,2.79122,22.4601,27.1995,3.49108,14.4813,2.237,4.90437,1.63755,14.8786,6.70445,5.53584,2.71841,0.779157,21.4821,5.50163,1.60593,5.61339,6.82341,7.1978,2.58177,22.859,16.5909,3.36751,3.55972,4.40354,6.57408,10.3769,4.26844,10.417,1.14254,4.314,6.3945,14.3278,6.25356,4.62994,2.66086,11.2591,1.92443,6.50702,6.92178,16.3755,6.64686,3.89057,2.44021,7.5727,10.6683,1.95495,3.95726,6.15588,9.53314,13.2762,4.80284,4.00598,5.14168,4.19856,6.52626,5.36852,6.51746,2.05564,3.17294,38.7885,3.06369,10.5999,7.90906,7.6573,6.40495,5.43863,4.23271,6.25054,4.81249,5.63958,6.30553,7.37701,2.76259,2.91439,1.91546,4.23306,2.20843,3.26048,1.13589,5.7184,9.08654,12.4468,8.6952,4.6756,14.71,3.88487,6.74752,2.30781,1.06756,1.50426,3.42017,6.97219,1.95094,0.760673,3.38681,2.48535,4.26301,7.12683,3.11994,3.59095,3.2521,8.47538,9.06555,3.99593,8.76273,6.2101,2.59168,5.47821,1.999,6.31587,15.3673,4.89341,11.7025,10.9226,2.67825,3.56698,8.14089,13.2542,9.9212,4.4491,4.85434,1.05582,2.61844,2.50031,4.6237,15.5014,8.7954,14.1492,6.46081,6.80034,5.93806,5.98283,4.61064,3.62764,3.33011,5.41099,6.52908,3.3343,6.50878,8.79755,2.05339,15.3398,13.4721,5.38575,2.79377,5.14198,1.73126,4.74285,5.62686,8.70819,16.3827,3.0238,33.2415,4.41007,18.9118,44.5386,22.7576,6.97805,3.30385,14.3781,4.8047
"9",59.4228,46.6525,103.293,44.7985,169.725,73.1389,118.563,94.7123,64.1755,121.643,79.256,99.8321,74.8548,148.56,76.7394,101.552,80.6109,85.7245,115.091,236.308,60.5153,166.971,44.6898,43.0253,119.298,61.4117,117.563,77.2572,144.496,64.4087,27.3276,213.837,87.7222,67.6382,74.4118,141.276,82.0755,61.0905,34.017,65.5523,157.923,67.7529,87.3428,200.981,128.118,52.5673,89.8268,51.1941,70.2997,76.5789,80.4465,124.079,82.6355,112,128.036,76.0163,86.5344,97.8601,193.099,85.2596,40.3888,37.2827,92.5168,106.468,49.3269,35.1796,156.672,51.9806,95.4239,102.868,75.3501,114.349,40.2882,132.594,93.9747,71.8683,53.0155,37.1474,73.7633,33.9038,136.107,73.7226,97.2715,96.228,135.077,125.161,107.152,54.5254,182.797,72.9041,115.402,102.172,91.3325,73.2441,85.1386,55.948,41.8793,41.62,51.8588,129.209,63.3814,124.487,135.384,144.332,53.5726,255.54,42.8286,43.8946,51.3481,73.4936,103.939,77.5549,43.5226,20.702,58.0321,81.4154,81.3977,46.7373,81.5679,171.009,89.9137,49.7371,110.252,63.004,72.9028,128.37,128.069,52.6924,162.436,196.81,34.0384,55.9806,140.445,135.272,27.3077,87.0544,89.6457,93.6902,56.583,52.7745,47.0907,66.0176,163.31,60.9706,117.78,62.4276,88.7485,98.8256,112.642,134.784,137.167,46.3024,117.111,92.4962,84.0984,125.862,56.9406,77.6938,90.2088,33.8077,315.404,80.5348,156.258,71.2187,169.555,45.6756,91.8503,140.689,128.307,184.56,32.881,75.4264,108.688,114.418,136.973,86.8103,52.8782,67.1004,67.9351,78.6842
"10",0.606645,0.224081,0.14225,0.511826,0.196731,0.245541,0.225621,0.099496,0.253427,0.109574,0.188902,0.29863,0.180152,0.154643,0.250791,0.107533,0.273689,0.203672,0.154914,0.253287,0.32569,0.145998,2.0192,0.335502,0.257933,0.143789,0.625537,0.265339,0.563073,0.05894,0.246172,0.159559,0.252161,0.185533,0.186973,0.292626,0.30457,0.229812,0.120719,1.61287,0.157978,0.08273,0.201533,0.305858,0.323733,0.310298,0.344683,0.230131,0.144028,0.234159,0.324164,0.305688,0.239573,0.179998,0.219783,0.105779,0.253505,0.25721,0.283437,0.240173,0.126115,0.42601,0.386517,0.224224,0.164683,0.329735,0.283074,0.09874,0.170106,0.289695,0.264758,0.130341,0.253724,0.377154,0.20529,0.24421,0.153896,0.266265,0.097866,0.133755,0.233189,0.641645,0.376948,0.299057,0.354945,0.200841,0.19296,0.206959,0.319088,0.377028,0.223479,0.168411,0.352451,0.316869,0.239944,0.168326,0.45351,0.293489,0.34814,0.295519,0.80434,0.382408,0.453684,0.292174,0.321863,0.273704,0.184129,0.089371,0.191733,0.200783,0.328136,0.138423,0.199624,0.238564,0.142397,0.204337,0.287433,0.394842,0.199641,0.184171,0.286824,0.148879,0.327701,0.271261,0.344136,0.234181,0.514421,0.131481,0.366086,0.218143,0.224582,0.658982,0.464841,0.267995,0.281744,0.235852,0.247225,0.687219,0.164056,0.221272,0.214446,0.222783,0.239195,0.194998,0.187929,0.388655,0.181739,0.17869,0.264868,0.187387,0.147283,0.182274,0.087999,0.015474,0.384256,0.435856,0.169111,0.307752,0.174612,0.26612,0.296254,0.076106,0.203854,0.258499,0.213177,0.138855,0.098724,0.381571,0.069913,0.210822,0.438667,0.193254,0.25983,0.026774,0.101144,0.072715,0.111295,0.118987,0.119709,0.478026
