"","GTEX.1117F.2426.SM.5EGGH","GTEX.113JC.2226.SM.5EGJG","GTEX.11DXX.1526.SM.5H115","GTEX.11EM3.1926.SM.5987U","GTEX.11EMC.1826.SM.5A5JT","GTEX.11GSP.2426.SM.5N9BD","GTEX.11I78.2126.SM.5A5K8","GTEX.11P81.1626.SM.5BC52","GTEX.11ZTS.2326.SM.5EQMY","GTEX.11ZTT.1726.SM.5EQL4","GTEX.12WSD.2826.SM.59HKT","GTEX.12WSG.2126.SM.5EGJ7","GTEX.12WSK.2026.SM.5CVNB","GTEX.12ZZX.2126.SM.5LZVL","GTEX.1313W.2826.SM.5P9G1","GTEX.131XG.2026.SM.5GCN5","GTEX.131YS.2326.SM.5IJFJ","GTEX.132AR.1526.SM.5KM1L","GTEX.1399S.2226.SM.5IFEW","GTEX.1399U.1326.SM.5IJET","GTEX.139D8.2526.SM.5N9G3","GTEX.13D11.1226.SM.5IFGA","GTEX.13FTX.1026.SM.5J2O5","GTEX.13N11.1126.SM.5KM41","GTEX.13OVI.1026.SM.5L3EM","GTEX.13OVJ.2326.SM.5IJGA","GTEX.13PL7.2026.SM.5IFGK","GTEX.13QBU.1626.SM.5LU4S","GTEX.13S7M.1726.SM.5RQK3","GTEX.13U4I.1926.SM.5LU39","GTEX.13VXT.1626.SM.5IJES","GTEX.145LS.2426.SM.5TDCZ","GTEX.145ME.1326.SM.5O98Q","GTEX.14AS3.1826.SM.5TDD8","GTEX.14BIM.2226.SM.5MR5Z","GTEX.14BIN.1526.SM.5P9FL","GTEX.14BMU.1826.SM.5RQII","GTEX.14JG6.0826.SM.6AJB9","GTEX.14PHW.2426.SM.69LPU","GTEX.14PJ6.1526.SM.6AJ9M","GTEX.14PJM.2826.SM.69LPV","GTEX.14PKU.1426.SM.HAV11","GTEX.14PKV.1426.SM.5YYB9","GTEX.14PN3.1726.SM.GRR3A","GTEX.15DCD.2226.SM.HL9TD","GTEX.15DZA.1326.SM.68722","GTEX.15ER7.2426.SM.793B9","GTEX.15ETS.1526.SM.6LPKM","GTEX.15FZZ.1026.SM.6AJBI","GTEX.15SHU.2826.SM.H7OGU","GTEX.16A39.0726.SM.7KUEB","GTEX.16MT8.2326.SM.HL9UH","GTEX.16NGA.0626.SM.72D72","GTEX.16NPV.2226.SM.H7OF9","GTEX.1A32A.2826.SM.72D5S","GTEX.1A8FM.2326.SM.7MKGC","GTEX.1AMEY.0626.SM.72D6B","GTEX.1B932.2726.SM.731ER","GTEX.1B97J.0226.SM.79392","GTEX.1C475.0626.SM.73KV9","GTEX.1CAMS.2026.SM.79395","GTEX.1CB4H.2726.SM.7EWFF","GTEX.1GF9U.1826.SM.7P8T7","GTEX.1GMR8.2426.SM.7MKH3","GTEX.1GN1U.2526.SM.7MKH4","GTEX.1GN1W.1326.SM.9JGHZ","GTEX.1GZ4H.0826.SM.9OSXK","GTEX.1GZHY.2526.SM.9OSW6","GTEX.1HBPH.2826.SM.9WYUU","GTEX.1HCU6.2426.SM.GA8Z1","GTEX.1HCUA.1226.SM.9WPP5","GTEX.1HSGN.2326.SM.A9G1D","GTEX.1I4MK.1426.SM.B2LWU","GTEX.1ICG6.1426.SM.A96T1","GTEX.1IDJI.1726.SM.C1YQE","GTEX.1IKOE.2426.SM.ARU7W","GTEX.1J1OQ.1726.SM.CL55N","GTEX.1J8QM.1526.SM.GA912","GTEX.1JN76.1626.SM.CNNQ3","GTEX.1K9T9.2526.SM.D3L9B","GTEX.1KANC.1126.SM.CY8I7","GTEX.1LGOU.1226.SM.D3L8L","GTEX.1LGRB.2226.SM.CNNQI","GTEX.1LH75.1626.SM.EWROL","GTEX.1LVAM.2026.SM.HAUZI","GTEX.1MA7W.1526.SM.DHXKS","GTEX.1MCC2.1226.SM.HL9S3","GTEX.1MCYP.1226.SM.DTX8H","GTEX.1NV5F.1726.SM.EXOIZ","GTEX.1PBJI.2326.SM.E6CP6","GTEX.1QP28.1526.SM.E76P6","GTEX.1R9JW.1326.SM.E6CQ7","GTEX.1R9PN.0526.SM.DTX86","GTEX.1RDX4.0726.SM.E8VO8","GTEX.1S5ZU.2726.SM.G8LM5","GTEX.1S82U.1226.SM.E9TKB","GTEX.N7MT.0726.SM.3TW8S","GTEX.OHPK.2026.SM.3MJH7","GTEX.OHPL.2026.SM.3TW8R","GTEX.OHPN.1926.SM.E9TI9","GTEX.P4PP.2026.SM.3P61N","GTEX.P4QT.2026.SM.3NMCJ","GTEX.P78B.2526.SM.3P5ZY","GTEX.POMQ.1226.SM.3P61F","GTEX.PWCY.1426.SM.48TCT","GTEX.PWN1.2026.SM.48TD9","GTEX.PX3G.2026.SM.48U1H","GTEX.Q734.1626.SM.48U1B","GTEX.QCQG.1326.SM.48U24","GTEX.QDT8.2426.SM.HL9U1","GTEX.R55G.1626.SM.48FF4","GTEX.RTLS.2426.SM.46MUO","GTEX.RU1J.1026.SM.46MUR","GTEX.RU72.2626.SM.CY8HD","GTEX.RWS6.1326.SM.47JXB","GTEX.S32W.1426.SM.4AD66","GTEX.S341.1026.SM.4AD71","GTEX.S4UY.1226.SM.4AD51","GTEX.S7SF.0826.SM.4AD4W","GTEX.T2IS.2226.SM.4DM65","GTEX.T5JW.1526.SM.4DM5E","GTEX.T6MO.1526.SM.4DM57","GTEX.TMMY.2226.SM.4DXTN","GTEX.TSE9.2626.SM.4DXV2","GTEX.U3ZN.0726.SM.4DXT5","GTEX.W5WG.1326.SM.4LMI9","GTEX.W5X1.2126.SM.GOQYC","GTEX.WEY5.0726.SM.4LMID","GTEX.WI4N.2426.SM.4M9QO","GTEX.WWYW.2826.SM.4MVOQ","GTEX.WXYG.1326.SM.4ONCN","GTEX.WYBS.2726.SM.GPI8I","GTEX.WYVS.1226.SM.4ONCL","GTEX.XUW1.0226.SM.4BOOS","GTEX.XUZC.0926.SM.4BOQF","GTEX.XV7Q.1526.SM.4BRWB","GTEX.XYKS.1626.SM.4BRUQ","GTEX.Y114.1826.SM.4TT87","GTEX.Y3IK.2126.SM.4YCDS","GTEX.YFC4.2826.SM.5P9FR","GTEX.YJ8O.1126.SM.5P9IS","GTEX.ZAJG.2826.SM.5HL8D","GTEX.ZAK1.2526.SM.5S2N7","GTEX.ZC5H.2126.SM.EY5XK","GTEX.ZLWG.1026.SM.4WWC4","GTEX.ZP4G.0726.SM.4WWF2","GTEX.ZPIC.1226.SM.DO91X","GTEX.ZTPG.2026.SM.5O999","GTEX.ZV6S.1526.SM.5NQ7O","GTEX.ZVT2.0426.SM.5E44S","GTEX.ZXES.0726.SM.5E451","GTEX.ZYVF.0526.SM.5E43E"
"1",7.70275,7.39961,5.76005,8.26816,6.84072,7.34137,5.98378,19.0596,7.97116,5.77923,7.19723,8.23489,6.9233,7.89849,5.50053,9.09124,5.39182,8.83555,8.06578,4.48136,7.95231,5.81564,8.6554,11.9756,7.43213,7.26894,5.92997,8.08188,6.07305,7.89863,9.63124,6.23417,10.3466,7.49865,6.85535,6.23027,7.07047,8.65481,5.84552,5.45923,3.55767,6.02235,8.38568,5.73365,3.64288,4.80513,8.91396,9.61693,8.84194,5.67136,6.08921,8.87416,11.26,6.61014,13.195,4.3456,7.07396,4.69326,11.0734,8.34095,11.3353,7.82503,7.55233,10.9123,10.9559,7.34553,11.0146,7.14838,9.28313,5.90718,7.55655,9.59915,5.57592,6.41935,8.65619,11.6343,6.5551,5.08727,9.30097,7.41523,7.35242,14.9328,7.40659,8.46339,5.22872,7.13051,6.6366,5.93196,7.02976,6.45262,4.38744,10.9377,8.49816,7.81152,5.5792,8.00344,7.45018,6.19344,5.10541,10.3123,4.22154,16.6521,11.4003,7.17025,6.04636,7.14863,8.30286,10.4869,3.92367,6.96434,7.01248,5.7559,11.6327,6.39501,4.11254,6.697,7.04351,9.63496,10.5154,6.56156,9.03261,8.15069,9.75382,5.06216,10.5681,5.99406,6.05569,8.01194,11.1057,9.08173,6.28062,5.52446,9.77759,5.49203,10.6547,6.0714,5.15291,9.136,4.9947,8.91177,8.98,7.24858,4.53536,20.1147,6.88829,8.15078,6.48647,11.5,3.86401,6.97305,6.5178,6.7964
"2",0.953169,0.131703,0.170863,0.312647,0,0.098029,0.120355,0.115859,0.220015,0.59479,0.327795,0.068969,0.105227,0.12704,0.110536,0.098929,0.222813,0.248089,0.266279,0.144112,0.338969,0.210387,0.292437,0.25862,0,0.506102,0.291051,0.111718,0.066441,0.023816,0.274379,0,0.280617,0,0.202341,0.161372,0.209173,0,0.025238,0.072243,0.305431,0.021718,0.208038,0.200839,0.757765,0.177827,0.175607,0.179399,0.074071,0.419454,0.021367,0.110731,0.345284,0.245356,0.148199,0.329386,0.19007,0,0.289589,0.480957,0.256092,0.37633,0.334589,0.636708,0.304947,0.282475,0.169185,0.109421,0.250049,0.212819,0.070073,0.082095,0.154393,0.720036,0.199284,0.192809,0.311879,0.424123,0.087604,0.192064,0.070317,0.360344,0.189663,0.183282,0.047502,0.223866,0.580811,0.093527,0.279271,0.137437,0.128594,0.075683,0.098436,0.095605,0.249346,0.208028,0.590374,0.236661,0.287173,0.060481,0.517052,0.224431,0.213379,0.169258,0.299413,0.14,0.206399,0.048098,0.205583,0.226417,0.091856,0.116592,0.2219,0.372834,0.084052,0.169164,0.261478,0.095664,0.564326,0.103673,0.222725,0.252958,0.296255,0.047427,0.034247,0.080559,0.075171,0.428346,0,0,0.078735,0.130654,0.104817,0.206956,0.359868,0.229917,0.022938,0.286487,0.149794,0.074258,0.349204,1.31295,0.064018,0.221251,0.343123,0.351007,0.112149,0.319329,0.05771,0.349897,0.228561,0.209298
"3",8.78764,8.32974,4.54549,9.49232,6.58964,9.40248,4.32822,6.27489,7.66138,11.3373,9.17212,5.78287,10.9216,6.70635,6.07957,4.13082,9.22974,4.62312,10.6238,8.37371,6.82024,4.61242,9.31777,4.94416,7.45138,5.4342,12.132,3.39188,10.4359,6.00451,9.67599,8.13137,3.10548,3.40175,10.2437,8.81353,5.61911,9.54324,6.82884,4.4597,4.41415,4.86781,7.05413,11.6367,5.16115,3.6048,4.66887,5.42518,3.22643,19.3446,3.3653,6.4124,25.6677,7.21925,4.82224,9.38292,4.09998,2.67888,6.36969,20.7795,3.49318,8.56528,5.37743,12.225,5.48034,9.94541,7.02779,6.41388,9.29766,6.2261,16.0362,5.89675,3.02217,8.43608,3.90335,2.93192,4.22315,3.12765,5.41641,4.88786,7.18734,19.1114,7.95841,5.98615,3.19274,5.61827,11.1896,3.30499,6.49183,5.9707,4.77289,8.41257,7.12015,10.8523,3.54606,2.5729,6.82632,7.0829,4.07641,8.33959,6.66214,17.7625,5.83382,4.33461,6.21868,4.85431,4.53094,4.85615,5.04083,4.80056,2.83522,9.56017,10.4521,6.52023,5.07557,3.87598,5.6906,14.0371,5.88754,3.40931,8.57721,9.26719,10.3321,5.57503,7.98225,11.6194,9.59894,12.6253,6.65916,7.35524,6.94243,9.66728,5.70709,5.94441,9.76504,2.6264,2.58717,9.63054,4.60731,6.42627,8.29375,3.91802,6.62048,10.8181,6.93563,7.94602,5.9149,6.04674,6.28159,7.099,15.2783,7.2979
"4",15.2104,15.0656,6.84595,11.8553,12.5552,9.67604,12.8014,10.096,15.8456,6.27759,18.1611,10.9126,5.2016,22.0901,14.81,9.78834,12.1226,8.45084,14.8178,12.0165,9.42522,11.4665,10.5891,20.6438,8.60864,8.30952,8.69999,4.22148,13.8636,10.6408,7.62926,10.6981,5.77978,18.1365,9.82581,17.4027,7.10037,10.1319,12.8274,8.40893,6.60058,11.8229,4.51861,8.30505,10.7652,11.3671,10.0439,11.9757,12.5492,10.4835,6.87881,9.60523,15.2957,14.0915,7.26941,13.1684,7.50842,6.85508,7.32956,13.6261,15.9862,14.8822,14.2903,10.9513,10.7645,12.4134,11.5261,9.52802,5.15811,18.9665,16.9269,9.77465,20.1562,10.9604,20.0052,13.6593,14.5565,12.981,9.56776,13.6934,9.17256,8.17768,16.5596,14.5064,10.0548,9.04173,7.4406,3.56376,10.4201,5.60054,7.66058,7.89799,14.816,9.54282,14.3642,5.1746,9.82913,4.3745,12.5121,12.7894,10.9872,12.0186,15.168,19.9993,10.9581,10.1145,10.3989,14.799,9.95883,17.3743,6.83277,11.6746,9.52253,17.0935,9.93445,13.6383,16.4697,17.1674,15.5771,10.819,5.64604,10.6696,13.6494,16.6588,13.0873,10.3555,14.0933,9.55707,12.8511,9.02148,8.19158,7.08639,17.5866,10.9329,9.00094,11.5693,19.3121,5.41048,14.6075,10.0827,10.9424,5.68823,11.8265,12.6633,9.83971,7.14485,13.5218,8.82491,7.47922,8.38937,12.8521,10.8103
"5",34.2168,53.8846,21.6704,16.9018,44.7071,31.354,19.8149,34.7863,49.5854,23.398,53.774,21.0295,18.8748,44.4765,35.6835,20.6799,40.3778,83.7315,23.5374,18.1607,41.8968,36.3965,35.0518,31.3818,25.594,25.4396,49.3855,25.9816,42.7038,47.0054,67.1755,48.1152,18.9952,54.3363,36.2893,43.3426,33.9188,25.9317,37.4351,20.5896,21.1162,8.93891,15.457,28.8182,24.9198,38.9862,46.1042,20.9828,14.6348,42.4143,18.0798,35.7974,28.81,34.086,17.4869,46.4906,21.2601,29.7671,16.7268,12.4685,27.4061,30.7202,21.7301,70.3608,36.1324,28.6828,64.1793,46.5504,34.894,25.6583,26.2716,21.2658,16.7697,23.9614,34.4853,39.8986,14.0748,25.0936,15.6908,26.6567,24.8344,40.4845,25.8025,11.4947,22.0121,21.6728,51.7524,11.815,42.9287,25.8134,17.6596,39.8934,18.7009,30.0481,15.2744,11.8932,40.8759,34.8174,15.4307,31.2943,31.943,34.9054,53.622,17.9641,39.4591,8.56504,29.2123,47.8007,23.2342,43.6451,17.5682,41.0537,25.8272,41.493,29.4047,31.8057,13.3222,28.1918,27.1385,25.5008,19.2971,27.1181,21.5237,31.2282,35.505,25.8984,25.862,14.0539,20.9676,40.623,15.1386,25.2367,51.446,30.4539,22.8978,46.7876,23.5959,11.7822,37.0733,54.6067,47.8376,19.7641,40.6688,53.3243,28.1491,16.2353,15.9852,22.0027,7.71355,19.2662,23.0848,25.0881
"6",0.911912,2.36875,1.38368,0.971533,1.3611,2.08157,4.18195,0.294566,0.947095,1.43898,3.15791,2.32068,0.697573,1.35776,2.59173,5.92007,2.81986,1.07462,0.563203,1.22521,0.973529,0.902506,0.931262,0.619892,0.231165,1.13318,0.648628,43.1736,0.894667,4.92484,14.5935,3.29018,0.514071,6.90192,2.13398,1.44189,1.5265,1.33882,0.584618,1.15193,1.82344,0.364021,0.918942,0.96451,5.70839,15.9535,2.28197,1.17688,0.320846,1.02201,5.97559,1.32423,2.52306,0.929932,1.28945,6.30154,0.99433,1.40114,0.647642,0.35408,0.813015,0.829228,0.612128,1.64038,7.07545,1.66595,9.62248,1.64446,4.48313,2.55511,0.536669,2.33847,3.64291,1.63768,1.36989,1.12048,0.552811,4.30301,1.34188,2.60433,3.65943,1.09551,0.398406,0.464068,3.61718,7.46243,54.0279,40.3449,1.4376,5.65296,1.05752,3.02645,1.41819,1.78253,1.33365,0.430957,1.28789,0.497703,0.55886,4.7612,23.2228,0.668588,2.18788,1.32464,4.13326,0.685519,0.90181,2.87149,13.5463,4.91438,0.960105,0.812439,0.93133,2.20302,8.12586,1.95704,0.694888,0.360327,0.986036,1.90041,2.88727,1.45565,0.686262,5.39486,0.651417,1.56269,0.858855,0.574184,0.147018,0.727222,0.607954,1.39844,3.72596,1.20826,0.5693,12.5527,1.50764,0.395663,1.18132,1.74462,4.25284,0.665064,3.10457,1.78131,2.35864,0.994725,0.267533,0.399496,0.633993,0.333873,1.53005,2.10882
"7",75.4329,112.583,35.5723,86.4714,72.9613,59.8577,38.7056,104.228,68.8427,49.5551,62.7083,60.7595,54.558,74.7087,61.0965,68.6722,52.8613,39.1083,89.8321,66.3151,58.7804,53.1786,69.2827,60.3828,110.872,98.7501,70.8021,65.9248,50.0278,43.8024,72.9516,79.1875,62.7103,38.8729,73.3936,73.2842,72.3572,100.784,107.017,29.785,47.4116,69.5384,46.71,42.9743,39.6401,51.4477,46.4495,84.5106,35.5857,58.0039,43.9024,102.951,100.578,106.964,108.195,111.648,74.2721,29.9596,52.0463,70.0344,78.2488,109.578,89.1569,125.183,98.7364,65.9434,81.5829,69.9545,61.2412,52.7741,105.514,98.178,25.6397,35.7232,93.4409,81.9826,57.5256,31.1534,64.3255,30.0105,59.6223,144.319,113.319,60.2549,26.9898,61.2363,121.88,55.6783,105.2,76.6984,43.65,70.8078,69.7615,33.8556,109.252,38.1773,112.478,21.2167,30.3926,47.9232,61.7698,124.149,87.3747,68.0748,87.6255,74.7931,70.4207,71.8251,33.7502,64.5154,38.4619,79.8257,79.2109,85.6737,61.6459,34.2479,67.1362,90.9059,99.8393,41.2697,66.6465,98.5206,96.1624,80.5828,92.892,53.6013,49.4905,82.9377,136.609,88.8222,75.2693,54.1749,59.5754,42.5977,39.8098,24.8996,25.6387,44.431,34.6717,67.0611,81.9543,49.3615,72.8619,83.3037,51.5174,45.5737,62.5905,63.6342,46.0659,33.1441,101.553,138.277
"8",22.4381,38.8749,22.3141,21.9737,30.1195,31.0853,4.40607,26.0746,34.3419,38.4206,33.2817,12.6741,43.8214,27.0394,29.0547,3.96139,20.7613,4.22099,26.6002,17.6712,19.3743,16.9733,33.1026,28.9933,50.6053,32.1536,39.735,40.7441,21.7144,6.29181,15.6902,10.8986,11.6054,4.11358,23.147,15.6167,15.0401,36.8974,28.4809,11.8353,24.7855,10.6739,29.7582,22.8632,6.76389,3.64766,24.0424,26.2704,31.4571,46.4682,30.1334,32.4914,25.5641,23.7159,35.5073,4.62455,12.906,5.99664,31.9852,20.1307,27.4754,30.9515,31.9501,22.8,13.0723,27.9678,4.32902,5.47601,22.0196,11.4981,43.6294,37.8997,3.56208,38.1547,42.8199,56.7033,18.6673,5.22918,14.1773,4.63077,36.7715,19.0793,38.6302,24.4232,3.38329,20.1144,7.27222,17.1327,14.8795,7.63622,14.7356,29.9115,20.9185,26.822,32.7211,16.2712,32.395,2.37898,17.3641,7.79144,2.93655,28.225,18.0498,18.0548,3.10429,14.1708,9.94521,27.2116,4.18438,21.5499,13.1483,25.6197,37.08,6.187,3.10035,5.62143,39.4676,36.717,19.1071,9.01473,27.7425,35.305,19.0495,8.93603,7.4769,15.9284,40.0343,39.479,28.5106,19.4819,33.211,39.4298,42.0327,13.3517,21.7886,4.40843,8.93342,20.9951,15.1198,22.9798,25.7937,17.6401,11.7643,16.2302,34.9395,40.8802,29.2987,16.6373,27.7751,23.6576,40.1787,36.0709
"9",69.8032,54.8063,86.4536,53.5593,46.0813,61.2113,59.2454,50.3131,43.9665,48.7061,28.3312,37.6582,45.3191,44.5925,21.7711,81.3046,28.5754,45.539,108.829,53.271,45.4461,58.2648,57.8255,33.4289,46.9781,62.0439,46.8587,43.8584,62.8399,47.2633,50.6667,43.7869,69.6315,81.6332,78.3702,30.188,78.5645,59.2553,51.7826,56.4874,37.7258,71.433,63.1255,73.6234,17.9937,31.0501,41.7797,32.3099,47.0475,29.9566,132.893,56.6073,133.551,61.3032,85.2772,33.6535,47.2286,19.9528,86.3265,99.4498,57.4973,68.8993,37.0005,50.6085,64.1578,56.2259,60.7342,31.6956,38.9837,56.4617,86.8149,50.1035,51.2301,50.4858,40.7767,39.3669,69.4538,56.5385,70.1848,42.1279,59.1435,66.5707,55.2075,76.584,34.2206,55.5339,39.6432,60.7859,60.9363,44.9782,56.3131,45.8585,57.9395,40.3969,56.184,73.6414,66.9081,54.7899,82.4009,37.0764,24.9512,76.2136,44.4666,48.9893,60.4586,140.611,46.023,29.7672,38.6248,44.4559,59.2608,42.8868,85.7,32.7729,39.715,61.5663,61.1374,48.5655,45.3392,35.1228,104.465,74.6181,83.4485,68,51.8754,45.4443,31.2487,70.1863,53.3875,63.7716,46.2952,55.9011,38.9536,51.2789,95.1798,50.7479,74.9079,86.4268,27.4928,44.4014,38.3484,116.146,19.0665,65.7868,81.7619,70.0634,54.3703,64.2089,31.235,89.0184,40.1071,52.51
"10",0.085968,0.107987,0.140096,0.144196,0.122002,0.065306,0.041118,0.279051,0.103084,0.075028,0.082698,0.122524,0.069023,0.058592,0.169933,0.086184,0.150719,0.111878,0.163747,0.097061,0.034741,0.086251,0.147136,0.144579,0.195693,0.130638,0.069604,0.108776,0.047667,0.058582,0.21091,0.461368,0.083667,0.066775,0.10369,0.121287,0.064315,0.037849,0.056906,0.029617,0.131477,0.017807,0.081411,0.055871,0.06472,0.089472,0.119988,0.073547,0.253055,0.171961,0.039418,0.10214,0.084932,0.232607,0.103285,0.022506,0.025974,0.059487,0.215182,0.188212,0.022497,0.046285,0.093079,0.062647,0.131268,0.195039,0.252667,0.07626,0.215273,0.076342,0.129273,0.100968,0.054253,0.147594,0.020425,0.056461,0.142901,0.044583,0.011972,0.06999,0.187378,0.147728,0.071774,0.062616,0.035703,0.144725,0.12756,0.10065,0.090639,0.056344,0.162549,0.206848,0.035311,0.034295,0.092001,0.042642,0.090762,0.121278,0.073582,0.06612,0.279419,0.092009,0.038879,0.088665,0.061374,0.040176,0.10577,0.093663,0.02107,0.058014,0.028243,0.095597,0.15595,0.090754,0.068917,0.034676,0.142929,0.013073,0.070691,0.05667,0.144573,0.080658,0.036436,0.12152,0.091259,0.071557,0.100157,0.113628,0.114298,0.006282,0.043038,0.165153,0.161142,0.090905,0.103273,0.023564,0.122248,0.184004,0.099791,0.182658,0.095441,0.134565,0.05249,0.192748,0.321527,0.226129,0.157089,0.168317,0.067034,0.143445,0.123516,0.085805
