"","GTEX.1117F.2526.SM.5GZY6","GTEX.113JC.1926.SM.5N9GE","GTEX.11DXX.1726.SM.5H11T","GTEX.11EM3.1826.SM.5A5KO","GTEX.11EMC.1926.SM.5A5JU","GTEX.11GSP.2226.SM.5HL5Q","GTEX.11I78.2026.SM.5987C","GTEX.11P81.2126.SM.5HL6N","GTEX.11TTK.2726.SM.5GU58","GTEX.11VI4.0726.SM.5GU5B","GTEX.11XUK.1326.SM.5EQM4","GTEX.12WSD.2926.SM.5LZUH","GTEX.12WSJ.1326.SM.5GCOB","GTEX.12ZZX.1926.SM.5EGKC","GTEX.131XG.2126.SM.5DUXG","GTEX.131YS.2426.SM.5J2OD","GTEX.132AR.1626.SM.5EGHP","GTEX.1399S.2326.SM.5K7YV","GTEX.1399U.1526.SM.5J2N7","GTEX.139D8.2626.SM.GJ3QN","GTEX.13D11.1326.SM.5IJFY","GTEX.13FTY.2026.SM.GIN9K","GTEX.13N11.1526.SM.5L3FL","GTEX.13OVI.0926.SM.5J1MI","GTEX.13PL7.2726.SM.5L3GB","GTEX.13PVR.1426.SM.5S2PW","GTEX.13QBU.1726.SM.5IJFQ","GTEX.13QIC.1826.SM.5J1MY","GTEX.13U4I.2026.SM.5LU3L","GTEX.13W3W.2326.SM.5LU4Y","GTEX.145LS.2526.SM.5TDC9","GTEX.145ME.1426.SM.5RQJS","GTEX.146FH.2626.SM.5Q5E1","GTEX.146FR.2426.SM.5NQAU","GTEX.147F3.1526.SM.5MR7L","GTEX.14A5I.2726.SM.5MR84","GTEX.14AS3.1726.SM.5RQJV","GTEX.14BMU.1926.SM.5S2QC","GTEX.14DAQ.2326.SM.5S2QX","GTEX.14H4A.2426.SM.664OQ","GTEX.14JG6.0726.SM.69LQH","GTEX.14PJ6.1626.SM.6872D","GTEX.14PJM.2926.SM.69LOE","GTEX.14PKU.1326.SM.6871B","GTEX.14PN3.1626.SM.6AJAV","GTEX.15DYW.2926.SM.6PANA","GTEX.15ER7.2526.SM.7KUFW","GTEX.15SB6.1426.SM.7KUEM","GTEX.15SDE.1726.SM.6LPJS","GTEX.15SHU.2926.SM.7KUKT","GTEX.15UF6.2126.SM.6M46Z","GTEX.16MT8.2426.SM.GQ1DK","GTEX.16NGA.1626.SM.72D6M","GTEX.16NPV.2526.SM.6M483","GTEX.17F9Y.2326.SM.7DUFP","GTEX.17JCI.2526.SM.7DHLB","GTEX.183WM.2126.SM.7LG4I","GTEX.18A7A.2826.SM.7LT8J","GTEX.18D9A.1026.SM.7KFRU","GTEX.1A8FM.2426.SM.7IGPE","GTEX.1AMFI.1526.SM.73KVY","GTEX.1C475.0526.SM.793AC","GTEX.1CAMS.2326.SM.793CR","GTEX.1EWIQ.2326.SM.7IGNF","GTEX.1F48J.2526.SM.7P8TU","GTEX.1F5PL.1826.SM.7P8PP","GTEX.1GF9U.1926.SM.7P8TZ","GTEX.1GMR8.2526.SM.7RHI9","GTEX.1GN1U.2426.SM.9KNTU","GTEX.1GN1W.1526.SM.7P8TG","GTEX.1HBPH.2926.SM.9WPNX","GTEX.1HBPM.2726.SM.9WYUA","GTEX.1HCU6.2326.SM.ACKXP","GTEX.1HCUA.1026.SM.A9SMI","GTEX.1HFI7.1126.SM.A96S5","GTEX.1I1GT.1226.SM.B2LVK","GTEX.1I4MK.1726.SM.ARL7O","GTEX.1ICG6.1626.SM.ARL81","GTEX.1IDJU.1026.SM.AHZ2U","GTEX.1IE54.2626.SM.CMKFY","GTEX.1J1OQ.1826.SM.CL53R","GTEX.1J8EW.2526.SM.CKZO2","GTEX.1JMQL.2326.SM.CNNPV","GTEX.1JN1M.2326.SM.ARZNG","GTEX.1JN76.1526.SM.CNPPF","GTEX.1LGOU.1126.SM.D3LAI","GTEX.1LGRB.2126.SM.COH48","GTEX.1LH75.1726.SM.DHXKZ","GTEX.1LKK1.1826.SM.GNIPA","GTEX.1LNCM.1026.SM.E9U5D","GTEX.1LVAM.1926.SM.E6CIM","GTEX.1LVAN.1626.SM.CNPQ7","GTEX.1MA7W.1226.SM.HL9SB","GTEX.1MCC2.1126.SM.EVYD6","GTEX.1MCYP.1326.SM.EV7AD","GTEX.1NUQO.1826.SM.E6CQU","GTEX.1PIEJ.1926.SM.EVYB7","GTEX.1QCLZ.2226.SM.DTX7R","GTEX.1QP28.1426.SM.EVR4E","GTEX.1QPFJ.1626.SM.DTX7X","GTEX.1R9JW.1426.SM.DTX9K","GTEX.1S5ZU.2626.SM.E9TII","GTEX.N7MT.1926.SM.3LK5N","GTEX.NPJ7.2526.SM.EV79A","GTEX.O5YV.2226.SM.HM8V7","GTEX.OHPK.2526.SM.3MJH9","GTEX.OHPL.2526.SM.3MJGT","GTEX.OHPN.2426.SM.E9TI5","GTEX.OXRK.2026.SM.GOQY5","GTEX.P4PP.2526.SM.3P61P","GTEX.P78B.2226.SM.3P5ZZ","GTEX.PLZ4.2726.SM.3P61A","GTEX.PWCY.1726.SM.48TD3","GTEX.PWN1.2526.SM.48TDS","GTEX.PX3G.2526.SM.48TZV","GTEX.Q734.1426.SM.DTXFX","GTEX.QCQG.1226.SM.48U23","GTEX.QDT8.2526.SM.48TYX","GTEX.QVJO.2526.SM.CYPRA","GTEX.R45C.2226.SM.GQ1EF","GTEX.RNOR.2526.SM.F21KT","GTEX.RTLS.2126.SM.GPRWH","GTEX.RU1J.1426.SM.46MUV","GTEX.RWS6.1726.SM.47JXP","GTEX.S341.1226.SM.4AD5S","GTEX.S4P3.1126.SM.4AD52","GTEX.S4UY.1026.SM.4AD53","GTEX.S7SF.1426.SM.4AT5A","GTEX.SE5C.1126.SM.4BRWZ","GTEX.SN8G.2626.SM.EXUQT","GTEX.T2IS.1926.SM.4DM74","GTEX.T6MO.1226.SM.4DM5S","GTEX.TML8.1126.SM.4DXSS","GTEX.TMMY.1926.SM.4DXUU","GTEX.TSE9.2526.SM.4DXUS","GTEX.U3ZN.0926.SM.4DXTU","GTEX.UJHI.1326.SM.4IHJO","GTEX.W5WG.1026.SM.4LMIF","GTEX.W5X1.2226.SM.GRR1G","GTEX.WEY5.0826.SM.4LMIH","GTEX.WI4N.2626.SM.GPI8F","GTEX.WRHU.2926.SM.4MVNQ","GTEX.WYBS.2826.SM.GOQYI","GTEX.WYVS.1426.SM.4ONCV","GTEX.X15G.1926.SM.4PQZQ","GTEX.X8HC.2826.SM.46MWJ","GTEX.XUW1.0326.SM.4BOOR","GTEX.XUZC.1226.SM.4BRVJ","GTEX.XV7Q.1626.SM.4BRWC","GTEX.XYKS.2826.SM.H7OG8","GTEX.Y3IK.2226.SM.4YCD4","GTEX.YFC4.2926.SM.5IFJ8","GTEX.YJ8O.1226.SM.5P9JE","GTEX.ZAJG.2926.SM.5HL8P","GTEX.ZAK1.2426.SM.EXOHM","GTEX.ZC5H.2226.SM.4WAWS","GTEX.ZE7O.2426.SM.57WD7","GTEX.ZGAY.2226.SM.4YCCX","GTEX.ZLWG.1126.SM.4WWFQ","GTEX.ZP4G.0826.SM.4WWF3","GTEX.ZQG8.1126.SM.51MRL","GTEX.ZTPG.2226.SM.57WF9","GTEX.ZV6S.1326.SM.59HJA","GTEX.ZVT2.0626.SM.5GICR","GTEX.ZVT3.2726.SM.5GU5X","GTEX.ZVZQ.2726.SM.GPRY1","GTEX.ZXES.0626.SM.5E45P","GTEX.ZYVF.0326.SM.5GIES","GTEX.ZYY3.2626.SM.5N9DH","GTEX.ZZPU.2226.SM.5EGIV"
"1",4.48482,4.87856,4.1666,7.93119,4.16554,8.12619,3.96311,5.10116,4.79932,4.26185,3.1715,6.11023,6.45472,5.23391,4.7921,6.49005,4.64158,5.40265,3.75308,5.11483,2.53954,5.04585,7.0562,5.50138,5.43784,6.7967,5.01168,5.8969,5.5531,7.09698,5.05676,3.89609,5.9039,6.15597,5.77848,5.6073,4.61639,4.15902,7.02948,4.4405,4.6042,3.91268,7.25782,3.43437,4.35119,6.84118,3.58945,4.90057,4.93628,4.70811,5.81311,5.42072,3.81661,4.43998,5.79437,7.00049,4.89693,4.93136,4.22035,3.61896,2.72134,5.41945,5.7518,5.39577,5.68001,4.11972,6.00914,5.8696,6.30458,4.28809,5.64808,3.37862,6.50056,5.4182,5.25459,7.23687,7.27793,6.96235,5.48599,6.55945,5.48981,5.49447,4.65791,7.4807,4.26363,5.03457,7.36334,6.67001,3.96567,5.64026,4.0293,5.23878,6.14643,9.03323,4.00131,5.08177,6.71775,6.83491,4.21167,9.16516,7.05334,5.05494,5.58778,4.12572,7.42496,4.92204,6.72284,6.87592,6.26742,5.29057,5.2289,5.3789,4.37208,4.41507,4.98526,4.90935,4.38859,6.36255,4.36435,4.00804,5.3981,5.62297,9.51666,5.12405,3.29923,4.03336,4.14553,3.06388,3.48067,4.66993,4.84394,3.85664,4.46572,5.45498,7.62551,4.87702,6.20952,5.94826,3.93786,4.3625,4.99929,4.55503,4.74568,4.81597,4.054,6.10046,5.40928,6.39288,6.44713,5.32539,3.58743,7.03301,5.23706,8.93014,6.67524,6.64279,5.30889,5.41224,3.67621,3.9285,4.48604,6.0682,5.79123,5.30044,5.11356,5.08559,5.88663,6.65235,5.98332,3.68703
"2",0.22407,0.537484,0.293142,0.048991,1.46518,0.372416,0.14597,0.651194,0.22198,0.677972,0.146171,0.132722,0.066244,0.231114,0.461684,0.072625,0.175218,0.245899,0.254027,0.11498,0.126753,0.111646,0.551782,0.303064,0.021262,0.745988,0.210824,0.042904,0.593908,0.877845,0.110214,0.128036,0.678863,0.162926,0.103343,0.754386,0,0.392377,0.321287,0.075035,0.435358,0.546544,0.082565,0.229684,0.175932,0.246933,0.484066,0.037066,0.255646,0.305022,0.277779,0.342229,0.175456,0.02795,0,0.152178,0.173627,0.028524,0.406076,0.476008,0.235479,0.60957,0.35761,0.117832,0.77134,0.13002,0.501059,0.535929,0.248243,0.283837,0.251054,1.70793,0.31043,0.510762,0.089741,0.105823,0.237359,0.100366,0.196066,0.178914,0.517262,0.301416,1.87258,0.458325,0.476949,0.435999,0.044225,0.177104,0.8703,0.032052,0.21587,0.160722,0.527125,0.149201,0.087394,0.126648,0.111297,0.249932,0.3466,0.222467,0.417991,0.429242,0.129361,0.402685,0.291231,0.171634,0.316493,0,0.112717,0.396313,1.50533,0.528528,0.479197,0.350085,0.156086,0.466727,0.382789,0.705535,0.159399,1.06493,0.841511,0.143676,0.19361,0.164792,0.277494,0.118985,0.261016,0.345426,0.429113,0.523447,0.17903,0.334907,0.21298,0.667635,0.32796,0.150156,0.083993,0.09303,0.081175,0.183156,0.438794,0.046898,0.354507,0.254448,0.816549,0.295849,0.057275,0.126887,0.273991,0.101117,0.632121,0.080816,0.281461,0.89142,0,0.225112,0.18758,0.511381,0.26887,0.694479,0.436057,0.196474,0.296977,0.516409,0.034689,0.225138,0.261682,0.169051,0.194328,0.048724
"3",3.56795,7.27056,6.00991,7.07314,1.96778,8.60412,8.04854,3.11688,11.9743,6.07057,2.84316,4.08127,4.82503,5.72611,4.93508,7.87016,3.48757,5.84021,5.95552,6.21898,3.22677,2.99058,12.8593,4.07614,5.84507,8.75403,9.44983,4.98771,4.74147,20.0526,9.14843,2.3564,3.53892,8.18823,12.2374,5.6983,1.51575,3.38755,7.97053,3.97407,3.12327,2.96488,6.92291,1.6299,3.58636,8.2807,2.7299,4.95583,5.77425,9.85472,5.12031,4.04758,3.40796,5.74066,6.30017,6.66375,5.18887,6.0641,4.39018,5.08056,2.18124,7.28939,3.83274,8.29372,2.97602,1.9295,3.24832,5.46079,6.83875,4.17576,5.80171,2.73888,5.55761,4.52655,4.82366,9.57006,6.20036,5.69394,8.35763,8.25771,8.54115,4.59377,1.77127,3.4375,2.65734,5.04385,5.19869,3.4025,1.11956,10.9935,7.55142,5.00721,5.26976,15.2282,7.46226,6.1168,12.0075,16.7505,4.61299,4.63889,9.70285,3.43443,8.0305,7.3827,9.40077,3.27761,5.317,5.72644,4.53587,7.92639,3.55849,8.44408,4.13833,3.23938,4.29031,4.39808,9.68262,3.16683,5.3601,3.6989,6.37004,7.55968,13.7949,9.91936,8.76023,3.67258,3.80864,4.92684,3.15977,6.7848,2.98676,4.0576,5.1471,6.47874,5.33575,3.0537,4.70856,13.7468,6.86483,6.23446,5.30993,3.78122,12.5592,5.01788,8.80585,1.94392,8.78961,14.3556,3.12637,4.17531,3.93346,6.35272,6.36778,5.27562,8.70256,7.45479,7.48528,7.59709,4.27744,2.12913,7.68879,4.33572,4.83412,5.94513,6.03404,5.99117,3.73659,4.32063,6.11825,5.60804
"4",3.37258,3.81381,2.88618,7.96369,2.57255,6.30807,1.34797,2.79713,3.6074,2.44907,2.4813,5.114,6.67506,10.4968,3.68988,9.64237,1.16595,3.82667,3.65882,5.02789,3.93611,7.92965,16.2237,8.68495,2.93072,4.0847,4.88699,5.67599,4.79129,8.17979,11.1668,2.45049,3.1345,8.34634,7.7609,5.17044,1.56654,4.2895,11.1351,4.3654,2.02131,2.23216,4.82266,2.51335,1.80252,6.62484,2.43119,2.50757,3.02156,3.96277,8.29154,3.17873,2.57601,6.15539,6.35505,6.16263,8.84683,4.08532,2.98748,4.13715,2.74009,3.24853,2.00484,8.84905,8.98994,1.59306,2.54035,7.69673,5.65576,2.18426,4.2251,2.01348,3.54735,2.87727,6.74891,5.15562,7.81375,4.15562,1.6679,15.3354,3.48159,3.51001,3.56711,8.27814,1.32564,3.46819,7.35724,4.23139,1.78135,5.8044,2.22082,2.27269,2.64118,22.5944,2.90313,4.10486,7.19447,6.8505,1.51108,6.87818,2.96843,8.211,4.27947,8.70515,6.58901,2.36035,5.61134,6.24839,9.01855,7.62902,3.99563,11.9488,2.29665,2.58558,3.83664,2.79148,3.68435,6.31347,3.54285,7.61667,9.08454,7.86703,24.8378,3.38546,2.86323,2.33004,2.47437,2.1648,2.17559,5.05338,6.21192,2.79778,5.354,5.79661,4.09451,3.29096,8.25958,7.08964,4.64281,5.90688,4.89427,12.9362,6.88042,3.63557,3.00539,2.22908,7.77674,8.66864,5.8459,1.40523,2.95302,4.41744,3.91787,2.36907,7.5608,4.64369,3.56236,7.2051,1.62727,2.74309,7.80686,2.2039,7.62913,2.15702,7.45263,9.89845,1.75909,4.07113,6.64155,0.764244
"5",87.3524,42.9627,37.9325,25.198,30.7912,32.7253,40.4809,74.2742,57.3174,30.9497,32.0856,23.7805,25.4954,45.6681,29.0809,73.7048,39.0999,39.2388,35.18,56.0529,17.1142,28.1796,56.7988,28.2412,62.2945,36.6107,24.7178,36.5236,42.1032,25.9399,38.0282,29.2849,34.8388,44.5604,27.3026,33.2375,27.3565,29.2054,62.0563,30.6276,11.8592,14.7285,42.5968,10.7908,28.1161,55.3175,35.2209,35.8533,26.7098,50.6441,45.1379,29.1215,32.5923,25.0949,48.8314,63.8551,39.3169,36.3634,31.0238,36.2006,12.2983,25.4868,40.5549,39.592,37.4069,29.0979,50.3651,43.9131,38.2218,23.6997,53.1704,37.1772,49.9114,32.2837,30.854,31.4301,14.8136,111.343,41.175,36.1915,50.7207,89.9711,31.5876,32.2509,41.2376,43.2987,29.711,55.7444,35.3473,22.4995,44.0647,68.0981,29.8224,19.4636,20.7412,22.1342,53.331,70.5238,33.526,22.328,49.8711,18.6104,44.1915,57.111,38.0375,30.4592,34.4534,37.0663,30.8701,49.0883,50.8142,50.261,28.9555,21.7078,25.1631,40.4376,24.1312,40.4527,21.5411,28.2961,49.4156,36.3791,23.8875,41.4517,30.3391,49.0154,30.6784,34.2788,45.1788,50.3772,55.7377,40.8721,32.591,38.883,33.4533,31.8455,25.0551,19.8216,34.272,11.7027,11.2759,35.2658,31.3633,35.9746,38.7606,11.5666,42.5904,39.7465,40.1389,37.4187,24.4617,54.3803,46.2323,47.2405,34.8485,81.2837,70.2412,25.1063,19.7797,19.4951,13.6108,20.1299,17.7162,24.6169,53.6016,63.6909,43.2699,18.4462,55.7843,31.7473
"6",0.160356,4.23334,0.768959,2.45422,1.25303,2.30814,0.047127,2.62993,0.400137,0.612875,0.700008,4.57418,3.50565,2.40359,0.632795,6.59708,0.098996,0.061747,0.691517,1.94617,0.984691,2.67635,3.91056,0.627836,0.380403,1.48921,21.1594,4.22996,2.51815,5.18189,3.26396,1.18154,3.28301,3.0002,2.55445,0.968204,0.33518,0.580614,6.09618,2.39951,0.477686,2.99357,4.55601,0.435447,0.069948,6.18901,2.85343,1.1134,0.38998,0.979751,8.726,0.785507,0.380002,2.86355,0.658436,9.78439,2.13852,1.70287,0.252704,0.563492,0.840142,1.25237,0.792642,8.0499,2.56032,0.312886,0.347658,1.11676,8.13946,5.64332,1.95953,0.249022,0.551746,0.331327,3.99988,1.48476,3.01986,2.12962,0.170424,2.6282,0.923771,0.666996,0.176331,1.88457,0.213011,1.78663,0.991145,6.41729,0.398684,1.3944,0.154488,0.143777,0.086864,6.8485,0.825691,5.36321,0.750389,0.427549,0.691016,3.38769,3.01915,0.842427,0.589575,1.15021,1.70027,0.342632,0.465487,2.94103,12.659,1.04804,2.03972,3.26942,0.513281,0.988972,1.94432,0.651915,1.49588,6.22379,1.0464,1.94419,3.61775,2.98183,7.15186,1.24658,0.137184,1.61788,0.557113,0.101195,0.514663,1.45899,6.74336,1.04357,1.80051,1.31268,4.94117,0.480739,1.27075,3.25441,0.672654,1.69403,0.884227,7.55603,4.6568,4.38252,0.526403,1.62818,2.44315,0.406243,6.10609,0.068012,0.765304,6.85664,6.90612,0.086648,4.61368,1.10652,0.934983,1.10067,0.217736,1.4752,5.87518,0.173909,1.24643,1.26432,4.73645,1.57676,0.711078,2.10126,2.45205,0.077998
"7",178.454,219.281,77.2487,90.8298,188.351,61.6086,205.84,144.276,216.838,235.708,168.739,40.2386,42.1493,79.2888,142.888,108.628,247.257,267.849,151.118,173.502,89.727,90.6269,84.8163,79.718,220.333,76.6226,175.525,88.3206,113.635,64.5869,112.604,111.629,109.428,88.9552,93.5007,240.147,195.2,209.007,109.744,197.596,110.652,152.415,129.657,180.517,245.755,111.903,107.315,149.394,125.793,156.81,135.048,107.622,199.762,166.998,320.246,99.9839,128.184,148.721,127.281,126.591,105.065,196.012,267.458,81.1729,126.507,270.066,108.03,121.435,202.435,169.29,262.449,226.595,210.159,128.038,62.7953,66.8794,44.716,132.149,197.268,120.644,195.081,188.466,290.829,100.837,100.877,236.123,89.3847,88.6353,221.973,202.793,114.002,237.041,171.62,85.6053,181.698,110.679,64.886,69.6229,136.695,60.8673,118.558,99.1535,272.416,118.702,100.863,167.178,65.0354,64.5495,30.4677,131.28,169.399,204.715,197.505,168.289,113.326,223.853,97.8556,135.504,149.174,88.7678,120.026,114.742,67.9263,80.3729,189.538,163.035,176.518,161.677,179.311,219.087,101.445,218.827,189.685,76.6701,141.546,164.043,47.4704,59.1447,87.2145,46.4511,84.5111,102.514,64.3195,115.065,106.33,151.366,104.244,51.3614,45.7823,303.254,188.846,24.8258,180.411,190.229,99.3887,250.955,99.8903,104.402,193.057,92.6198,47.0465,150.101,54.1803,193.157,107.944,108.837,252.239,85.7765,204.355,236.402
"8",13.1124,37.2591,12.8098,31.0782,19.0366,40.0069,13.6789,7.14907,34.2586,26.6658,22.7463,41.4227,55.2419,40.5763,24.2575,43.3923,38.7784,12.9198,22.0859,23.0493,22.5398,44.6004,69.6866,37.0487,53.1321,20.6844,19.9396,35.6861,19.1598,51.8155,54.4792,27.5961,16.3553,23.3349,32.796,49.5524,33.4294,30.6973,40.8779,29.7322,14.4294,20.9115,46.6245,24.9991,20.1373,40.5636,17.7828,9.13315,14.0766,27.8629,52.8277,19.6672,27.831,31.2171,67.3749,37.2394,50.8774,22.9191,11.9159,24.9021,22.4232,28.8929,18.8675,42.5139,48.1883,23.1347,3.65434,30.6778,42.5085,29.455,7.65672,13.3223,65.9886,28.0147,57.4957,37.9087,51.725,20.5894,10.2442,49.9415,10.5564,20.9423,3.57442,39.9164,5.00838,32.4392,59.9684,9.73422,7.12072,36.1072,7.77126,23.0727,9.78743,48.7285,6.55373,23.1833,27.6867,18.3272,12.3081,42.2758,14.0617,27.8372,23.9527,36.524,55.8504,13.2264,18.2048,26.8266,22.68,24.1554,18.9048,44.9755,28.285,28.529,19.6433,30.8447,21.394,31.1823,20.7109,57.6034,23.8272,49.9691,41.6265,25.2997,25.7447,27.4877,22.1541,8.6728,17.7045,37.1545,26.6131,27.9949,23.9296,22.6651,35.3759,17.9798,44.9282,64.9205,19.777,32.2781,19.8671,23.4079,24.6138,18.8557,16.9903,10.727,28.844,18.9238,18.7662,18.5913,21.6419,25.1906,27.585,28.5904,59.8331,10.5102,23.8447,22.1886,22.7299,14.8879,25.9499,13.3321,63.2514,11.5678,39.7351,42.2657,9.3232,27.7737,33.6812,9.08329
"9",82.6398,78.8389,66.3703,49.664,50.5449,47.0503,63.9073,97.8725,66.4285,81.4388,55.5099,43.5388,67.226,41.4734,67.5487,33.7584,61.2372,82.5118,89.0311,123.218,47.2226,29.1175,41.0904,55.2619,78.8594,85.2691,100.098,74.1727,67.1864,136.631,51.5938,68.6723,57.946,34.7937,35.8146,68.512,60.8457,86.0396,38.5509,80.8426,81.957,47.806,68.2985,50.5104,81.312,39.3179,42.3048,70.0732,65.0396,71.5026,131.464,107.042,54.3761,89.6024,89.523,69.0282,47.4521,54.4876,99.2257,48.3092,50.7363,106.869,103.748,33.3672,96.8115,44.2746,79.6067,67.6333,113.132,86.1104,128.688,85.4879,74.6141,80.3961,26.7014,49.1021,98.3097,109.85,100.648,65.7041,114.539,57.7094,142.338,67.3723,72.4976,98.4568,109.241,64.3954,66.0714,37.4188,60.587,94.148,130.331,81.7355,92.0736,58.8178,35.1769,41.2604,88.548,68.5337,123.166,61.1444,78.0435,64.2974,105.892,122.019,123.391,54.7101,51.4404,59.7765,68.953,93.0113,109.197,106.791,38.3454,47.3142,74.3903,82.4831,54.4334,54.1884,57.2708,41.1314,85.8213,92.3999,79.0012,60.7286,71.1936,48.6478,113.83,124.779,44.0061,98.5023,53.856,81.2754,125.156,120.591,38.5931,68.0055,61.239,59.8855,69.8862,31.0911,51.5406,61.1196,78.5232,81.0622,50.714,60.0904,84.378,105.667,50.2768,79.2603,46.2254,102.883,44.7699,84.1772,42.9722,54.529,66.4606,80.6503,140.756,86.5534,65.3231,77.451,39.0818,48.6217,89.2812,85.9441,83.1989,67.5647
"10",0.119419,0.015739,0.201726,0.125527,0.15263,0.083278,0.094038,0.054382,0.143006,0.088942,0.064205,0.152351,0.169734,0.047374,0.105152,0.322547,0.017958,0.274426,0.142011,0.061868,0.139653,0.166737,0.821503,0.209664,0.187407,0.513791,0.103051,0.079151,0.217159,0.359885,0.321933,0.062988,0.25843,0.178117,0.105917,0.108818,0.034744,0.097665,0.370452,0.132276,0.07372,0.192943,0.186169,0.188324,0.048084,0.160286,0.029767,0.106369,0.052403,0.138942,0.279005,0.070151,0.023977,0.103127,0.131937,0.224595,0.135244,0.076008,0.043429,0.083634,0.024134,0.119271,0.011277,0.132844,0.079055,0.079956,0.221633,0.148837,0.025443,0.137142,0.085769,0,0.119311,0.104697,0.079713,0.065076,0.25949,0.205732,0.284422,0.128359,0.106029,0.087528,0.062486,0.360135,0.064246,0.17258,0.045327,0.4792,0.067501,0.01314,0.067849,0.098836,0.162077,1.36514,0.053743,0.077882,0.1962,0.315928,0.026949,0.097718,0.246961,0.009262,0.07955,0.151329,0.011939,0.394037,0.364537,0.124787,0.09242,0.226786,0.080147,0.120839,0.184175,0.071761,0.137121,0.075739,0.171642,0.202471,0.079351,0.102463,0.386626,0.164925,0.703018,0.253345,0.184864,0.097559,0.062421,0.035403,0.037036,0.157369,0.055047,0.037445,0.213434,0.082112,0.215123,0.041039,0.12052,0.204998,0.113702,0.141832,0.152906,0.091326,0.127168,0.237079,0.038626,0.067382,0.45787,0.161259,0.205932,0.358283,0.133276,0.082829,0.222536,0.09431,0.117541,0.170732,0.417828,0.067387,0.044091,0.105939,0.119178,0.169149,0.091312,0.110666,0.127992,0.253821,0.149426,0.090096,0.085358,0.03995
