"","x"
"1",0.185911218683595
"2",0.492072938642359
"3",0.383733198048982
"4",0.482644582269373
"5",0.233734358609749
"6",0.139320269054754
"7",0.139320269054754
"8",0.139320269054754
"9",0.139320269054754
"10",0.139320269054754
"11",3.02378286760141
"12",0.457970489297257
"13",0.709646497532298
"14",0.168062253733955
"15",0.168062253733955
"16",0.182577643991592
"17",0.493557104901669
"18",0.38304513905015
"19",0.478457889968428
"20",0.231730451946242
"21",0.120082986092948
"22",0.120082986092948
"23",0.120082986092948
"24",0.120082986092948
"25",0.120082986092948
"26",0.120082986092948
"27",0.120082986092948
"28",0.120082986092948
"29",0.120082986092948
"30",0.120082986092948
