"","x"
"1",0.201199997718938
"2",0.207803884814172
"3",0.222456748276669
"4",0.224583349013145
"5",0.23751850793735
"6",0.181737162317419
"7",0.181737162317419
"8",0.181737162317419
"9",0.181737162317419
"10",0.181737162317419
"11",0.181269391014021
"12",0.256282639342625
"13",0.217825333319828
"14",0.203723550635811
"15",0.203723550635811
"16",0.197486632760022
"17",0.207354559539118
"18",0.218269711138824
"19",0.224011781053513
"20",0.236236450403745
"21",0.161480385821619
"22",0.161480385821619
"23",0.161480385821619
"24",0.161480385821619
"25",0.161480385821619
"26",0.161480385821619
"27",0.161480385821619
"28",0.161480385821619
"29",0.161480385821619
"30",0.161480385821619
