"","x"
"1",0.245591026270467
"2",0.271995960163252
"3",0.206686212833229
"4",0.270846516972383
"5",0.210781259456252
"6",0.208196549693582
"7",0.623068609587509
"8",0.623068609587509
"9",0.623068609587509
"10",1.32840578281051
"11",1.03708069946519
"12",0.208488657295027
"13",0.283327077843444
"14",0.283327077843444
"15",0.283327077843444
"16",0.242355598319219
"17",0.271914082720941
"18",0.203350256465122
"19",0.270508317004131
"20",0.206293943507678
"21",0.19034476581494
"22",0.19034476581494
"23",0.19034476581494
"24",0.19034476581494
"25",0.19034476581494
"26",0.19034476581494
"27",0.19034476581494
"28",0.19034476581494
"29",0.19034476581494
"30",0.19034476581494
