"","x"
"1",4.63465564300745
"2",4.6353276096356
"3",4.63335190074848
"4",4.63524996593327
"5",4.63358338483088
"6",4.63331965872385
"7",4.63331965872385
"8",4.63331965872385
"9",4.63331965872385
"10",4.63368272766146
"11",4.63368272766146
"12",4.63368272766146
"13",4.63350464932952
"14",4.63365479806482
"15",4.63340532611058
"16",4.63433251889468
"17",4.63507521367453
"18",4.63302695038722
"19",4.63509925408411
"20",4.63347159246698
"21",4.63257177463152
"22",4.63257177463152
"23",4.63257177463152
"24",4.63257177463152
"25",4.63257177463152
"26",4.63257177463152
"27",4.63257177463152
"28",4.63257177463152
"29",4.63257177463152
"30",4.63257177463152
