"","x"
"1",0.0873748597820495
"2",0.145073662025235
"3",0.142672125218601
"4",0.1543499842157
"5",0.110783199801853
"6",0.113380611807285
"7",0.113380611807285
"8",0.113380611807285
"9",0.113380611807285
"10",0.113380611807285
"11",0.113380611807285
"12",0.113380611807285
"13",0.110019391309047
"14",0.128929421713607
"15",0.166887695332187
"16",0.078466410637833
"17",0.145062259791409
"18",0.137568863612206
"19",0.152578840953531
"20",0.108001057586674
"21",0.078466410637833
"22",0.078466410637833
"23",0.078466410637833
"24",0.078466410637833
"25",0.078466410637833
"26",0.078466410637833
"27",0.078466410637833
"28",0.078466410637833
"29",0.078466410637833
"30",0.078466410637833
