"","x"
"1",1.1544168427325
"2",1.154092141
"3",1.14884613954182
"4",1.15134335225101
"5",1.17125728361476
"6",1.14556728993268
"7",1.14556728993268
"8",1.14556728993268
"9",1.14556728993268
"10",1.14687386781895
"11",1.14553887602855
"12",1.14531194104517
"13",1.14528164354701
"14",1.15274534321918
"15",1.15274534321918
"16",1.15357682678207
"17",1.1541559869599
"18",1.1479389015262
"19",1.15086873039209
"20",1.17082358966395
"21",1.14265778198789
"22",1.14265778198789
"23",1.14265778198789
"24",1.14265778198789
"25",1.14350580419699
"26",1.14265778198789
"27",1.14265778198789
"28",1.14270268634003
"29",1.14265778198789
"30",1.14265778198789
