"","x"
"1",0.447624403691219
"2",0.464819465147845
"3",0.44671843091436
"4",0.458961882108878
"5",0.445898892182313
"6",0.450724328749307
"7",0.450724328749307
"8",0.450866738696784
"9",0.450866738696784
"10",0.455036921912768
"11",0.450863306589633
"12",0.449848838849765
"13",0.449797531589627
"14",0.449797531589627
"15",0.449797531589627
"16",0.446048650007545
"17",0.466227306096227
"18",0.445239933346334
"19",0.458545995437384
"20",0.445167291149095
"21",0.443885838018164
"22",0.443885838018164
"23",0.443885838018164
"24",0.443885838018164
"25",0.443870127889287
"26",0.443885838018164
"27",0.443885838018164
"28",0.443885838018164
"29",0.443885838018164
"30",0.443885838018164
