"","x"
"1",0.461360970039066
"2",0.498789407191372
"3",0.444923766697287
"4",0.49640634075646
"5",0.478592087698823
"6",0.471533656325726
"7",0.471533656325726
"8",0.471533656325726
"9",0.471533656325726
"10",0.471533656325726
"11",0.471533656325726
"12",0.472064493252776
"13",0.472422913186728
"14",0.471094521096866
"15",0.504545616934575
"16",0.459639368396779
"17",0.499765431495901
"18",0.442720356696217
"19",0.495481866796799
"20",0.478060135145415
"21",0.464731153924741
"22",0.464731153924741
"23",0.464731153924741
"24",0.464731153924741
"25",0.464731153924741
"26",0.464731153924741
"27",0.46495191799144
"28",0.464853759625898
"29",0.464731153924741
"30",0.464731153924741
