"","x"
"1",0.0936417647718046
"2",0.154593140177892
"3",0.104977974567882
"4",0.148352698068039
"5",0.107220545689433
"6",0.117976355918009
"7",0.117976355918009
"8",0.117976355918009
"9",0.117976355918009
"10",0.117976355918009
"11",0.117976355918009
"12",0.117619110557313
"13",0.11471865950229
"14",0.286567684894633
"15",0.286567684894633
"16",0.084087433113455
"17",0.155534359116477
"18",0.0978802000152711
"19",0.149480722266969
"20",0.0959188780249209
"21",0.084087433113455
"22",0.084087433113455
"23",0.084087433113455
"24",0.084087433113455
"25",0.084087433113455
"26",0.084087433113455
"27",0.084087433113455
"28",0.084087433113455
"29",0.084087433113455
"30",0.084087433113455
