"","x"
"1",0.129750947542279
"2",0.197161564530081
"3",0.135281749741831
"4",0.196665698893663
"5",0.129351062506808
"6",0.138568155878966
"7",0.138568155878966
"8",0.138568155878966
"9",0.226441663099193
"10",0.226441663099193
"11",0.229388807624501
"12",0.139967986303651
"13",0.136083892885266
"14",0.173349586111433
"15",0.173349586111433
"16",0.122820217470873
"17",0.200252243685003
"18",0.130284620063842
"19",0.194747504407033
"20",0.127180832000784
"21",0.113133598325962
"22",0.113133598325962
"23",0.113133598325962
"24",0.113133598325962
"25",0.113133598325962
"26",0.113133598325962
"27",0.113133598325962
"28",0.113133598325962
"29",0.11313326172387
"30",0.11313326172387
