"","x"
"1",0.0943134437758456
"2",0.136393689425744
"3",0.12304126272
"4",0.128375404872691
"5",0.109040227317209
"6",0.109839465710149
"7",0.109839465710149
"8",0.109839465710149
"9",0.109839465710149
"10",0.109839465710149
"11",0.110075834454768
"12",0.10763085736307
"13",0.212179227669345
"14",0.2835307404738
"15",0.219532158259274
"16",0.0881113789436953
"17",0.145471570080414
"18",0.118125034367133
"19",0.123309656679364
"20",0.10546589696539
"21",0.0765063066437913
"22",0.0765063066437913
"23",0.0765063066437913
"24",0.0765063066437913
"25",0.0765063066437913
"26",0.0765063066437913
"27",0.0765063066437913
"28",0.0765063066437913
"29",0.0765063066437913
"30",0.0765063066437913
