"","x"
"1",0.141368449835938
"2",0.169560708402585
"3",0.163669253747536
"4",0.16033701711689
"5",0.145903635167027
"6",0.167195981933826
"7",0.167195981933826
"8",0.167195981933826
"9",0.167195981933826
"10",0.166818540736323
"11",0.16631022220977
"12",0.171223900607779
"13",0.165591643955493
"14",0.165591643955493
"15",0.208199220574074
"16",0.135970961481975
"17",0.172611310053545
"18",0.161135212554559
"19",0.153673696757576
"20",0.135869063553349
"21",0.14681834562461
"22",0.14681834562461
"23",0.14681834562461
"24",0.14681834562461
"25",0.14681834562461
"26",0.14681834562461
"27",0.31656170174161
"28",0.14681834562461
"29",0.14681834562461
"30",0.14681834562461
