"","x"
"1",0.165887642126975
"2",0.23181666945256
"3",0.22622909615103
"4",0.201694285730067
"5",0.24161202469788
"6",0.0843876675388443
"7",0.0843876675388443
"8",0.0843876675388443
"9",0.090206732050489
"10",0.090206732050489
"11",0.10286761706938
"12",0.274147127782471
"13",0.274147127782471
"14",0.207207281177542
"15",0.207207281177542
"16",0.162992517802672
"17",0.234588327097842
"18",0.223713860311057
"19",0.19963497319983
"20",0.240538223952937
"21",0.00119207310878311
"22",0.00119207310878311
"23",0.00119207310878311
"24",0.00119207310878311
"25",0.00119207310878311
"26",0.00119207310878311
"27",0.00119207310878311
"28",0.00119207310878311
"29",0.00119207310878311
"30",0.00119207310878311
