"","x"
"1",0.468990574331927
"2",0.488954821367419
"3",0.457746715455343
"4",0.485053275840565
"5",0.466465922997657
"6",0.461637320328113
"7",0.461637320328113
"8",0.461637320328113
"9",0.461637320328113
"10",0.478892764748862
"11",0.597213384709674
"12",0.457303425947906
"13",0.46720692634422
"14",0.600417312508296
"15",0.489015477132339
"16",0.467151202371669
"17",0.489326660460199
"18",0.455930073473589
"19",0.483787886196672
"20",0.465178672243457
"21",0.454124734707156
"22",0.454124734707156
"23",0.454124734707156
"24",0.454124734707156
"25",0.471323566372251
"26",0.596860413371536
"27",0.450396344402566
"28",0.453824970052003
"29",0.597674086393529
"30",0.482165723029446
