"","x"
"1",0.190037985336419
"2",0.251838021324985
"3",0.20839665891042
"4",0.243910927170143
"5",0.29573947738998
"6",0.203463061775763
"7",0.203463061775763
"8",0.203463061775763
"9",0.203463061775763
"10",0.202260264802056
"11",0.202260264802056
"12",0.20231556990154
"13",0.222222752821109
"14",0.203578084646749
"15",0.237445037505463
"16",0.185738874294
"17",0.252999740465912
"18",0.205142943965434
"19",0.242159523395809
"20",0.294715018364833
"21",0.1858798704478
"22",0.1858798704478
"23",0.1858798704478
"24",0.1858798704478
"25",0.1858798704478
"26",0.1858798704478
"27",0.1858798704478
"28",0.1858798704478
"29",0.1858798704478
"30",0.1858798704478
