"R0000100","R0002200","R0002202","R0002203","R0002300","R0002400","R0002451","R0002454","R0002455","R0002456","R0002500","R0002700","R0002800","R0003400","R0003600","R0003800","R0003900","R0004000","R0004100","R0004300","R0005400","R0009100","R0010500","R0010800","R0011100","R0012800","R0015000","R0022600","R0022700","R0022800","R0022900","R0023000","R0023100","R0023200","R0023300","R0023400","R0023500","R0023600","R0023700","R0023800","R0024000","R0024100","R0024200","R0024300","R0024400","R0024500","R0024600","R0024800","R0024900","R0029700","R0029800","R0029900","R0030000","R0030100","R0030200","R0030300","R0030400","R0030500","R0030600","R0030700","R0030800","R0030900","R0031000","R0031100","R0031200","R0031300","R0031400","R0031500","R0031600","R0031700","R0031800","R0031900","R0032000","R0032100","R0032200","R0032300","R0032400","R0032500","R0032600","R0033600","R0033700","R0033800","R0033900","R0034600","R0034900","R0035100","R0035200","R0035300","R0035400","R0035500","R0035600","R0035700","R0035800","R0035900","R0036000","R0036100","R0037500","R0037600","R0037700","R0038000","R0038100","R0038200","R0038800","R0038900","R0039000","R0039100","R0039200","R0039300","R0039400","R0039500","R0039600","R0039700","R0039800","R0039900","R0040000","R0040100","R0040200","R0040400","R0040600","R0040700","R0040800","R0040900","R0041100","R0041300","R0041400","R0041500","R0042100","R0042200","R0042300","R0042400","R0042500","R0042600","R0042700","R0042800","R0042900","R0043000","R0043100","R0043200","R0043300","R0043400","R0043500","R0043600","R0062300","R0062310","R0062550","R0062600","R0062900","R0063000","R0063030","R0063060","R0063090","R0063100","R0063200","R0063230","R0171200","R0171300","R0171400","R0171500","R0171600","R0171700","R0171800","R0454700","R0507300","R0543940"
1,18,3,48,2,6,0,1,1,2,4,1,2,27,1,4,4,4,4,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,2,1,4,1,3,3,1,2,4,3,4,1,2,1,4,2,2,2,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,500,25,0,0,0,0,0,0,125,1,-4,-4,1,4,2,1,1,1,1,1,1,1,1,6,5,-4,1,1,1,3,-4,-4,-4,1,-4,-4,-4,-4,0,7,35,-4,11,1,52,40,775,10,15,1,10,0,-4,-4,-4,400,400,-4,-4,-4,-4,-4,-4,-4,-4,1,52,3,2,2,3,4,7,6,-5,-5,-5
2,19,7,45,2,6,0,1,1,2,4,1,2,27,1,4,4,4,4,0,2,6,1,-4,-4,-4,-4,2,14,2,16,9,-4,-4,200,1,-4,-4,-4,3,4,-4,-4,-4,-4,-4,-4,-4,775,2,4,1,4,2,2,3,4,2,4,3,2,-2,-4,1,4,-2,-4,3,2,2,2,1,1,1,1,2,2,1,0,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,2,1,-4,1,4,1,3,1,1,1,1,1,1,1,1,1,200,0,1,0,4,1,-4,-4,2,-4,-4,-4,-4,1,13,35,-4,-4,-4,52,40,775,10,28,-4,10,1,52,40,693,0,0,14,9,74,1,52,775,18,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,219,1,7
3,17,1,49,1,6,0,1,1,2,4,1,1,27,1,4,4,4,4,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,3,2,2,1,1,4,1,2,3,1,2,3,2,4,1,4,1,3,1,2,1,1,2,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,62,300,0,1,-4,-4,1,1,3,1,1,4,1,4,4,4,4,5,1,653,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,60,-4,8,1,52,40,653,7,52,-4,8,1,52,20,394,0,0,22,6,103,1,52,653,22,8,1,52,3,1,1,2,2,4,4,10000,1,12
4,24,2,42,1,1,0,1,1,2,4,1,2,27,1,4,4,4,4,0,2,3,-4,1,1,2,-4,1,1,4,-4,25,-4,-4,-4,-4,3,-4,-4,3,6,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,1,-2,-4,1,3,3,1,2,4,3,4,1,3,1,2,1,2,2,1,1,1,1,1,2,0,2,-4,0,0,2,2,0,0,1000,100,300,0,0,0,65,0,100,2,1,7,1,3,3,1,2,1,1,1,1,1,2,4,1,510,1,1,1,4,1,14,1,4,1,1,12,1,1,1,23,0,10,1,0,-4,-4,2,1,-4,-4,-4,-4,-4,-4,1300,1300,34,5,119,1,52,510,34,14,1,52,1,2,2,3,3,6,5,18000,1,12
5,17,3,49,1,6,0,1,1,2,4,1,1,19,1,1,2,3,1,0,2,6,0,1,1,3,-4,2,4,21,8,14,-4,-4,-4,-4,3,100,3,-4,4,-4,-4,-4,-4,-4,-4,-4,472,1,2,3,3,1,2,1,3,2,2,1,1,2,2,1,4,1,4,1,3,1,2,2,2,1,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,150,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,3,3,5,1,450,0,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,-4,6,46,-4,11,1,52,40,450,7,47,-4,12,1,52,60,290,150,150,41,5,110,1,52,450,41,11,1,52,1,1,1,1,2,3,4,100,1,11
6,24,5,41,1,1,0,1,1,2,4,1,2,19,1,1,2,3,1,0,2,4,-4,1,1,1,-4,1,21,8,-4,22,-4,-4,110,3,-4,130,3,-4,4,-4,-4,-4,-4,-4,-4,-4,370,2,2,3,2,2,2,1,3,1,2,3,2,2,3,2,4,1,4,1,2,1,2,1,2,1,1,1,1,2,1,2,-4,0,0,2,2,0,0,200,0,0,0,0,0,0,0,550,2,0,-4,1,1,3,1,2,1,1,1,1,1,1,2,1,985,0,1,0,4,1,8,1,4,0,-4,7,1,0,1,23,0,10,0,-4,-4,-4,2,1,-4,-4,-4,-4,-4,-4,-350,-350,7,11,72,1,52,465,33,8,0,0,1,2,3,3,4,7,6,277,1,12
7,16,4,49,1,6,0,1,1,2,4,1,2,19,1,1,2,3,1,1,1,-4,-4,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,1,3,2,2,2,3,2,1,2,3,1,2,2,2,4,1,2,1,1,1,2,1,1,1,1,1,1,1,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,51,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,6,1,414,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,-4,6,47,-4,9,1,52,38,414,7,41,-4,12,1,-4,-4,-4,0,0,52,5,114,1,52,414,52,9,0,0,1,1,1,1,1,2,3,200,1,12
8,23,1,43,1,6,0,1,2,2,8,1,1,19,1,1,2,3,1,0,1,6,0,1,1,-4,1,1,1,3,3,8,8,6,6000,6,-4,6500,6,-4,4,-4,-4,-4,-4,-4,-4,-4,191,1,2,3,2,2,2,-2,-4,1,3,3,2,2,4,3,3,1,3,1,4,1,2,1,1,1,1,1,1,2,0,2,-4,0,0,1,-4,0,0,700,0,300,0,0,0,65,1800,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,48,-4,14,1,52,50,290,7,47,-4,14,1,52,30,184,1000,1000,68,2,132,1,52,290,68,14,1,52,7,2,3,4,5,9,7,14700,1,18
9,19,12,46,1,6,0,1,2,2,8,1,1,19,1,1,2,3,1,1,1,6,0,1,1,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,1,2,2,-2,-4,1,2,3,1,2,4,3,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,997,0,0,0,0,0,56,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,48,-4,14,1,52,50,290,7,47,-4,14,1,52,30,184,997,997,68,2,136,1,52,290,68,14,1,52,7,2,3,3,4,7,6,1000,1,14
10,18,3,48,1,6,0,1,2,2,8,5,1,19,1,1,2,3,1,0,2,6,0,1,1,2,-4,2,8,14,15,9,-4,-4,175,1,-4,250,1,-4,4,-4,-4,-4,-4,-4,-4,-4,465,2,1,3,2,2,2,1,2,1,2,3,2,2,2,2,4,1,4,1,2,1,2,1,1,1,1,1,1,2,0,2,-4,1,-4,1,-4,0,0,0,0,0,0,0,0,66,2900,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,411,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,-4,6,43,-4,12,1,52,40,411,7,42,-4,12,1,52,40,775,0,0,19,5,102,1,52,411,19,12,1,52,8,1,2,2,2,4,5,170,4,12
