"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"result.1",2.94152883660085,2.15790624684795,2.19291507454935,2.01639932331597,2.23949389356913,2.0887876184196,2.22103135151007,2.17682898341126,5.28344673624769,8.05463004264267,1.14877007316783,0.721254181630449,0.669645332962824,0.722525334697239,0.73293309164568,0.665930165639531,0.705659978568176,0.744526058331752,1.27746121069429,1.77182366943899,7.69538688609448,1.64947643626179
"result.2",5.87759662605585,5.87380479051275,4.36747775267318,6.31251024089442,4.33330785877186,5.3884714083323,6.11547912227811,5.47266004474831,6.95814452876963,6.20549965837434,1.38734624195189,1.4194670103607,1.74193812995933,1.40733420617744,1.76296003632457,1.41069715655492,1.4704465479779,1.36723158674726,1.40976542945313,1.3944386957345,9.24302405145544,2.01721463900659
"result.3",4.80959072974483,3.64962284779205,5.38095562690039,3.26125219394065,3.4028946326121,3.40951580752561,4.69716534426696,5.57113243440812,5.46471277871405,5.46602044598316,1.29646563360354,1.25139059014537,1.38637898706505,1.46181455420266,1.50205057537916,1.26373366899357,1.3182385946129,1.57229877376812,1.62461880798924,1.54852528832469,12.4494678975831,2.03930267342689
"result.4",1.9999226170461,2.08127161891855,2.16955474027931,2.11632291808841,2.20251824995419,3.47994408619541,3.52357583105711,3.7133213046251,4.06499475122997,4.20521217645466,0.680844599910055,0.733122995432905,0.722079460308043,0.732861662125926,0.807061533387342,0.885636119907571,0.87919313917236,0.873504501209287,0.944832390890291,0.928673340139031,5.27612008346516,1.24419231213165
"result.5",1.77437302901334,1.81791089821291,1.78854184727826,1.77437302901334,1.74021376930159,1.7848635300658,4.36562705062051,3.37175889851062,4.25675537137067,2.71316174729066,0.765360223065184,0.794448973942427,0.789005282349494,0.765360223065184,0.752522931795661,0.788857189444994,1.16160290119983,1.19597481159889,1.13000685408715,1.25174922884357,7.25561287916629,2.2121822830508
"result.6",11.7814289120974,13.4249995607735,9.55464713581999,13.7702558924121,5.23585086969911,4.50752634785502,5.23511405550076,4.51532936545026,4.5491150774048,4.53011709502828,2.08713816743083,2.26080412463794,1.99830879942647,2.41133465298377,1.30332706646334,1.28782446425774,1.23955826243686,1.3615597427991,1.29578700220576,1.33231674495932,10.9657075101946,2.77660100683186
"result.7",3.68053063867266,8.9475350378261,2.6623560551743,2.67648714819574,2.6407871054932,2.6623560551743,3.38938353095808,3.33905187978132,3.7821321427188,4.12711229465261,0.966525723885994,1.29601517233381,1.21826731696283,1.19557267122375,1.18626365620275,1.21826731696283,1.0475549192636,1.0426220576728,1.19961747061886,1.14719541209725,4.10933741257742,1.12533969979124
"result.8",4.13160826941535,4.3484898028795,3.97652359276365,4.15691032161944,3.99425026718679,4.03055116296949,3.94589489373183,4.18011134344181,4.19589667769174,5.60926990688746,1.46626451048952,1.23939165306507,1.44133728337507,1.51313930407463,1.47367576203264,1.52643023004948,1.39392504367605,1.29198360672159,1.24170978285589,1.39394195047086,6.05783340513964,1.36611031225836
"result.9",4.94408703554892,4.62440021827723,4.82175966937141,5.11380289183594,4.89715220264667,4.59359680399209,5.40421411418725,4.99546900215815,6.0459067524416,5.9267684286975,1.5107292717759,1.55928594723313,1.60178339121957,1.55675466634382,1.53389004738247,1.55741011864818,1.31307589756289,1.41234401788894,1.85581261228371,1.86780848502164,5.45995230230808,1.7079149203327
"result.10",2.10513345438686,2.21770380500502,2.17992711535722,2.17089324533184,2.16073186376307,2.13090090506595,2.15166954896177,2.15265176910498,2.19537183660985,3.09410286677844,0.818997085587383,0.700506565978501,0.742108743088033,0.7940992754922,0.770425880780649,0.81191269189674,0.702771688683877,0.703848524389241,0.761322246352361,0.85746459851776,6.08158489766705,1.32098728291137
