"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"result.1",1.3282209623937,1.25093822734564,1.24748150656358,1.22774454122983,1.33097786196907,1.07129191482808,1.08068873483246,1.06807900180459,1.43416357106569,1.34309125426278,0.535431019603477,0.582881706130315,0.541672978378399,0.577445042982252,0.539997922876796,0.538756710779647,0.521156968296904,0.509202551771429,0.533220198502455,0.580217056528522,1.38433045014947,0.556997213258708
"result.2",0.99165830798925,0.971499013558225,0.924812328324383,0.950057826733687,0.955051560688214,0.63052630870905,0.618960901209485,0.476586459713043,0.66135435987284,0.627454716466866,0.402126336758001,0.410058566464194,0.404980630470145,0.408589859472507,0.42827951172035,0.309433403527544,0.282543366761581,0.2265640480095,0.229075589483284,0.235130758439635,0.688749810534656,0.243595751168101
"result.3",1.0111470545073,1.20623759927815,0.845596004325709,0.87512953906007,0.752156550967029,0.734100197060454,0.705415119968545,0.97550938173781,0.97550938173781,0.776632044618628,0.497050910093513,0.413244345707825,0.439951684039235,0.476285577839725,0.437863092915118,0.340108970228886,0.357770088245766,0.30692311084648,0.30692311084648,0.317962871230297,0.738462948219918,0.374319701701363
"result.4",1.11336982169239,1.1056426121472,0.920743654053654,0.963330955341423,0.631494882094088,0.705851421274851,0.760398808345389,0.729327013765701,0.63084826271507,0.581071055357093,0.48060671642001,0.490986693853159,0.485086566497838,0.511036905474916,0.34219179352625,0.382550755412319,0.421651172715756,0.393988147947382,0.349996964651965,0.321247835357981,0.595070451239737,0.333362834134924
"result.5",0.910858513044392,0.916741565756747,0.791609103156569,0.775218801660785,0.739566835640318,0.664123590109729,0.656784546549215,0.630008808350417,0.742034129776801,0.766693826355324,0.456959998940879,0.45781646422833,0.419495794123644,0.399797359037382,0.355843500873698,0.341772265862423,0.347593875195485,0.325603919973897,0.37002813158301,0.394555179019036,0.768554480583021,0.397853053558784
"result.6",0.705051074136382,0.729136862801545,0.917250426831584,0.928951947468584,0.916942462652238,1.30173875580788,0.976452440712588,0.964510912493507,1.03485189951968,1.00509087988685,0.350064884438624,0.327581076568678,0.43745378076561,0.440702617143752,0.446326365222568,0.415717438612195,0.514656986100163,0.502669173260426,0.554463126933815,0.453091022688559,1.11441121879328,0.445844406054356
"result.7",0.65332378192788,0.641613850643292,0.553301163423588,0.549685918169698,0.623073576077427,0.637919801855698,0.628115641416862,0.83872579732849,1.0069552855872,0.706200853423939,0.268003258761172,0.282073539729568,0.268821303086932,0.256872878903646,0.245472485077479,0.249623799826595,0.251426412521648,0.289385609979475,0.298857740498654,0.288759270029804,0.875019963365108,0.286434190938011
"result.8",1.60307290001621,1.75191877115628,1.5755518357305,0.911521362643277,0.945384989029282,0.968424904826512,0.958072613375358,0.901565814587142,0.984191755642568,0.97153634173855,0.40933225443582,0.398423237425653,0.403873459276582,0.319724891679515,0.296748002756287,0.287894325708656,0.309038047026359,0.293326401217957,0.308472987883254,0.315098951232385,1.00208726702314,0.296551017556113
"result.9",0.94237477753446,1.03742107646027,1.0933882117954,0.957558863081118,0.968704179299808,0.949540242629116,0.970882110068252,0.97797225326356,0.983243160477464,1.00579741769361,0.492266444832789,0.436878605521194,0.423662049974777,0.460756309904406,0.437486374240858,0.462242624572769,0.438527397349964,0.451200753058115,0.429607969332497,0.43303964280961,1.5323091238573,0.428485900007656
"result.10",0.903036290026493,0.956224595868572,0.936080658306009,0.901209521874034,1.00137344744483,0.958249762353651,1.13067231784962,1.11607949834935,1.13751906823748,1.10176553607001,0.403034251082758,0.397402274133462,0.36745937120092,0.38383313280314,0.361821974999667,0.29624610350464,0.300975356936366,0.30265714805324,0.303969748912367,0.325776296319437,1.15254006257728,0.314045231127296
"result.11",0.898050785405117,0.921176049795656,0.864083443634638,0.849688400931476,0.877006131468424,0.837139617716907,0.997274871707995,1.05710512150272,1.03055981404231,1.10165677870152,0.471251865576985,0.484273941910184,0.450037390956331,0.439056638570079,0.456659382758203,0.42171288319359,0.523570903067131,0.458919729346318,0.467984171491487,0.437156975556391,1.07018459039252,0.445899980232003
"result.12",1.37338434574636,0.826707219799509,0.808793009577985,0.957428354289258,0.724386389350052,1.65795238539624,1.42029803434099,1.47881563079058,1.56085081735715,1.48601555969118,0.337325606384509,0.295350441257596,0.296080855224637,0.283924828032375,0.338479329838257,0.386184941322076,0.395018842628311,0.395559999848765,0.387383078955669,0.380607489804001,1.49539776946006,0.38928615248747
"result.13",0.992867616702562,1.00605997502341,1.1947014504963,1.31262397729719,0.938840927909007,0.757543331266829,0.728113677402188,0.71058432790467,0.721290276273471,0.790469277023736,0.350865736096974,0.357085776326134,0.355368464447843,0.355265905449705,0.359398381477745,0.301246484219244,0.302713157088413,0.30144635474971,0.315423772503208,0.296984894336752,0.798121485143876,0.288200508373064
"result.14",1.05769854099589,1.08393012916803,1.0901357472169,1.03852516637635,1.06637476010645,1.11796258619177,0.740732762203417,0.754054450047581,0.743786639393056,0.746424076504161,0.422225638374133,0.443457943387401,0.433018747888766,0.392050696769161,0.427333620246947,0.447992384679429,0.359246114885312,0.365450195105072,0.388066534318917,0.377512380647324,0.792014474714141,0.389451834072858
"result.15",1.11371221112104,1.05271380755771,1.04249212235912,0.885584788607639,0.897706953422911,0.793840940306555,0.869775780857098,0.88130044261987,0.874151783258379,0.867840485734276,0.520910833951563,0.505817500779728,0.442842193138999,0.42077559399236,0.419421862706817,0.446156812691291,0.427758102524583,0.438573728087707,0.437807018816109,0.424851563562983,0.85885339561483,0.418723492973725
"result.16",1.10618491283371,1.15153979863605,1.38177810798829,1.3944615848667,1.39141945750439,1.29520296578672,1.25133243532918,1.72811513369851,1.70398276540069,1.69145421307527,0.488433162114153,0.443571622025282,0.388846539284837,0.380032126239926,0.381747852839425,0.387951327175053,0.376239561505349,0.501003862333949,0.511133532845277,0.530886841007733,1.68098675732212,0.544008025054196
"result.17",1.0823600525495,1.04981312797545,1.03644903828806,0.898011837855688,0.87906723180738,1.0251981572089,0.882934000964381,0.887677660460683,1.21144768214464,1.20144119213024,0.559502350147807,0.514732833787916,0.515795144890017,0.409275692549072,0.411199526776839,0.409611469494825,0.432672174142928,0.42902180886915,0.435897690528064,0.411176743392372,1.2740647468664,0.415037728443417
"result.18",0.635931086007948,0.438306774310022,0.434080316689555,0.602822408210666,0.517500605618828,0.550590444809649,0.511674387288042,0.552874064624668,0.652861745087364,0.695524544853677,0.249537104251815,0.209111048184505,0.208743480252771,0.176909903093066,0.187199073373318,0.176836315004183,0.206780021913827,0.226904412990902,0.231956717554974,0.234952006001191,0.644066277391409,0.203717280991246
"result.19",0.939863715363696,0.953256268797913,0.935385869571166,1.11720357474921,0.860215895962399,0.864075707966426,0.853346020109745,0.843834739196128,0.889435120578947,0.910706746941207,0.474450592631871,0.485095798533204,0.477885054985515,0.589366421202291,0.383050383316451,0.410287821164,0.398413705998906,0.374004983226604,0.366475207182657,0.375796868991233,1.25923743294731,0.447866587516222
"result.20",0.687384020550545,0.455882992349724,0.460465107971224,0.467150425292468,0.450214653160661,0.478916163402953,0.470300069538406,0.454422884394071,0.792442703590757,0.868218703567846,0.294406807749295,0.195321446194216,0.196316514381751,0.203959165569495,0.193828021127077,0.212669111494317,0.204639454708827,0.197147682830894,0.259298966181151,0.248272679715368,0.853690176313501,0.242892889599795
"result.21",1.07233579420473,1.05051320142506,1.08883730901877,1.16765155465825,1.48146848127886,1.47970581538628,1.48813772014128,1.44780633925732,1.41456836257011,1.73723567902447,0.533683287352666,0.518276076920004,0.5334838174242,0.40759929085616,0.427122606669823,0.435140993920221,0.42817659236312,0.431621997375609,0.451871173100085,0.460924163595583,1.69368546999294,0.471093698662574
"result.22",1.18634209719466,0.773941916238707,0.752724333766169,0.729848355479451,0.791019023730261,0.988109622575905,1.17131962655486,1.15647278110462,1.15864138773231,1.72237403604952,0.398412793871564,0.458709624161368,0.425479303841207,0.415026480108177,0.443198948324651,0.428899536174494,0.403578178498007,0.398069367169105,0.401523465342238,0.444501401898298,1.78667177554628,0.457693657084358
"result.23",1.09082107319662,0.930530082706814,0.981856743699069,0.918046616253945,0.969863581207057,1.85932194196564,0.989200103661356,0.935798482471048,1.12964910866289,1.45418047500946,0.47769045873794,0.434998955047646,0.419083991012807,0.431926012336785,0.429242985539238,0.453149966976928,0.422318439282182,0.487261382489405,0.425231299534919,0.43155017504252,1.41824113234371,0.4641773937775
"result.24",1.40150122085408,1.46703689276864,1.08833041488738,0.994499866819481,1.09010322311708,1.00726223161346,0.933250219061733,1.31090401666616,1.496478685267,1.36808882741189,0.450313416566997,0.457756148755819,0.393315179101452,0.405185326517072,0.39421582775876,0.397128353310861,0.415756355431684,0.375094076478009,0.423214508097098,0.43850567500798,1.39242712309974,0.442390179526798
"result.25",1.08208331704376,0.701221302932696,0.670554960827634,0.714730913098961,0.671188554637209,0.674527890789761,0.665162443856243,0.67887870936748,1.06400411056305,0.853008747804848,0.453213239294719,0.333520349312939,0.303158623362222,0.341115352584041,0.310229587122024,0.302564300978484,0.29931161869621,0.311015332384197,0.325952204998414,0.326141598329673,0.943702657935201,0.334646816017933
"result.26",0.678302078637655,0.642135122686013,0.729230981145178,0.612084638814291,0.426425208101874,0.396853937130054,0.440704734766095,0.432455985656443,0.533929499118849,0.877442315276949,0.334744705041652,0.340991624560804,0.328811827322461,0.307905266069328,0.189302443970309,0.204841014875188,0.191547789112496,0.202464991645477,0.187863423972039,0.279410642513585,0.956621484273513,0.273071849616147
"result.27",0.857152222634594,0.852076561086184,0.839158184923453,0.815555780723575,0.764180729074217,0.812207971095613,0.810268867986681,0.732815938762538,0.727381536358241,0.724067396659733,0.422155023008282,0.436923723402286,0.435380851427072,0.418124458735969,0.395561748983617,0.4160428264756,0.430081289086832,0.384735012162817,0.346507780263072,0.355524156255349,0.718331880598245,0.332325382769093
